"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"OGT"	"OGT"	1.30848264753854	-1.13812819829951	0.156186161649564	0.671194126056663	-0.869229080349802	-0.686798451135844	"IS01"	1.30848264753854
"SPPL2B"	"SPPL2B"	1.24187932473745	-1.34498898590197	-0.310481770237817	-0.343876828924409	0.466993961033508	-0.26897142569122	"IS01"	1.24187932473745
"PNKP"	"PNKP"	1.2237476702568	-0.931400014683889	-0.362635896756438	-0.517210766629259	0.439324918186206	-0.332770104617572	"IS01"	1.2237476702568
"CCDC88B"	"CCDC88B"	1.20526508874911	-1.07881377997452	-0.270318882646318	-0.114643401975915	0.21590537274075	-0.504247528177558	"IS01"	1.20526508874911
"TCF20"	"TCF20"	1.18312686186885	-1.03681057002898	-0.558899286377755	-0.168803395684461	0.0692682463275472	-0.0855102610694499	"IS01"	1.18312686186885
"ARHGAP4"	"ARHGAP4"	1.18028752965279	-0.882186479776149	-0.385200586783969	-0.631204180894751	0.657495098754936	-0.399266074498287	"IS01"	1.18028752965279
"ZXDC"	"ZXDC"	1.17785015572066	-1.05760947375093	0.299961114016076	0.365699108249932	-0.314955763752264	-0.907750332923705	"IS01"	1.17785015572066
"TNK2"	"TNK2"	1.17643896717131	-0.78017967801608	0.0339917004651893	-0.994672355580278	0.77728031515177	-0.446427506202051	"IS01"	1.17643896717131
"PPP6R2"	"PPP6R2"	1.17353238487227	-1.35510123844429	-0.0690184055884518	-0.573557386911985	0.772559074884256	-0.380748711284395	"IS01"	1.17353238487227
"DNAJB12"	"DNAJB12"	1.16080032566482	-1.29351117995225	-0.745219553753421	-0.369206090056317	0.380921074216058	0.21616329126891	"IS01"	1.16080032566482
"ACSS1"	"ACSS1"	1.15697526481871	-0.900996592277084	-0.0912105000333846	-0.199127992340642	0.136233084194429	-0.531063191308298	"IS01"	1.15697526481871
"PSD4"	"PSD4"	1.15655031378405	-1.23349046204918	-0.0490588660618008	0.0224249906061897	0.301058815054572	-0.720219204717299	"IS01"	1.15655031378405
"HERC1"	"HERC1"	1.15229000557257	-0.944910797962587	-0.173214048643192	0.590104880955963	-0.701868965383185	-0.510648443432923	"IS01"	1.15229000557257
