"ID"	"State"	"InitialState"
"74"	"LP01"	"S01"	"IS05"
"75"	"LP02"	"S01"	"IS05"
"76"	"LP03"	"S01"	"IS05"
"77"	"LP04"	"S01"	"IS05"
"78"	"LP05"	"S01"	"IS05"
"79"	"LP06"	"S01"	"IS05"
"80"	"LP07"	"S01"	"IS05"
"81"	"LP08"	"S01"	"IS05"
"82"	"LP10"	"S01"	"IS05"
"83"	"LP11"	"S01"	"IS05"
"84"	"LP12"	"S01"	"IS05"
"85"	"LP13"	"S01"	"IS05"
"86"	"LP15"	"S01"	"IS05"
"87"	"LP60"	"S01"	"IS05"
"88"	"LP62"	"S01"	"IS05"
"89"	"LP63"	"S01"	"IS05"
"90"	"LP64"	"S01"	"IS05"
"91"	"LP115"	"S01"	"IS05"
"92"	"LP120"	"S01"	"IS05"
"93"	"LP14"	"S02"	"IS06"
"94"	"LP17"	"S02"	"IS06"
"95"	"LP18"	"S02"	"IS06"
"96"	"LP21"	"S02"	"IS06"
"97"	"LP22"	"S02"	"IS06"
"98"	"LP24"	"S02"	"IS06"
"99"	"LP30"	"S02"	"IS06"
"100"	"LP43"	"S02"	"IS06"
"101"	"LP68"	"S02"	"IS06"
"102"	"LP69"	"S02"	"IS06"
"103"	"LP71"	"S02"	"IS06"
"104"	"LP100"	"S02"	"IS06"
"105"	"LP112"	"S02"	"IS06"
"106"	"LP114"	"S02"	"IS06"
"107"	"LP117"	"S02"	"IS06"
"108"	"LP118"	"S02"	"IS06"
"109"	"LP121"	"S02"	"IS06"
"1"	"LP19"	"S03"	"IS01"
"2"	"LP25"	"S03"	"IS01"
"3"	"LP26"	"S03"	"IS01"
"4"	"LP29"	"S03"	"IS01"
"5"	"LP31"	"S03"	"IS01"
"6"	"LP37"	"S03"	"IS01"
"7"	"LP39"	"S03"	"IS01"
"8"	"LP40"	"S03"	"IS01"
"9"	"LP47"	"S03"	"IS01"
"10"	"LP50"	"S03"	"IS01"
"11"	"LP51"	"S03"	"IS01"
"12"	"LP52"	"S03"	"IS01"
"13"	"LP53"	"S03"	"IS01"
"14"	"LP54"	"S03"	"IS01"
"15"	"LP55"	"S03"	"IS01"
"16"	"LP58"	"S03"	"IS01"
"17"	"LP61"	"S03"	"IS01"
"18"	"LP65"	"S03"	"IS01"
"19"	"LP97"	"S03"	"IS01"
"20"	"LP110"	"S03"	"IS01"
"21"	"LP111"	"S03"	"IS01"
"22"	"LP113"	"S03"	"IS01"
"23"	"LP116"	"S03"	"IS01"
"24"	"LP119"	"S03"	"IS01"
"51"	"LP27"	"S04"	"IS04"
"52"	"LP28"	"S04"	"IS04"
"53"	"LP32"	"S04"	"IS04"
"54"	"LP33"	"S04"	"IS04"
"55"	"LP34"	"S04"	"IS04"
"56"	"LP35"	"S04"	"IS04"
"57"	"LP42"	"S04"	"IS04"
"58"	"LP44"	"S04"	"IS04"
"59"	"LP45"	"S04"	"IS04"
"60"	"LP48"	"S04"	"IS04"
"61"	"LP49"	"S04"	"IS04"
"62"	"LP67"	"S04"	"IS04"
"63"	"LP79"	"S04"	"IS04"
"64"	"LP90"	"S04"	"IS04"
"65"	"LP91"	"S04"	"IS04"
"66"	"LP92"	"S04"	"IS04"
"67"	"LP94"	"S04"	"IS04"
"68"	"LP95"	"S04"	"IS04"
"69"	"LP103"	"S04"	"IS04"
"70"	"LP106"	"S04"	"IS04"
"71"	"LP107"	"S04"	"IS04"
"72"	"LP108"	"S04"	"IS04"
"73"	"LP109"	"S04"	"IS04"
