"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"AC066615.1__pos"	2.22044604925031e-16	1.80324852912325	2.22044604925031e-16	10.5498535467659	2.29632405329327
"ACER3__pos"	2.19526744439168	2.22044604925031e-16	1.96203107746559	10.3851714641658	1.99548168811007
"AK9__pos"	2.22044604925031e-16	3.41661692670119	7.30399356323131	5.70572780642274	2.22044604925031e-16
"ALDH6A1__pos"	1.13586694757223	1.54660025557031	5.52916536783362	6.43325929079849	2.22044604925031e-16
"ANAPC5__pos"	1.28143035391947	1.84970360598291	1.14018631022517e-13	8.68150018107213	2.22876891286537
"APOL4__pos"	3.38280777803602	3.51940847992279	6.72078322300797	4.30214537666682	0.210171821394015
"ARMC2__pos"	5.03845417641006	2.09782719401792	7.08868571763568	3.3154428295848	2.22044604925031e-16
"ASTE1__pos"	3.22351542848466e-16	6.43038913047758	4.50865142687741	6.53237565850557	2.22044604925031e-16
"ATP6V1E1__pos"	6.55628168829079	2.22044604925031e-16	5.79918700626837	3.01764597412834	1.28909448231828
"AURKC__pos"	5.81469180930156	3.19624875452732	5.52319709385078	3.42927820322253	2.22044604925031e-16
"C10orf88__pos"	2.22044604925031e-16	3.23921250347576	2.64003465931782	6.29728883183371	4.27731267298701
"C3orf20__pos"	3.72576135283139	3.24370245381329	5.97186750469297	3.76498915813692	2.22044604925031e-16
"CALM2__pos"	5.83235189056957	2.22044604925031e-16	4.2518013145328	3.03343697878491	2.42318210245543
"CD226__pos"	0.70816093645661	2.69465455152058	2.29699904493983	4.42573705183565	5.56902723498566
"CMPK1__pos"	1.28913360237517	2.22044604925031e-16	0.836612326651676	8.92959442746445	2.95305845408426
"CREBZF__pos"	2.22044604925031e-16	6.24124809238863	2.22044604925031e-16	7.77427264655807	2.22902822760629
"CTBS__pos"	2.05960718349658	2.49056065439204	2.22044604925031e-16	7.7612160534877	0.265651876542144
"DESI2__pos"	1.3889368680175	2.78394015129007	0.449178058384623	8.05945803845656	0.55528677109742
"DPY19L3__pos"	0.950870139975261	1.79411584332352	4.56170633869707	8.19069149352529	1.15601260760195
"DSC2__pos"	7.34421642661301	0.668836767061603	2.22044604925031e-16	7.86802051809449	0.86625959120139
"E2F8__pos"	4.27434352718726	2.20518552785035	3.71417665278839	3.9326021973998	2.22044604925031e-16
"ENY2__pos"	1.09648849233812	1.00167318628864	1.81024724896844	8.93495305612164	1.53478881567308
"FAM166A__pos"	1.64907712509107	6.62531607343015	9.50093235954588	0.777519274440018	0.574032192588694
"FAM217B__pos"	1.42049135026863	1.95116594264425	4.6493337751629	8.17118639549204	2.22044604925031e-16
"FAM83E__pos"	0.976415331020187	2.14831730012108	11.1785474953478	3.38557895727121	2.22044604925031e-16
"FTO__pos"	2.22044604925031e-16	3.21418030486317	3.41431484793874	6.2265776326471	3.70403737087088
"GABARAPL2__pos"	5.69551000002528	2.22044604925031e-16	2.22044604925031e-16	6.61807615598314	5.42709253639185
"GORASP1__pos"	2.22044604925031e-16	9.27864523094199	2.93870201026424	6.04291737579567	2.22044604925031e-16
"GPALPP1__pos"	2.22044604925031e-16	6.82726750827969	2.40596248235142	8.30279852327254	2.22044604925031e-16
"GYG2__pos"	5.2945732790638	6.67456776499753e-07	6.8195563119235	5.82948244192291	2.22044604925031e-16
"HAUS2__pos"	4.01245659576001	0.680652992012972	3.62875898950346	6.35318950319187	2.22044604925031e-16
"HSDL2__pos"	3.11554004146163	1.00842511728666	3.43450285021312	6.32257211190255	0.382228737631202
"HTRA1__pos"	4.20097284827791	2.22044604925031e-16	3.09670744711345	4.11264525529281	0.670636548080326
"IGF2BP3__pos"	0.881592696923488	0.997785439732616	3.51732042879893	5.47343058649821	3.31203597885417
"ILKAP__pos"	2.22044604925031e-16	3.60457609909415	3.10557573835527	9.49215775772542	2.22044604925031e-16
"JAGN1__pos"	3.47148285708322	3.26130509898177	4.56403084845242	5.04023913969131	2.22044604925031e-16
"KHDRBS1__pos"	3.72185610130373	2.22044604925031e-16	5.07159930172503	5.38625342325262	2.22044604925031e-16
"LCA5__pos"	1.22967426204104	2.22044604925031e-16	3.46917689324912	7.12968156478754	3.30462370704818
"LEXM__pos"	6.26697656662054	3.29713434264277	8.44219450709281	0.520818352690466	2.22044604925031e-16
"LIPK__pos"	3.88478595246174	4.47215894830154	4.97992571610597	3.23459530361657	2.61396037389071
"LRRC20__pos"	4.31964764616048	2.83917108458471	10.6297124526194	0.775254860034654	2.22044604925031e-16
"LYPLA1__pos"	2.22044604925031e-16	1.7122608673739	2.22044604925031e-16	12.1543826729365	2.10521976093227
"MAP2K2__pos"	2.22044604925031e-16	5.99086849088401	9.35229297516526	1.90530576114511	1.5606604727474
"MCUR1__pos"	3.76232846419547	2.22044604925031e-16	5.47603660753924	4.41122224703167	2.33891291552146
"MFSD8__pos"	2.22044604925031e-16	4.163320666305	2.94248946393586	8.14645752110824	2.06671562362147
"MGARP__pos"	3.02441663429471	4.64849810020098	8.10568948979806	2.50584854495375	0.131100139246202
"MON2__pos"	2.22044604925031e-16	4.35712534584935	0.0966610664771639	8.16376240321967	2.22044604925031e-16
"MPP7__pos"	2.22044604925031e-16	1.88826129479474	5.83742439951507	4.00885923625258	2.33324775732032
"MYZAP__pos"	6.84014631486575e-14	2.22044604925031e-16	5.85958563135938	6.56323281792743	4.51578502838293
"NAPA__pos"	2.22207658764812	2.541515226741	6.21620047457014	2.52619435894603	4.21745099344537
"NDUFAF3__pos"	1.99225549254648	1.74671688312815	6.58273711965049	4.01546697646601	3.99044952510028
"NECAP1__pos"	2.22044604925031e-16	4.21679673459714	1.22848287330208	7.04160967246444	3.87909912870957
"NEURL1__pos"	2.22044604925031e-16	2.0458795497253	8.49988325279755	4.16181279428119	2.05816890202188
"NKIRAS2__pos"	0.545477920108286	1.87987280897906	7.13062210507372	3.29259151486446	1.36798381100996
"NPAP1__pos"	2.22044604925031e-16	2.44276012471911	7.4651775114272	5.26322702853673	2.21653239501832
"NUP155__pos"	2.22044604925031e-16	3.03041383400279	1.94406267276279	10.2154131775848	2.22044604925031e-16
"OCLM__pos"	0.660503354052296	2.24808807812609	2.22044604925031e-16	8.49657808501422	2.22044604925031e-16
"OR1Q1__pos"	3.00700514709342	7.67937305458839	8.1038308466505	0.129821771045184	0.957043169138835
"OR2W3__pos"	4.54189113011108	5.61165260382907	7.43035300558413	0.04965388222041	2.16478430814425
"P2RX2__pos"	4.46201478167448	0.228452366941712	7.52951552124989	4.1712225163666	2.22044604925031e-16
"P3H4__pos"	3.80663876456852	2.65555229912764	6.75026060265806	2.83561444595773	2.22044604925031e-16
"P4HTM__pos"	2.22044604925031e-16	7.98809980003106	2.90818307095006	5.09514541270585	0.929116323611654
"PABPC5__pos"	4.91092053651928	1.90527323887301	2.34201395486601	5.77210320943484	2.22044604925031e-16
"PAQR5__pos"	3.48703558594808	4.17105782299014	6.35657880552821	3.80016352836125	2.22044604925031e-16
"PKM__pos"	5.10332702821216	2.43369057950354	3.69208397613913	2.09115757115534	3.93769236459272
"PLGLB2__pos"	0.15893194606913	3.22639690125885	2.22044604925031e-16	9.9390928587712	2.27355634028522
"PTER__pos"	2.1108570723473	4.37178629275659	0.968165703259456	9.63256257651079	2.22044604925031e-16
"QDPR__pos"	1.66354458084526	1.02139747317961	2.7471021739135	6.10820706539728	2.22044604925031e-16
