"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"HLA.DQB2"	"HLA.DQB2"	0.545339873393569	-0.257060594711968	1.0086440963108	-0.267476880071586	-1.12094410253212	"S01"	1.0086440963108	"IS03"
"RBM42"	"RBM42"	0.226087431517776	0.157801398285588	1.00844195599351	-0.478290734259299	-0.814011157651572	"S01"	1.00844195599351	"IS03"
"NYAP1"	"NYAP1"	0.181365404790671	0.103817817709219	0.996751084004165	-0.437461604695698	-0.76691378469996	"S01"	0.996751084004165	"IS03"
"GRIN1"	"GRIN1"	0.11775811068095	0.296237792379809	0.992634941240061	-0.472744023592137	-0.801388467366303	"S01"	0.992634941240061	"IS03"
"PCDHA10"	"PCDHA10"	-0.651745879619288	-0.42967693251475	0.986912983017531	0.0909381607361532	-0.177048080214733	"S01"	0.986912983017531	"IS03"
"LRRC20"	"LRRC20"	0.511186613694376	0.207451071875939	0.973811741646175	-0.674665928537898	-0.841331987746011	"S01"	0.973811741646175	"IS03"
"RAI14"	"RAI14"	-0.386658073383412	-0.258949927858516	0.973645722569937	0.301418407229285	-0.892742310244893	"S01"	0.973645722569937	"IS03"
"DRC7"	"DRC7"	0.124021837402496	-0.265120023905136	0.945085632158023	-0.451037438277289	-0.3233396338297	"S01"	0.945085632158023	"IS03"
"P3H4"	"P3H4"	0.432835381832037	-0.055681117651022	0.940003812146238	0.00545336356051934	-1.48185601988227	"S01"	0.940003812146238	"IS03"
"FAM83E"	"FAM83E"	0.339995987986273	0.0282600691099674	0.935627974473109	-0.284504304987093	-1.02803077128481	"S01"	0.935627974473109	"IS03"
"TRPM6"	"TRPM6"	-0.0408905448887093	-0.0281597535893287	0.923011840442831	-0.12834288240909	-0.780781766570932	"S01"	0.923011840442831	"IS03"
"PGM5"	"PGM5"	-0.402289094752863	-0.138673290219116	0.921808672485867	0.0627994885840845	-0.573169679939701	"S01"	0.921808672485867	"IS03"
"TNK1"	"TNK1"	-0.19148740818181	0.646177310176549	0.90524006728601	-0.13297733252297	-1.14749392893437	"S01"	0.90524006728601	"IS03"
"MMP13"	"MMP13"	-0.269518615565819	-0.505857613724913	0.886296662915535	0.116891996370376	-0.452084242666187	"S01"	0.886296662915535	"IS03"
"DLGAP2"	"DLGAP2"	-0.371042771001608	-0.0259072767188321	0.864734335286605	0.0765773306175202	-0.655889917775208	"S01"	0.864734335286605	"IS03"
"EXOC3L1"	"EXOC3L1"	0.338143939679507	-0.284056522933565	0.857754683525766	-0.280474850993638	-0.687147798018359	"S01"	0.857754683525766	"IS03"
"PEBP4"	"PEBP4"	0.103028645341683	-0.492828281616435	0.857204941560411	-0.0352181702775971	-0.613696927540868	"S01"	0.857204941560411	"IS03"
"CASP6"	"CASP6"	0.171433811055637	0.13043408907077	0.843008453429098	-0.311980944394891	-0.786853146956073	"S01"	0.843008453429098	"IS03"
"TTC23L"	"TTC23L"	0.50395872344042	-0.519722898569379	0.841708745341317	-0.022115202724648	-1.02634217134785	"S01"	0.841708745341317	"IS03"
"SLC22A13"	"SLC22A13"	0.34588825756031	-0.31985527580223	0.839733991364903	-0.335152670342987	-0.567041076513222	"S01"	0.839733991364903	"IS03"
"PKLR"	"PKLR"	-0.314696826774648	-0.400743397322197	0.831689239174338	0.053630981237584	-0.337656149383184	"S01"	0.831689239174338	"IS03"
"SCNN1D"	"SCNN1D"	-0.378846122163117	0.829322966185898	0.829443132775721	-0.0616146159962692	-1.11401958531146	"S01"	0.829443132775721	"IS03"
"SLC2A4RG"	"SLC2A4RG"	-0.436788945385176	0.583727240494296	0.825231380113317	-0.671200695729085	0.0341966167920624	"S01"	0.825231380113317	"IS03"
"NKIRAS2"	"NKIRAS2"	0.0525516411289759	0.301333147411722	0.808615240202417	-0.123749056370493	-1.03202752368854	"S01"	0.808615240202417	"IS03"
"SLITRK2"	"SLITRK2"	0.31378487920478	-0.0891853854662271	0.806276345682873	-0.152103741044704	-0.948861035652586	"S01"	0.806276345682873	"IS03"
"CD151"	"CD151"	-0.165606276975546	0.0330417310805833	0.80541013619368	-0.778451559198241	0.37193052644266	"S01"	0.80541013619368	"IS03"
"PHYHD1"	"PHYHD1"	0.455096816754368	0.374851656191882	0.800958678530963	-0.442151915381487	-1.06031131216427	"S01"	0.800958678530963	"IS03"
"NEURL1"	"NEURL1"	-0.0465926551498421	-0.0524667668535038	0.800713705823192	-0.389746619186747	-0.241022804262629	"S01"	0.800713705823192	"IS03"
"ZDHHC19"	"ZDHHC19"	0.238722980954763	6.5739120292402e-05	0.792016239988232	-0.248231528075387	-0.786859274341367	"S01"	0.792016239988232	"IS03"
"CCS"	"CCS"	-1.03748543083409	0.640002739076889	0.789748277948956	-0.163099866428725	-0.0554566777958718	"S01"	0.789748277948956	"IS03"
"TAS2R42"	"TAS2R42"	-0.364292870461501	-0.575441214192197	0.787884250004812	0.0886903729856083	-0.141496021591752	"S01"	0.787884250004812	"IS03"
"HBE1"	"HBE1"	-0.358558233795413	-0.446734255958759	0.786848335833273	0.0870809538888394	-0.250341677316497	"S01"	0.786848335833273	"IS03"
"STX1A"	"STX1A"	-0.126156082270283	-0.0586898541452685	0.780203468117181	-0.153355163005747	-0.46757496020457	"S01"	0.780203468117181	"IS03"
"SLC38A5"	"SLC38A5"	0.0230832321643443	0.410734168857635	0.770782866576729	-0.299497937545974	-0.794800280493305	"S01"	0.770782866576729	"IS03"
"TUBG1"	"TUBG1"	0.26235576918909	0.347690191954443	0.769792713458316	-0.562683726209577	-0.621056832921651	"S01"	0.769792713458316	"IS03"
"GYG2"	"GYG2"	0.430386589754361	-0.399157093660044	0.768126908227654	0.0832275747392304	-1.1156786914097	"S01"	0.768126908227654	"IS03"
"IGSF1"	"IGSF1"	0.259693806867252	0.21045176136806	0.762770262032639	-0.40842950418755	-0.71942872621754	"S01"	0.762770262032639	"IS03"
"GCC1"	"GCC1"	-0.200857660099819	0.557165506313681	0.755458220221534	-0.483098914753697	-0.391818547127914	"S01"	0.755458220221534	"IS03"
"PRKD2"	"PRKD2"	-0.408813873873366	0.483479053453619	0.747509631079173	-0.260474072030786	-0.418212132662751	"S01"	0.747509631079173	"IS03"
"MYH6"	"MYH6"	0.489610188133996	0.147319810302041	0.743013699230648	-0.410551559820533	-0.890672360893083	"S01"	0.743013699230648	"IS03"
"TRPM4"	"TRPM4"	-0.53715005931197	-0.702826485020163	0.740905534698421	0.526914520931048	-0.428521590350836	"S01"	0.740905534698421	"IS03"
