"ID"	"State"	"InitialState"
"37"	"LP01"	"S01"	"IS03"
"38"	"LP02"	"S01"	"IS03"
"39"	"LP03"	"S01"	"IS03"
"40"	"LP04"	"S01"	"IS03"
"41"	"LP05"	"S01"	"IS03"
"42"	"LP06"	"S01"	"IS03"
"43"	"LP07"	"S01"	"IS03"
"44"	"LP08"	"S01"	"IS03"
"45"	"LP10"	"S01"	"IS03"
"46"	"LP11"	"S01"	"IS03"
"47"	"LP12"	"S01"	"IS03"
"48"	"LP15"	"S01"	"IS03"
"49"	"LP55"	"S01"	"IS03"
"50"	"LP56"	"S01"	"IS03"
"51"	"LP60"	"S01"	"IS03"
"52"	"LP62"	"S01"	"IS03"
"53"	"LP63"	"S01"	"IS03"
"54"	"LP64"	"S01"	"IS03"
"55"	"LP65"	"S01"	"IS03"
"56"	"LP82"	"S01"	"IS03"
"57"	"LP112"	"S01"	"IS03"
"58"	"LP115"	"S01"	"IS03"
"59"	"LP25"	"S02"	"IS04"
"60"	"LP27"	"S02"	"IS04"
"61"	"LP28"	"S02"	"IS04"
"62"	"LP32"	"S02"	"IS04"
"63"	"LP33"	"S02"	"IS04"
"64"	"LP34"	"S02"	"IS04"
"65"	"LP35"	"S02"	"IS04"
"66"	"LP39"	"S02"	"IS04"
"67"	"LP40"	"S02"	"IS04"
"68"	"LP41"	"S02"	"IS04"
"69"	"LP42"	"S02"	"IS04"
"70"	"LP43"	"S02"	"IS04"
"71"	"LP44"	"S02"	"IS04"
"72"	"LP45"	"S02"	"IS04"
"73"	"LP46"	"S02"	"IS04"
"74"	"LP48"	"S02"	"IS04"
"75"	"LP49"	"S02"	"IS04"
"76"	"LP67"	"S02"	"IS04"
"77"	"LP79"	"S02"	"IS04"
"78"	"LP90"	"S02"	"IS04"
"79"	"LP91"	"S02"	"IS04"
"80"	"LP92"	"S02"	"IS04"
"81"	"LP94"	"S02"	"IS04"
"82"	"LP95"	"S02"	"IS04"
"83"	"LP96"	"S02"	"IS04"
"84"	"LP97"	"S02"	"IS04"
"85"	"LP100"	"S02"	"IS04"
"86"	"LP103"	"S02"	"IS04"
"87"	"LP106"	"S02"	"IS04"
"88"	"LP108"	"S02"	"IS04"
"89"	"LP109"	"S02"	"IS04"
"90"	"LP110"	"S02"	"IS04"
