"IS01"	"IS02"	"IS03"	"IS04"
"RPS3__pos"	3.84918381535721	3.7031887538062	7.04766082415549e-12	3.27397263949537
"RPL37A__pos"	3.94094675148537	4.22795270620818	2.22044604925031e-16	3.94487735636505
"RPS11__pos"	3.60652309925822	4.13048485792849	2.22044604925031e-16	2.28741101498666
"RPL27__pos"	3.47470292240125	2.29141114758037	2.22044604925031e-16	3.66996071599928
"RPS17__pos"	4.02586403758398	3.22063000238367	2.22044604925031e-16	2.42147595221392
"RPL4__pos"	3.95521802012786	3.45559059988862	0.445361886295362	3.24711931902896
"RPL6__pos"	4.02943352155872	2.2637925108867	2.22044604925031e-16	3.39411369643208
"CBLL1__pos"	0.447784949503139	4.89197905811814	5.67504137727415	1.87593859580331
"CXCL2__pos"	0.81186366331446	4.44550613447278	2.36142946969702	4.17095951976698
"CCL14__pos"	0.025102880595517	5.24247257114348	4.23427146014145	4.07161567353431
"RAMP2__pos"	2.22044604925031e-16	4.30464569074346	5.29526274568234	2.75677072893244
"CLEC4M__pos"	0.631234686157803	4.33506253048291	2.44165648912816	5.50883360967168
"SGCE__pos"	2.22044604925031e-16	6.60501796502206	4.39611741353444	3.59513150997876
"CCDC137__pos"	2.22044604925031e-16	2.22044604925031e-16	7.24461291809736	6.724890379566
"RASL11A__pos"	2.22044604925031e-16	3.12497894877082	2.91667185460242	5.50621635758843
"STAB2__pos"	0.284562180533356	4.30779306497828	4.19516098382829	5.0691598394378
"CSGALNACT1__pos"	0.0695054173609325	4.53378260142979	1.15899502131284	7.08911385065627
"CLINT1__pos"	4.24104521268594	2.61847043856081	3.88838844373179	3.57400300279577
"RBP1__pos"	0.0217703796317358	3.03646729697488	4.94196533520409	4.17334693988493
"INS.IGF2__pos"	0.607946778481962	3.92451566130645	10.8064742257684	1.15485280614325
"RPL23__pos"	5.82011820543553	2.00009301653601	2.22044604925031e-16	4.47405045500052
"ZWINT__pos"	2.22044604925031e-16	3.48534990397263	4.25682428197426	6.10921951702419
"FLRT2__pos"	2.22044604925031e-16	8.28853940618287	2.22044604925031e-16	5.45620866546565
"ANAPC11__pos"	2.22044604925031e-16	0.807126375859453	9.03856011900864	5.51352432952623
"SVIL__pos"	2.22044604925031e-16	3.04544265685997	5.34030055738228	5.90888659742425
"PDE6B__pos"	0.912071894567759	0.229668781177745	4.35365122643696	7.94458766023898
"ZNF821__pos"	2.22044604925031e-16	0.429117658334589	5.74617014209135	7.30171157344847
"CD209__pos"	0.987115104925858	5.3307018612943	2.67498614692814	4.49149633267265
"CCL21__pos"	2.22044604925031e-16	3.07502909495399	7.03198532113162	4.86394901046895
"DNM1__pos"	0.879632577853427	2.2197140969299	1.78880675715267	9.13464409001797
"ANKRD6__pos"	1.19336681264176	3.37973659424064	0.552673514498093	8.69937711294828
"CXCL12__pos"	2.22044604925031e-16	9.43986142490268	1.40786378822618	3.7800495110112
"CCDC160__pos"	0.130676180959797	2.05649557739723	9.82687716938047	4.59490921883592
"RPS4Y1__pos"	0.82791957582498	5.0668695909076	7.36204417724319	1.55995312016227
"GHRL__pos"	0.246025099268718	1.80639128352247	4.43897251155162	7.16725871109111
"CEMIP__pos"	0.62398173071956	4.81041524420688	2.6964361953979	5.37844866609343
"CLIP2__pos"	2.1730583995331	1.66151851357704	1.32509450805107	9.06873814301639
"HEATR6__pos"	0.328238725558508	4.39000117375808	3.570932910169	5.9785910407991
"MYH11__pos"	2.22044604925031e-16	2.08157464367807	4.97651152021482	7.81403486938259
"PBDC1__pos"	2.22044604925031e-16	0.714966651523344	10.2131291016686	4.71158462912218
"NOTCH3__pos"	0.642032670924443	2.58221342507124	1.83490960479438	8.84987891332224
"RCAN1__pos"	1.03658503011218	7.75965121666794	1.60293633547594	4.46207954047728
"BCAR1__pos"	0.564672888710793	2.8625716584685	2.72676367847879	8.00108324265225
"COX7A1__pos"	0.00824185104652669	1.737761337565	9.38500964034127	4.03541728035217
"CCDC77__pos"	2.22044604925031e-16	2.07688324719674	5.38305395068985	6.54767957509006
"NTS__pos"	2.22044604925031e-16	3.74463325110758	6.73008872511395	4.31676681021148
"TTC4__pos"	0.777233704274045	3.52516757670383	6.47547694503566	4.18745832357574
"KANK2__pos"	0.126579158507157	3.2262681622908	1.15521697916707	9.04037830260345
"CYTL1__pos"	0.639403831238394	3.37717067059571	7.02521541873397	3.93809433148737
"FOS__pos"	0.785443006935854	5.89269068410715	9.35967275175547e-06	6.73472951120304
"PDK4__pos"	1.63280957924134	6.6126814324012	0.406540489825968	4.88273830222939
"BMP4__pos"	0.223380964084295	2.68290926879551	2.08059508732419	6.76269683364886
"DIO3__pos"	0.552884135886925	2.65422087442861	5.78805896745832	6.6209121358868
"C3__pos"	0.0968833123125925	2.35278161651514	10.1561644994817	2.99138364103758
"DBI__pos"	2.22044604925031e-16	0.646783511963393	14.2631094604225	1.03836952218996
"EXOSC3__pos"	2.22044604925031e-16	6.45542317741054	1.40747847221554	5.86677365416501
"SEPT10__pos"	2.22044604925031e-16	6.88482070298036	2.58023976700271	4.83106550809816
"COL26A1__pos"	2.22044604925031e-16	3.37394303219137	4.14070321860338	7.03192072743198
"SNCG__pos"	0.306731554229568	1.35358805891129	6.51353239669499	4.76955153531916
"CYR61__pos"	0.0283909900473068	7.55980379234187	0.237163419863046	5.77109153573149
"NDRG2__pos"	0.553876927411634	4.84258695876957	0.840646116442911	5.83949787340654
"RBP7__pos"	0.129250391701032	2.21738855327492	9.28668921384726	3.78264346139819
"CD207__pos"	0.107956713821601	3.68987560497961	7.67140015750231	4.37141874153693
"PTRH1__pos"	2.22044604925031e-16	2.22044604925031e-16	7.80625052168492	6.43492026262303
"MATN2__pos"	2.22044604925031e-16	5.29611157998297	2.00304381582741	6.20263486781119
"AHDC1__pos"	0.127946316480424	1.4615211611592	2.13245831753343	10.7463730427368
"SLC25A29__pos"	2.22044604925031e-16	1.25874942004777	0.380433520826018	11.4593408747479
"UGP2__pos"	5.40277454715986	2.93319500611501	4.6144845115191	2.1942872912281
"KIAA1217__pos"	2.22044604925031e-16	0.642247806430454	3.15395070831527	10.1715167371501
"GOLGA8H__pos"	2.22044604925031e-16	2.15901460965868	6.57889443906626	6.17385371198242
"HLA.DOA__pos"	8.16355928517064	0.351478543404751	3.59504112143981	1.87912664142899
"LRIG3__pos"	0.0355036013972028	8.32714212668504	2.22044604925031e-16	5.02016026472515
"SORBS2__pos"	0.844712251657995	3.83289609077713	0.851956497707999	8.0658226594026
"RARRES2__pos"	2.22044604925031e-16	0.394052913180855	7.78063593958832	5.23496570747936
"TIMD4__pos"	2.22044604925031e-16	2.79324771709665	8.0753051234352	4.37945226261344
"C11orf74__pos"	2.22044604925031e-16	4.8465615013291	5.60636606776454	4.09474277187404
"UBXN1__pos"	2.22044604925031e-16	2.22044604925031e-16	8.50040383775095	6.42918791730551
"MYH10__pos"	0.773605624313235	3.00349071883873	6.69127937658954	5.11890751244374
"EGFL8__pos"	0.643655706115034	2.54199646241908	0.552192715188976	10.219579818827
"MTSS1L__pos"	0.410489999474923	2.44928920105227	2.37343535994946	8.66993068633921
"ELN__pos"	0.067188900525741	2.27240247498309	1.55749596629272	9.85872330697267
"CD163L1__pos"	1.37004292585112	3.50886574654965	1.92177406375441	6.99151514044274
"RNASE1__pos"	1.38762042914716	3.96707099674647	4.67852226607965	4.77443421560743
"NXN__pos"	1.18211767468494	6.94145411472993	2.22044604925031e-16	6.0143035149284
"RGL3__pos"	0.55330673952682	1.97897954072695	2.38527311867427	7.55428194984455
"ADGRA3__pos"	2.22044604925031e-16	4.04686099561725	2.96278801498433	6.60965740204653
"ECSCR__pos"	2.22044604925031e-16	2.62741107017862	5.97005177179317	3.85372896910387
"ID1__pos"	0.00363224511452768	5.35589566136279	2.45842738991295	6.07433494821466
"PEX16__pos"	0.0631208029149276	2.08859690196343	2.49099737512607	9.74588847736306
"MEGF6__pos"	0.0677787914299558	0.583450249864574	2.22044604925031e-16	12.4247370099402
"PYGM__pos"	2.22044604925031e-16	0.998747227919766	2.75354463233841	9.22650459521075
"INO80C__pos"	0.919216370780268	3.31392159591199	1.89429243341608	8.19809543605822
"GLI2__pos"	2.22044604925031e-16	4.41665610762102	1.74320369265704	7.25911296947112
"RPL35__pos"	5.96446258602897	7.1648640614401	2.22044604925031e-16	0.62743076212789
"CLEC4C__pos"	0.35745849374166	5.26078573621214	2.85391542363551	4.55598663502545
"MRGPRF__pos"	2.22044604925031e-16	3.10665775230307	4.72151486463916	5.82186829497999
"PET117__pos"	2.22044604925031e-16	6.48319632641498e-05	7.14477936062828	6.57832634011893
"OLFM1__pos"	2.22044604925031e-16	3.23729314312817	2.78024208423899	7.00962671609118
"DHRS12__pos"	2.22044604925031e-16	2.78853670741226	3.67246024424111	7.42697132843832
"GSTA4__pos"	0.343521826727502	7.46068360616576	1.70247467548771	2.99256497335509
"ZNF521__pos"	2.22044604925031e-16	3.72557117563903	3.4080962283536	6.59545691471544
"ENPP6__pos"	2.22044604925031e-16	3.08820909217774	5.79359720971314	5.3968942432625
"PPP1R10__pos"	2.22044604925031e-16	4.95333373434943	3.08320053625258	4.41747922787964
"FGF7__pos"	0.508930282469671	6.59567316852046	1.97843069587448	4.73652430996621
"TLE2__pos"	0.0510892707799498	3.06363425905632	2.84054473829152	8.17476819017031
"TRIP10__pos"	0.942048175268011	1.145081033311	3.19202334199927	8.17771432932367
"TARDBP__pos"	0.602662660208607	6.89375127540963	2.22044604925031e-16	5.65005655764283
"SLC6A16__pos"	2.22044604925031e-16	5.63558354717854	1.04913469784394	6.75004135164061
"NPHS1__pos"	0.0958976059395979	3.01766279461473	2.74823149844301	7.75315051775565
"NR2F1__pos"	2.22044604925031e-16	5.62409530316057	1.95929645483904	6.31974635302596
"MPPE1__pos"	2.22044604925031e-16	7.81493083562969	2.22044604925031e-16	5.92236343404744
"FAM189A2__pos"	2.22044604925031e-16	4.85850296609781	1.38006182354215	6.17559744640505
"PLD5__pos"	1.08633738578506	4.25020853496994	2.44952277697564	5.31212790175443
"FGD5__pos"	0.822441608215608	3.11751527103703	2.22044604925031e-16	9.58671517604916
"NRXN2__pos"	2.22044604925031e-16	3.46366825373002	3.99175238242442	6.99507196953455
"PGM5__pos"	1.29698244547397	1.46703225185836	2.20553380235354	8.12453455189499
"SLC26A7__pos"	2.22044604925031e-16	7.77740881066125	2.22044604925031e-16	5.34537460779154
"PNO1__pos"	0.00100504206722823	1.95302840738003	6.17441143244526	6.40326522163733
"SPARCL1__pos"	0.642305329054935	3.74161301835748	5.22137411069616	4.87998747406291
"CTGF__pos"	1.14471958984171	7.7604679281315	2.22044604925031e-16	4.67654179825644
"WDR77__pos"	0.0897449521622044	5.32460378376061	0.483916410540598	8.51790662507716
"KIAA1841__pos"	2.29159887042749	3.7783598099886	0.208710192472816	7.51590070405366
"ZNF385B__pos"	0.523869397446817	4.58079091521251	2.84891192367806	4.94873845479338
"DPH5__pos"	2.22044604925031e-16	5.85677606830554	1.83925394461609	5.77249040477025
"EPM2A__pos"	1.72903546065102	6.00673851635552	2.22044604925031e-16	6.62435585890862
"TMEM50B__pos"	0.878190284174342	7.4699165457126	0.482599428361873	4.95007801241144
"RBBP9__pos"	2.22044604925031e-16	8.20880139962197	1.36258952660867	5.128479229401
"PTPRF__pos"	1.745147196343	3.90441944116646	0.438134407725941	7.44521399208997
"RRAD__pos"	2.22044604925031e-16	2.08913276417197	3.50745014674145	7.24181605007938
"C1orf186__pos"	0.425756023525376	3.70440522532644	1.98068363674004	7.30000850244562
"KLF3__pos"	1.75455856895987	6.36723907342806	2.22044604925031e-16	3.91800128336634
"SCUBE2__pos"	2.22044604925031e-16	3.00314653615855	4.89184728581139	5.74563026524626
"HIST1H4C__pos"	0.743924423286622	0.531903699058231	12.126531384867	2.82225339243667
"S100A13__pos"	0.123473926891896	1.26016535612238	7.42503026755698	5.16703906333095
"TMEM206__pos"	0.334124465530081	2.44078567730697	4.37215855727598	6.70935551293701
"LAMA3__pos"	0.727868600521928	7.53590965167284	0.0709754431341689	5.58379921888712
"LMNTD2__pos"	2.22044604925031e-16	1.30221970369384	2.52583362453985	9.30230943943126
"PLXDC1__pos"	0.503299600098264	4.317922537612	2.22044604925031e-16	8.56539265334968
"PLIN3__pos"	0.484341332208719	1.31919806669304	2.51487948623963	9.73948128656648
"LAMP3__pos"	2.22044604925031e-16	5.50832612362487	4.20476777420303	4.04287994153691
"GJA1__pos"	0.808564897867438	10.6583281407878	0.951090768971582	1.8684719964466
"EGR1__pos"	2.22044604925031e-16	8.31449647271259	2.23043545822814	3.69653732398702
"RALGAPA2__pos"	2.22044604925031e-16	5.54108888448515	0.000132573710122814	8.00788440152418
"PPIAL4G__pos"	0.814273370083686	7.10453000646952	2.22044604925031e-16	4.47457340383989
"NHSL1__pos"	1.88632328730821	5.78993468982735	1.05062562616119	5.41964078745558
"ACAT1__pos"	0.482134368124901	5.5908018398856	3.07593055387901	5.20087645013892
"CBY1__pos"	6.70751095156857e-10	2.5653920059308	0.621202241683153	10.1652437844336
"CBX1__pos"	2.22044604925031e-16	2.22044604925031e-16	12.2905626309466	2.68489780971321
"TMEM150C__pos"	0.865644167206211	6.26248358233274	1.26627929955153	6.09035556579461
"PARN__pos"	6.2873578335858	3.08619748028718	2.50572227796358	1.98047665442493
"TCEAL1__pos"	0.209440240787756	1.84784642479812	6.04687062733934	6.20545784837256
"TAGLN__pos"	2.22044604925031e-16	0.812721912091639	1.9848351427188	10.2420515468011
"PABPC5__pos"	2.22044604925031e-16	6.76735196857628	2.0893744408199	4.13022750956812
"TGFB3__pos"	2.22044604925031e-16	5.292765892971	2.22044604925031e-16	8.0899153647935
"MYL12B__pos"	2.22044604925031e-16	5.14370105690548	11.1562805150209	2.22044604925031e-16
"LCN10__pos"	2.22044604925031e-16	3.9382119745541	1.78915485751618	7.61057039455777
"IGFBP7__pos"	0.551332958797383	8.0918450896004	4.0133302683253	1.82811285068612
"CETN3__pos"	2.22044604925031e-16	4.05105652570623	6.63067817820871	3.66541573222757
"LAMC1__pos"	2.22044604925031e-16	1.82428026218597	6.33940079784472	6.04319289324495
"TLL1__pos"	2.22044604925031e-16	3.88499609369909	4.13739280416806	6.29333040637887
"CXCL14__pos"	2.22044604925031e-16	6.79530223476674	2.46362155294479	4.26602348582259
"POLR2F__pos"	1.1617200473209	0.517281235600234	9.70259605463719	3.80382850568561
"C7orf25__pos"	0.234662637811511	5.51060019328313	1.10476673476601	6.9985805096787
"CTSF__pos"	0.575516430681142	2.99363695353912	3.7225938247822	7.47539160884541
"FAM169A__pos"	1.78998537583093	5.61383938901587	4.22059459075808	3.35828176046475
"CYP27C1__pos"	2.22044604925031e-16	2.54654683473427	3.38009472289511	7.26064477708074
"MRPL47__pos"	0.696707188417179	7.43642034007479	3.06977935577009	3.50408088048555
"CXXC1__pos"	0.217531121784661	2.22044604925031e-16	4.16484485819523	9.67565441642086
"RAMP3__pos"	2.22044604925031e-16	3.45224539679387	4.81910208123906	6.0816768918976
"USE1__pos"	2.22044604925031e-16	2.22044604925031e-16	7.13975289033741	7.32591135275098
"CWC22__pos"	5.76350596182248	1.96707020820764	0.29644053287261	4.17113567108325
"TPM2__pos"	1.30721989921156	2.22044604925031e-16	3.81752930878706	9.3262878842751
"DPP4__pos"	1.56503311099507e-05	7.27280667039886	2.88126376544413	4.2540780686098
"ACKR2__pos"	2.22044604925031e-16	3.48292014041494	2.81844471876959	6.73150453910355
"AKAP10__pos"	0.525597545278001	3.17016391121711	2.22044604925031e-16	10.5928675035113
"RCL1__pos"	1.39574423076497	4.17505630007647	0.333586585049211	7.57665678060037
"ZNF33A__pos"	1.11190353371578	8.99977238135634	2.22044604925031e-16	3.95113320318186
"DCBLD2__pos"	2.37429750788369	4.41883024734545	2.22044604925031e-16	6.51211665488431
"GTF2F1__pos"	2.22044604925031e-16	2.22044604925031e-16	9.26557505765327	6.88085631411117
"IL3RA__pos"	2.22044604925031e-16	3.16684817402559	5.29288621209556	5.47223784072337
"ACACB__pos"	1.08042911757674	3.22469448114408	2.22044604925031e-16	8.33135350859524
"INSR__pos"	0.862485812912225	6.26640435047088	2.22044604925031e-16	7.2243760427027
"SPIRE1__pos"	0.127720027837298	2.06972592138453	5.23642796196371	7.69647928308058
"ID4__pos"	2.22044604925031e-16	6.01541876031556	0.207170580989947	4.97485941077391
"LGI4__pos"	2.22044604925031e-16	2.94272972081844	3.18490676199393	6.10662125378491
"POLD3__pos"	2.22044604925031e-16	5.15081356261411	1.64086880680116	6.89239350039651
"PLCB4__pos"	2.22044604925031e-16	3.23520437803372	3.00973913522571	7.61495415413313
"ARHGAP42__pos"	0.865560680666105	8.30626664823938	0.306418308570346	3.91789395727262
"GGCX__pos"	2.22044604925031e-16	6.01456562306672	0.782109549088268	6.21502753077411
"NOSTRIN__pos"	2.22044604925031e-16	4.87909149188121	1.08455981838658	6.82582143216339
"PLXNB2__pos"	1.33735978961508	0.50869477545684	3.66977355934658	8.75969633390583
"ZNF428__pos"	2.22044604925031e-16	1.15522704367585	7.37138481617178	6.0349068707501
"LAPTM4A__pos"	2.22044604925031e-16	12.4856197048292	1.21807270576501	2.22044604925031e-16
"ADAMTS10__pos"	0.528806425344942	2.27306753529348	2.22044604925031e-16	10.0583345769788
"TPPP__pos"	0.666786536040848	2.88424375047566	2.55040842561915	7.28973703122297
"ST5__pos"	0.714307797421365	3.42418979650859	1.17962822915708	8.43197276250502
"RAPGEF5__pos"	0.239342117498092	5.84550800108392	9.83292361359004e-08	7.32315130036072
"HMGN3__pos"	2.22044604925031e-16	2.08257832381937	8.67135030348003	3.91971189971105
"ACSS3__pos"	2.22044604925031e-16	7.57999111643164	0.898095208196793	5.23152541692415
"WDR60__pos"	0.985132304171879	1.06945638150205	4.53373283601995	7.41558318559821
"INTS12__pos"	0.249506879686555	5.89666544016642	1.77831243196559	6.49786933338858
"REM1__pos"	2.22044604925031e-16	2.87841131609812	3.15329476835675	6.01241530724749
"ZNF423__pos"	2.22044604925031e-16	2.68952421088574	2.08475070891647	7.5450038568971
"CPNE8__pos"	0.703341658360256	8.46103717144009	3.70006346618862	2.21940665321335
"RPS6KA4__pos"	1.77510255853665	0.678275997921326	1.93167781586964	9.44069129461458
"CARD11__pos"	1.89400658726053	2.22044604925031e-16	3.85303672703758	7.68477979498809
"S100A16__pos"	2.22044604925031e-16	3.82391581471795	3.90785116675473	5.85790203713346
"BAHCC1__pos"	0.651664668875616	2.45993921746077	1.77619535492441	9.31598054921268
"FMOD__pos"	2.22044604925031e-16	5.41950468581605	3.79894801860981	5.3651295131667
"MFAP4__pos"	2.22044604925031e-16	5.65627017131571	3.19438564320607	4.98534373310959
"CETP__pos"	1.13700039251637	3.27404517256804	5.37574397717457	4.61053957814064
"PLOD1__pos"	2.22044604925031e-16	4.18749429112918	5.43183006932613	5.13877554673901
"THYN1__pos"	2.22044604925031e-16	0.889796369210137	7.89951821185907	4.73889926962021
"MARVELD1__pos"	0.716786593469073	5.46640759096769	2.07164257476426	5.74826267464597
"CIRBP__pos"	3.62867592199693	3.29587736380285	7.7353062391614	2.22044604925031e-16
"ADAL__pos"	1.4292217370372	6.5468859035109	2.22044604925031e-16	5.78064172213031
"HEBP1__pos"	2.22044604925031e-16	6.09990070919778	1.5280545944527	5.94745413677641
"LRRC37A__pos"	0.52273195979923	3.21411280863522	2.22044604925031e-16	6.69588980934139
"DDX49__pos"	2.22044604925031e-16	0.785056343691693	5.44124413624387	8.37951923089083
"FKBP9__pos"	2.00760735716869	2.56472116016304	1.62955760471426	7.05853246114901
"GTF2IRD2B__pos"	2.22044604925031e-16	5.13823665084784	0.281888660495931	7.24413450020165
"TCHP__pos"	2.22044604925031e-16	2.22044604925031e-16	3.75550673418601	10.0747268409299
"CLEC3B__pos"	0.170339041397466	2.21339295116454	7.72741435860722	4.55186677794903
"LYRM4__pos"	2.22044604925031e-16	5.59654625739082	1.16774368156456	7.43866261013245
"EXOC3L4__pos"	0.137012151454052	2.53221919657688	1.45971453926877	9.13299066939137
"SPDYE1__pos"	2.22044604925031e-16	6.00053438837169	2.06722546743009	5.61074286144784
"XRCC6__pos"	0.413526357594608	0.0804534873131661	13.484466984102	2.37558468200612
"ADGRF5__pos"	2.22044604925031e-16	7.43852985820003	2.22044604925031e-16	6.8239655695241
"NDUFS4__pos"	1.94864696843529	3.71885200495635	10.4167823950546	0.0810377631762991
"FABP4__pos"	0.581129427961969	3.02274266577899	4.25219538928242	5.57048736636739
"CCDC58__pos"	0.94174686435894	4.60871806706622	2.57532658761944	6.26808169327798
