"LP03"	"LP04"	"LP06"	"LP07"	"LP12"	"LP13"	"LP14"	"LP17"	"LP21"	"LP22"	"LP24"	"LP30"	"LP31"	"LP63"	"LP68"	"LP69"	"LP71"	"LP72"	"LP112"	"LP114"	"LP115"	"LP116"	"LP117"	"LP118"	"LP120"	"LP16"	"LP18"	"LP20"	"LP23"	"LP27"	"LP28"	"LP29"	"LP32"	"LP35"	"LP40"	"LP41"	"LP42"	"LP43"	"LP44"	"LP45"	"LP46"	"LP48"	"LP49"	"LP67"	"LP79"	"LP90"	"LP91"	"LP92"	"LP94"	"LP95"	"LP97"	"LP100"	"LP103"	"LP106"	"LP108"	"LP109"	"LP121"	"LP01"	"LP02"	"LP05"	"LP08"	"LP10"	"LP11"	"LP15"	"LP19"	"LP25"	"LP26"	"LP37"	"LP39"	"LP50"	"LP51"	"LP52"	"LP54"	"LP55"	"LP60"	"LP61"	"LP62"	"LP64"	"LP65"	"LP80"	"LP81"	"LP84"	"LP110"	"LP111"	"LP113"	"LP119"
"HSP90AB1"	1.60586807178464	1.44937232389372	1.97571593553613	2.10945704617814	0.826726808345937	0.758397905203925	0.826402406048395	1.24341993361526	1.05493947020428	0.760398011473829	0.933526868218596	0.781273317297669	0.851393265597572	0.725088580215064	1.11398865238847	1.20773990552707	1.48737761783053	0.368738455340451	0.858292297735117	0.170685313056463	0.90402040932856	0.695574228182455	0.678704111239994	1.76972296110872	2.05208224492817	-0.883659139206398	-0.376346319772892	-0.891121420548938	-1.07797109611213	-0.519636541821615	0.254886185709426	0.556635619378354	-1.53705185094545	0.217893218609132	0.954674444855841	-0.958212130435024	-0.966976840795304	1.19505019944937	0.118492267415257	-1.11312548938056	-0.204001215746342	0.3225422879682	-0.834202485900689	-0.991727594639653	-0.245018049272101	0.492198764272568	-0.746510447534964	0.95434276917878	-0.771346602268004	0.344900845373183	-0.671036676160925	0.734643137866019	-1.41365499839782	0.404801642909974	-0.779427947083293	-0.891389532070755	0.100543864983336	0.770174000485186	0.646226247985129	1.32772119120719	0.820249236457598	0.0923487479220762	0.851145394254984	0.405223060727813	0.979568472357909	0.594968209610973	-1.05971236922517	-0.07615720937255	-0.652037192447371	-0.607220224901903	-1.0277713823902	-0.917803240423439	0.966929782584972	0.87919287705271	0.466589608414193	0.962148652975888	0.789374396844214	0.817676958917973	0.985120191671266	-0.752512612694156	-0.924810461332208	-1.71330758654162	-0.766177213062561	-0.978985825979538	-0.989563434877405	-0.505928161090276
"PTMA"	1.50001153845878	1.10727138540499	1.9687022593905	1.14954791915768	1.22274147684437	1.12538200435414	1.09964466378311	0.987232089296428	1.1139572127828	1.00850590426451	0.853877097330758	1.03032310927884	-0.258894714945306	0.601137363252639	1.23975580195476	1.26681282029213	1.87845130297949	0.856314420818149	0.49294160611354	0.902070127072601	1.67313189878525	0.464612332991803	0.930990977739788	1.12343786090842	1.34870127605444	0.698315271973231	0.604015530411949	1.08914138893557	0.382614195730598	-1.49626929812014	0.695375045867238	0.728568726003808	-1.04436855061071	1.01715025509824	0.824281706381315	-0.873556656425887	-0.967143061091651	0.773063504522815	-0.539874977096403	-0.691248260310591	-0.0721275009898561	0.48712321222342	-1.27364443563261	0.149234578911911	-0.552177218457164	0.430113066283144	-1.20195516227373	0.627442107598861	0.463222544080771	0.97399339748582	-0.820033710875907	1.16803155603787	-1.23042999985327	0.515844984848127	0.466842908611178	-1.34757990652762	0.355677601819931	0.561221064938944	0.980494763596937	1.22836629596554	0.302595140235592	0.640673415177528	1.19550073634957	1.36078706823677	0.669472168568623	-0.510651604638421	-0.956949921156995	-0.812750108705894	-0.617355200388212	-0.675781878631162	-1.12843024350511	-1.09251065448363	-0.665537355866821	-0.587679295233825	-0.663436610792814	-1.22731425876986	1.38162039739538	0.84445292427574	-0.558252980294085	-0.827062384750512	-0.954313779116985	-1.37976644596384	-1.12524839094318	-0.766169250832133	-0.789752498870489	-0.702598767952284
"PPIB"	1.55875697772834	0.861286683349148	1.19021720971764	0.844652790356222	1.4545357286005	1.49309715121858	1.33879442984919	1.30041438660728	1.3451251542436	1.3255339735052	0.710833635771605	0.704384715187111	0.66371403264969	0.813225222650386	0.725454877828285	0.902959647580944	1.30104241050298	0.733716608381509	0.816698043216181	0.669315911750562	0.711196994468269	0.730745990744334	1.31305663685282	1.43946676480671	1.40239533872673	-0.800466160153511	-0.132194674746954	-1.10196199535108	-0.972764860185952	-1.15329410395117	0.542277119189367	0.898028820752648	-1.35168226539092	1.07975694045675	0.736802912706447	-1.20088486307799	-1.13423990414265	-1.13372691983287	1.40139967375048	-0.111989850394043	0.660891372084748	-0.267681871205838	-1.09761289483121	-0.864958297741875	-0.244883258457399	0.611888770485843	0.448033829535182	0.629883382864136	-0.990111369044724	-1.24620939296248	-0.318718856751461	0.716694287069984	-1.19294891985688	-1.14334678130924	-0.28559426207805	-0.931906666706778	-0.259135734500834	-0.230309241114604	0.746605201866949	1.35568879365405	0.557734375110465	0.415190180095315	0.799723558299712	1.2148492824764	0.949382302976072	0.514746702528222	-0.302463056329677	0.631766933620326	-1.11360916360876	-0.403578758966038	-0.435723754975774	-1.37378263524095	0.813321389031628	0.697344306108461	0.854935259872318	0.0272276469711831	1.36649827977114	1.23847980478555	0.825709897467704	-0.871821228457942	-1.1061490447036	-1.55654496296669	-0.46928584650703	-0.620490061226009	0.539613544790635	-0.183322736193176
"PSMD8"	1.53160283865089	0.455036215169938	1.53208693579281	1.47867481386557	1.66637608720544	1.40417335604116	0.660288528116981	0.941359800953911	0.703149466156943	-0.000851600414990708	-0.0677682823820842	0.100433987183077	0.559997205711781	1.55311059706101	1.4729496443852	1.26644300301528	1.67515956895219	0.667631711914089	0.832135918727942	0.035356004543299	1.32442787619984	1.7438073379513	1.30449600856102	1.50827690219408	1.57209288309507	0.063526198241955	0.300728028006878	-1.64200791059109	0.577141926985789	-0.618406988804646	-0.0701364844476925	0.188761748272168	-1.36793150218158	-0.976080324688282	0.0690925396990129	0.338320966210185	-1.50692064943993	0.459154687499398	0.709787297731788	-0.830593213485963	-0.220732156031108	1.50071712692445	-1.11035460481648	0.016678955508398	0.0925820916138505	0.00502056187620951	-0.0393136601390978	-0.884918580551369	0.216238039394164	-0.157316702127114	0.507324699321065	0.457377669324426	-0.99503787849066	-0.696382056856943	-1.60358171834024	0.0181098321005999	0.00684870334731882	-0.179112949292593	0.734870862899065	0.0426197565360357	0.0945869076368367	0.556081577865285	0.410039363162451	0.220828349664174	0.555971352954352	0.0696212739879374	0.42288737931597	0.577258589009515	-0.976208443867608	1.40634009605076	0.225824045134594	-1.10582843374699	1.48493035241175	0.179159875591329	0.0112755843849208	0.903259099302347	1.43237615173068	0.487603449226195	-0.0280172007503967	-0.999338541050541	-1.40322603323008	-0.576648960187946	-0.999459606132655	-1.09879580314049	0.159174831313385	0.465554048748841
"MFAP1"	1.48972946199309	1.46993565092863	1.50470419089909	1.21501181712962	1.25153334327039	1.43391482085869	0.115895157636593	1.16432576832409	1.26769918154053	1.12245260936386	0.873283118921244	0.810677788610173	-0.442694233170782	0.897687376844113	1.16242725335928	0.392019893968909	1.68867605183839	0.769804077107102	0.0788487953936955	1.07745924263559	1.38922016862586	-0.0360956141435659	1.22835044664535	0.914818162175982	1.28386967942496	-0.952178397104924	-0.352952119256729	-1.21945192963856	-0.782838955591606	-1.06329256960122	0.310759352218624	0.705512599037483	-0.863145241530045	0.207719403022221	0.328390342849752	-1.17250144793883	0.582097760046118	0.434667709914839	0.226593350482715	-0.114181678794012	-1.18680485144117	0.471547440364378	0.316791121819204	-0.49194051866657	0.770011670213263	-0.39052376300691	-0.952421434160947	0.965008283519587	-0.112972287776022	0.0461922738809169	-0.808726030416308	0.69922581919265	-0.494149838170935	0.91686552729125	-0.802852232359811	-0.417471108172789	-0.178848433738357	1.19385308443562	0.542125907296472	1.36622262122782	0.939266595669824	1.079748017097	1.2390891589551	-1.39603439754977	0.434962551272871	-0.599142183427724	-0.754285868109929	-0.0968408806419984	-0.59042560913867	1.07226752591852	-0.724233977108579	-0.904584223164867	0.846105667489666	-0.432979882230082	0.00607984811208129	-0.593092478054562	1.20665814651299	-0.230669474650441	-0.371738397651058	-1.58884056152787	-1.60993857201746	0.892660434024899	0.569917683010336	-1.47101713781063	-0.540683320969794	-0.831371975280038
"ABCF1"	1.48329623679238	1.40324569452472	1.78433811325137	1.98095972054053	0.878036721391995	1.14193948672404	0.585877492623235	0.917962576344558	0.540418622631008	0.784607774794157	1.02925539961731	0.846025381870577	0.760947143472852	0.790721998990216	0.724764835021756	0.670000354973609	1.42140008897232	-0.26842792882312	0.620846189738355	0.59491074352788	1.42513883474659	1.00811629979103	0.761336682158087	0.905687449186704	1.09125878907258	-1.07659551951885	-0.65926898787982	-1.19689790505333	0.871852365966011	-1.13895928997929	0.885899685274461	1.00914755669509	-1.40997219027786	-0.207312412457147	0.489958793882899	-1.20210167198046	-1.13950086965817	-1.06296531082343	-0.629164431296736	-0.844906353154107	-0.811713111989426	-0.334912258195125	0.299517640260698	-1.08965568065661	0.674512349326401	0.896962116130973	-0.953406297317959	0.0750496549520014	-0.78861477086767	0.98626548346646	-0.999290987994827	-1.06564306933	-1.28137328773825	1.05505068097601	0.767550981645966	-1.07000750478359	-0.978534784803341	1.33718972618073	1.16818660993354	1.53678974782816	0.778888272880897	0.864060489505965	1.28516922365355	-0.940684710316073	0.869423744768615	-1.05206276961109	-1.09681506314936	0.980259812372486	0.978410109577152	-0.876970907228184	-1.35166828241403	-0.495096518616967	0.601296317431545	-0.353745918469467	0.788397045328353	-0.847032111183115	0.952363361854916	0.724294965020462	0.980665972694987	-0.940680109648101	-0.962452809147834	1.40867073861903	-0.93064365007764	-1.28874429320063	0.298794640254492	0.436708505825916
"PDIA4"	1.62847409492915	0.976389599470812	1.73925403508916	1.30344219228941	1.29489465021265	1.18147293697096	0.838542296903562	1.37471596806369	0.998157117639828	0.64362062784799	-0.221299990260286	-0.113292987642038	0.627354779114279	0.977894735908475	0.631203745971806	1.18246229409397	1.28336400037552	0.430682227193408	0.176718616896841	0.896138714712742	1.32668597405626	1.17058533912174	1.01743988759291	0.871291973547072	1.52590685792923	-0.715991182237281	-0.0858408268655051	-0.203963528980408	1.47122687484837	-0.555486123576622	-0.230381953577326	-0.0969916332825968	-1.69196381405801	1.47360060699452	0.555626705618556	-0.992006547631718	-0.929014056543284	0.55910751853333	1.03617369650557	-0.194767850602459	0.274925640698544	0.974983475827943	-1.06277716490557	0.569766122473866	0.0218821703159031	-0.0398084329848365	-0.3730987065552	1.0112475012081	-1.22320265792193	-0.0272431536348274	-0.548391115903953	1.31862924393634	-0.593710071852725	0.00816074530932789	-0.24422480456567	-1.05476248457013	-0.13996688900319	-0.0514765181060004	0.685930811350193	1.50468245242384	0.025775844077867	0.576721350706756	1.46880749843627	0.739535361571324	0.595899875354527	0.0323288606721571	-0.753590991180109	0.149034877383349	-0.597047290632112	-0.150436145520003	-1.51691238503264	-0.86735733069182	-0.029947509362512	0.969201757893153	1.14643232751574	-0.570486434002712	1.29548736158318	0.779659345852807	-0.0327039468275822	-0.977710375434507	-0.849685598185628	-0.821234299815115	-0.595435415709919	-0.687475263821873	-0.438600416304144	-0.603675322286873
"TMED9"	1.57903718394133	2.29722020128544	1.57388272990481	1.36505881387633	1.19228256401726	0.972658146123944	0.578929734622366	0.607770947474567	0.758632200641628	-0.0899719172575069	0.148446349463439	0.759000922327375	-0.511081682034122	1.13745823864515	1.12273765520981	1.83543671153402	0.757406088167668	0.628587004509483	0.324213794017367	0.882902249005833	0.643152771627254	0.831977330271953	0.953104957147612	1.37862513502778	1.09404247813147	-0.558784726182742	-0.817631733182958	0.783294791148266	-1.16000237341342	-0.846978055849712	0.539555708484115	-0.702389085953399	-1.08612086806221	-0.0322019416547384	-0.246310833567407	-0.904512501261643	0.652248227897085	-0.785685286679173	1.46546491348301	-0.692217813223788	-0.900561805443938	0.272751777178113	-1.0709449749074	-0.988480427144306	0.266877648574622	0.779705997541868	-0.767825529946635	0.871304867536202	0.0871272960739042	-1.12566604141952	-0.261195502668678	0.108185387144131	-1.16866988266876	-0.713720468405209	-0.17935194045163	-0.790942177194565	0.582327546686313	0.946006652714504	1.73878837366368	1.68279639018285	0.225217028227804	0.614814026007262	0.565542193630174	1.07120799171456	0.703447473129307	0.15203389818911	-0.568778577726298	-0.151058601763265	-0.5838787930707	0.963408746725001	-1.05489686061834	-1.09388182362188	0.547778161739135	-0.721527070504184	0.887680426802204	-0.0265529591496832	0.903914779705667	1.08494816436185	0.858645160952693	-1.40660674037986	-1.04487645467819	-0.353722289036349	0.0622813225542252	-0.927713075043144	-0.780474845109207	0.254246075122821
"DBI"	1.27359131324055	0.770793575274283	1.02281342388198	1.02314481036766	0.0264492481921256	0.927057584318731	0.855568137325369	1.30557171439677	1.16522670524003	0.797262857100623	0.711551107104976	0.666485676826728	0.528027759787008	0.584910322046039	1.01403873773935	1.26525275515353	1.22548274861379	1.25802934363331	0.263477769524614	0.971042368854693	1.02175550641869	0.603010761688377	1.04590670146687	1.15303063626609	1.06206941149511	-0.127610441254354	0.656613847593904	-0.201609471199651	1.35225663181571	-0.31038838051231	0.860050218493293	0.636027997959283	-0.523200151959509	0.252833392855286	0.862438456926576	0.632298986107831	-0.662128711587064	-0.296525525558829	0.726658714190333	-0.158169731962954	0.83340289851843	0.635491595617274	-0.219123138001532	-0.204276455142643	0.238131598062222	0.967245971983601	-1.09381446704246	0.501393134449189	-0.505765458605959	0.567998191004966	0.386283444613152	0.846027302955607	-0.853746414008332	-0.537591641292689	-0.982608494450221	0.238454865460568	0.22596168596568	0.0402085741704053	0.307556619182547	0.766173439765187	0.527795539983978	0.430913284037356	1.26506559041945	0.565216697428983	0.85709897922346	0.0655201744714972	-0.302902504813191	-0.534379942196855	0.0622018910660759	0.61093263363229	-1.70651333974901	-1.15895689745626	-0.584420407060647	0.104823209661061	0.995529934947734	-1.37786916381495	0.974282278101792	-0.390554999025824	-0.528196347323066	-0.254965396177655	-1.20917959461858	-2.93265652665882	-0.720162790143229	-1.30632326325026	-0.959074950405247	-0.557673398249633
"HMGB2"	1.27637116893919	0.898390964121337	1.73397038921268	0.957829443925698	0.904644724678573	0.830535070911298	0.410788156811731	1.06815338471941	0.725927972490181	1.25384984941296	0.827718221061502	0.91777972678639	0.335633001049624	1.06500955297118	0.803865407861007	0.705665938077454	1.4454656491896	-0.830913374997266	0.683824652830997	0.766344146517412	1.06710894335181	0.856613253054	0.987989614832814	1.40667473662781	1.28497635160888	-1.12097988493758	-0.324486349593523	-0.844991077929288	0.401756793700979	-0.893851142318716	-0.745072634233468	0.933438688295303	-1.12528109652222	-0.802858805563698	0.888675308468981	-1.15642787056533	-1.02339049620448	-0.907466536958309	-0.845392635740445	0.304837572334264	0.855025311773723	0.700050285800596	0.649806356699168	-0.587006195478834	0.760860121014769	0.620965439041584	-1.27262560631208	0.978208646728159	-1.32324044513082	0.676080219938561	0.569144728405669	1.78307024662092	-1.14496552829139	-0.280898636264609	-0.968443538214955	0.322289771573003	-1.11268778038106	0.980170812925018	0.888398308550345	1.97111471479913	1.05916355474204	0.564075669062047	1.77315287102299	0.264917762689201	0.653755581703404	0.265593901608286	-0.891541853008871	-0.292937200578614	0.665449996049145	0.789603502945201	-1.55480781983408	-0.933618957762073	0.652826167729995	-0.701699632909493	0.597921413798971	-0.588495093016813	1.10345348576613	0.69713864956502	-0.111576649257798	-1.31564829342667	-1.69031087431441	-0.989304838963912	-0.71293198954754	-1.18952127970816	0.388420255844826	-0.821858804719184
