"ID"	"State"	"InitialState"
"56"	"LP03"	"S01"	"IS03"
"57"	"LP04"	"S01"	"IS03"
"58"	"LP06"	"S01"	"IS03"
"59"	"LP07"	"S01"	"IS03"
"60"	"LP12"	"S01"	"IS03"
"61"	"LP13"	"S01"	"IS03"
"62"	"LP14"	"S01"	"IS03"
"63"	"LP17"	"S01"	"IS03"
"64"	"LP21"	"S01"	"IS03"
"65"	"LP22"	"S01"	"IS03"
"66"	"LP24"	"S01"	"IS03"
"67"	"LP30"	"S01"	"IS03"
"68"	"LP31"	"S01"	"IS03"
"69"	"LP63"	"S01"	"IS03"
"70"	"LP68"	"S01"	"IS03"
"71"	"LP69"	"S01"	"IS03"
"72"	"LP71"	"S01"	"IS03"
"73"	"LP72"	"S01"	"IS03"
"74"	"LP112"	"S01"	"IS03"
"75"	"LP114"	"S01"	"IS03"
"76"	"LP115"	"S01"	"IS03"
"77"	"LP116"	"S01"	"IS03"
"78"	"LP117"	"S01"	"IS03"
"79"	"LP118"	"S01"	"IS03"
"80"	"LP120"	"S01"	"IS03"
"24"	"LP16"	"S02"	"IS02"
"25"	"LP18"	"S02"	"IS02"
"26"	"LP20"	"S02"	"IS02"
"27"	"LP23"	"S02"	"IS02"
"28"	"LP27"	"S02"	"IS02"
"29"	"LP28"	"S02"	"IS02"
"30"	"LP29"	"S02"	"IS02"
"31"	"LP32"	"S02"	"IS02"
"32"	"LP35"	"S02"	"IS02"
"33"	"LP40"	"S02"	"IS02"
"34"	"LP41"	"S02"	"IS02"
"35"	"LP42"	"S02"	"IS02"
"36"	"LP43"	"S02"	"IS02"
"37"	"LP44"	"S02"	"IS02"
"38"	"LP45"	"S02"	"IS02"
"39"	"LP46"	"S02"	"IS02"
"40"	"LP48"	"S02"	"IS02"
"41"	"LP49"	"S02"	"IS02"
"42"	"LP67"	"S02"	"IS02"
"43"	"LP79"	"S02"	"IS02"
"44"	"LP90"	"S02"	"IS02"
"45"	"LP91"	"S02"	"IS02"
"46"	"LP92"	"S02"	"IS02"
"47"	"LP94"	"S02"	"IS02"
"48"	"LP95"	"S02"	"IS02"
"49"	"LP97"	"S02"	"IS02"
"50"	"LP100"	"S02"	"IS02"
"51"	"LP103"	"S02"	"IS02"
"52"	"LP106"	"S02"	"IS02"
"53"	"LP108"	"S02"	"IS02"
"54"	"LP109"	"S02"	"IS02"
"55"	"LP121"	"S02"	"IS02"
"81"	"LP01"	"S03"	"IS04"
"82"	"LP02"	"S03"	"IS04"
"83"	"LP05"	"S03"	"IS04"
"84"	"LP08"	"S03"	"IS04"
"85"	"LP10"	"S03"	"IS04"
"86"	"LP11"	"S03"	"IS04"
"87"	"LP15"	"S03"	"IS04"
"88"	"LP19"	"S03"	"IS04"
"89"	"LP25"	"S03"	"IS04"
"90"	"LP26"	"S03"	"IS04"
"91"	"LP37"	"S03"	"IS04"
"92"	"LP39"	"S03"	"IS04"
"93"	"LP50"	"S03"	"IS04"
"94"	"LP51"	"S03"	"IS04"
"95"	"LP52"	"S03"	"IS04"
"96"	"LP54"	"S03"	"IS04"
"97"	"LP55"	"S03"	"IS04"
"98"	"LP60"	"S03"	"IS04"
"99"	"LP61"	"S03"	"IS04"
"100"	"LP62"	"S03"	"IS04"
"101"	"LP64"	"S03"	"IS04"
"102"	"LP65"	"S03"	"IS04"
"103"	"LP80"	"S03"	"IS04"
"104"	"LP81"	"S03"	"IS04"
"105"	"LP84"	"S03"	"IS04"
"106"	"LP110"	"S03"	"IS04"
"107"	"LP111"	"S03"	"IS04"
"108"	"LP113"	"S03"	"IS04"
"109"	"LP119"	"S03"	"IS04"
