"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"AGR2"	"AGR2"	-0.0166702148002803	1.31213276181701	-0.742152163673632	-0.909651383585993	"S01"	1.31213276181701	"IS02"
"DYDC1"	"DYDC1"	0.185625855688337	1.29212531160177	-0.677731232922544	-1.07859078958168	"S01"	1.29212531160177	"IS02"
"LDLRAD1"	"LDLRAD1"	-0.00817995336013707	1.26922446682736	-0.611165264540643	-0.959705638049787	"S01"	1.26922446682736	"IS02"
"SLC34A2"	"SLC34A2"	0.075545262443944	1.26896483005544	-0.681453835496598	-0.971124845755115	"S01"	1.26896483005544	"IS02"
"C16orf89"	"C16orf89"	-0.172613083726824	1.2436349005517	-0.906984049072884	-0.607602657767903	"S01"	1.2436349005517	"IS02"
"CATSPERD"	"CATSPERD"	0.201603055342982	1.22686627269846	-0.844822992065542	-0.902715635478438	"S01"	1.22686627269846	"IS02"
"CCDC173"	"CCDC173"	-0.073364445132218	1.19588298946198	-0.633867759024293	-0.816554271632117	"S01"	1.19588298946198	"IS02"
"FLRT3"	"FLRT3"	-0.0747153238050825	1.18944647577527	-1.20620732477633	-0.411330677719609	"S01"	1.18944647577527	"IS02"
"ITGB6"	"ITGB6"	-0.188648359612163	1.08653782204043	-0.741984801551051	-0.538510938759385	"S01"	1.08653782204043	"IS02"
"FAM180A"	"FAM180A"	0.0774659893658643	1.08196682126265	-0.941835830869818	-0.587052221611393	"S01"	1.08196682126265	"IS02"
"CXCL17"	"CXCL17"	0.117316368676462	1.06266252274021	-0.602002999085539	-0.830544437565312	"S01"	1.06266252274021	"IS02"
"KCNK3"	"KCNK3"	-0.228521733975671	1.05573499233839	-0.917000591309931	-0.354518389493624	"S01"	1.05573499233839	"IS02"
"TBX5"	"TBX5"	-0.460641187755385	1.046217013173	-0.839388241613655	-0.230275281727611	"S01"	1.046217013173	"IS02"
"ROS1"	"ROS1"	0.159129875791752	1.03826069104056	-0.844010517935848	-0.666079763663329	"S01"	1.03826069104056	"IS02"
"C1orf53"	"C1orf53"	0.105426500419601	1.02977970277596	-0.790467522731123	-0.655156390002521	"S01"	1.02977970277596	"IS02"
"IRX5"	"IRX5"	0.120684363678972	1.0165966847246	-0.644444621926081	-0.753082678263774	"S01"	1.0165966847246	"IS02"
"TMEM190"	"TMEM190"	0.181485297966127	1.01567416616054	-0.454867454369167	-0.927560626505505	"S01"	1.01567416616054	"IS02"
"SFTA3"	"SFTA3"	0.296599066262546	1.00490401915506	-0.46629528287435	-0.990995311652819	"S01"	1.00490401915506	"IS02"
"CCDC8"	"CCDC8"	-0.946788389587022	0.997488065503993	-0.693709028726991	0.0731749074100163	"S01"	0.997488065503993	"IS02"
"MUC5B"	"MUC5B"	-0.931277814910749	0.977161423792009	0.00525919775702926	-0.4008523697298	"S01"	0.977161423792009	"IS02"
"PLEKHS1"	"PLEKHS1"	0.00481152902765565	0.976388739122627	-0.975144774869868	-0.395845687822484	"S01"	0.976388739122627	"IS02"
"SFTPD"	"SFTPD"	0.333078706020245	0.97533345165409	-0.550240270654479	-0.926712210413803	"S01"	0.97533345165409	"IS02"
"PON3"	"PON3"	-0.336193198456079	0.955860470680339	-0.87610170997993	-0.195760443416418	"S01"	0.955860470680339	"IS02"
"HHIP"	"HHIP"	-0.739718055473522	0.946029160043444	0.0796352760011833	-0.556763334828071	"S01"	0.946029160043444	"IS02"
"NRK"	"NRK"	0.0354109054242104	0.937861039094838	-0.795171339895852	-0.500664571392476	"S01"	0.937861039094838	"IS02"
"WISP2"	"WISP2"	-0.247303889028569	0.936388285260521	-0.543738835085894	-0.46931057758326	"S01"	0.936388285260521	"IS02"
"RGS22"	"RGS22"	-0.576350360846301	0.924454049834137	-0.897961161812656	0.0272890432441381	"S01"	0.924454049834137	"IS02"
"MYH6"	"MYH6"	-0.413138547783345	0.920648044009764	-0.237259847870149	-0.544970563241085	"S01"	0.920648044009764	"IS02"
"RHOD"	"RHOD"	-0.328129052692122	0.903601809220832	-1.04117912690787	-0.0298018102570512	"S01"	0.903601809220832	"IS02"
"HSD17B14"	"HSD17B14"	-1.27254433230891	0.903170346340438	-0.183968956972708	0.0580203869751186	"S01"	0.903170346340438	"IS02"
"STK32A"	"STK32A"	-0.909697154150813	0.883200749751047	-0.335647973018696	-0.0769710448773978	"S01"	0.883200749751047	"IS02"
"ELN"	"ELN"	-0.604582180598434	0.877394663138138	-0.992465153317941	0.16479744013482	"S01"	0.877394663138138	"IS02"
"LMO3"	"LMO3"	0.126399134610301	0.862361252577381	-1.21085058070158	-0.195246195641396	"S01"	0.862361252577381	"IS02"
