"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP13"	"LP18"	"LP23"	"LP26"	"LP27"	"LP30"	"LP37"	"LP40"	"LP43"	"LP44"	"LP46"	"LP54"	"LP56"	"LP60"	"LP63"	"LP64"	"LP68"	"LP70"	"LP81"	"LP95"	"LP110"	"LP112"	"LP115"	"LP116"	"LP117"	"LP118"	"LP121"	"LP14"	"LP15"	"LP16"	"LP17"	"LP19"	"LP20"	"LP21"	"LP22"	"LP25"	"LP28"	"LP29"	"LP35"	"LP39"	"LP41"	"LP47"	"LP49"	"LP50"	"LP55"	"LP62"	"LP65"	"LP67"	"LP69"	"LP72"	"LP90"	"LP91"	"LP92"	"LP97"	"LP100"	"LP106"	"LP109"	"LP119"	"LP120"
"AGR2"	0.969971337868373	0.971765137180068	0.95792607446801	0.93447325829835	0.953259347848966	0.972100633777386	-1.11426934258872	0.95367018422661	0.972954156212589	0.985029643015041	0.933875653894079	0.933875653894079	0.933875653894079	0.933875653894079	0.933875653894079	0.933875653894079	0.933875653894079	-0.135217534129524	0.933875653894079	0.933875653894079	1.2432656123116	0.937916598928242	0.933875653894079	0.957300248194366	0.987214596777662	0.943073745150895	0.37266445149687	0.933875653894079	0.934917255989224	0.933875653894079	0.93559589865901	0.933875653894079	0.934018762227144	0.934385048796727	0.933875653894079	0.934269756768405	0.933875653894079	0.933875653894079	-0.383475475089022	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	0.933875653894079	0.934207783863351	-1.11426934258872	-1.11426934258872	0.946696639068708	0.936654318257202	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	0.938651045822472	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	0.93885007805251	0.933875653894079	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872	-1.11426934258872
"DYDC1"	-1.04083566797356	0.94650055473867	1.13639073497275	1.0174095002735	1.1863017939153	1.08853459709616	1.1059945291166	1.04568468913998	1.09953927877899	0.999525646210233	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	1.57114541556825	0.94650055473867	0.94650055473867	0.94650055473867	-1.04083566797356	-0.794804220022202	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	0.94650055473867	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-0.655492123534681	-1.04083566797356	-1.04083566797356	0.94650055473867	0.94650055473867	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-0.450871769660298	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	0.94650055473867	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356	-1.04083566797356
"LDLRAD1"	1.52953476990852	0.957822324835063	1.23567260836674	1.73573981436811	0.745192969057686	0.99987027607889	0.813287737461692	1.31632206011581	1.17109173896627	0.829310013432519	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	1.22510785774494	0.883985984973476	0.723558331293947	1.5511821185156	0.934689424879186	-0.397837867218509	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	0.0866346799274136	0.717859608407657	0.717859608407657	0.717859608407657	0.717859608407657	1.25589290965709	-1.19281283123863	-1.19281283123863	-0.478001170070579	-1.13410595292913	-1.19281283123863	-1.129576702849	0.718005110738976	-1.16121113321911	0.717859608407657	0.717859608407657	0.208295459092291	-1.19281283123863	-1.19113892885554	-1.19281283123863	-1.19281283123863	-1.19281283123863	-1.19281283123863	-1.19281283123863	-1.19281283123863	-1.19281283123863	0.73794854728725	-1.19281283123863	-1.19281283123863	-0.924341286017415	0.720655080983679	0.717859608407657	-1.19281283123863	-1.19281283123863	-1.19281283123863	-1.19281283123863	-1.19281283123863
"SLC34A2"	0.977502375489287	0.953640627045001	0.947382957005705	0.951886926970225	0.983496308688782	0.952662069893602	0.952850126915187	0.996146708319428	0.97996905159998	0.972219294971705	0.945169028973503	0.0869990933328834	0.945169028973503	0.945169028973503	0.961530194057684	0.945169028973503	0.945169028973503	0.948196836140815	0.945302506238402	0.945226131916884	1.22125994922722	0.94539630699769	0.945169028973503	0.965213551308846	0.948320157218573	0.945186850202052	-0.16748769916801	0.945169028973503	0.945169028973503	-0.0678575284067612	0.945169028973503	0.945169028973503	0.945169028973503	-1.11332931382825	0.945169028973503	0.945710125899704	0.945169028973503	0.945169028973503	-1.11332931382825	-1.11332931382825	-1.11332931382825	0.945539914452203	-1.11332931382825	0.946388850850709	-1.11332931382825	-1.11332931382825	-1.11332931382825	0.945169028973503	0.946747410804463	-1.11332931382825	-1.11332931382825	0.959244388182981	-1.11332931382825	-1.11332931382825	-1.11332931382825	-1.11332931382825	-1.11332931382825	-1.11332931382825	-1.11332931382825	-1.11332931382825	0.94674775130699	-1.11332931382825	-1.11332931382825	-1.11332931382825	0.190628345716954	-1.11332931382825	-1.11332931382825	-1.11332931382825	-1.11332931382825	-1.11332931382825
"C16orf89"	0.859608520182159	0.864778486206961	0.891955438849166	0.975672050383929	0.876866168268852	0.920901318627323	0.856701646591888	0.914905562420771	0.863762493100282	0.87679966156005	1.00841377939224	0.875912359949364	0.856393918855549	0.856393918855549	0.903934949129111	0.856393918855549	0.856393918855549	0.183305043777923	0.856393918855549	0.856393918855549	1.12042728676224	-0.128787013040108	0.856393918855549	1.14862830075336	0.874101617273779	-1.01771655569295	1.00839559335447	0.875262098892376	0.923835222484774	1.21668599844822	0.856393918855549	0.62726473433615	0.922522270072584	0.857970761771936	0.908226946633924	0.856393918855549	0.955675298733277	0.909260853355729	-0.305020495856136	-1.23074278568703	-1.23074278568703	0.856785139769868	-1.23074278568703	-1.23074278568703	-0.55620363415729	0.863809180145238	-0.787022493470899	0.865877405604499	0.858106260947784	-1.23074278568703	0.950327956719563	-1.23074278568703	-1.23074278568703	-1.23074278568703	-1.23074278568703	-1.23074278568703	0.868372327574034	-1.23074278568703	-1.23074278568703	-1.07456191801333	0.901577112449462	0.901225062724369	-1.23074278568703	0.939393120110632	1.00084232796288	-1.23074278568703	0.903955336828349	-1.23074278568703	-1.23074278568703	-1.23074278568703
"CATSPERD"	1.04559571012856	1.10718042372748	-1.0054788178635	1.0706242821448	0.961918988649589	0.955090174313735	-1.0054788178635	1.1721302782036	1.09406896333465	0.957347341244223	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	1.13354878673497	1.7007521674563	-0.765948378475507	0.944671993644865	-1.0054788178635	1.13542717263976	1.0312677928449	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.947075046857671	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	0.944671993644865	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	0.944671993644865	0.944671993644865	1.00739105814124	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	0.944671993644865	-1.0054788178635	-1.0054788178635	-1.0054788178635	-1.0054788178635	0.950027793025109
"CCDC173"	1.34985310038235	1.17144683885064	1.14725440856672	0.812479743924824	0.863592474549048	1.37816166954775	1.32538241714572	1.2305369575847	0.944212504838971	1.01039620051161	0.803499595903523	0.803499595903523	0.803499595903523	0.803499595903523	0.803499595903523	0.803499595903523	0.803499595903523	0.514650630742916	0.803499595903523	0.803499595903523	1.5028964496712	-1.13493276671163	0.803499595903523	1.12919910042801	-1.13790502797945	0.864871162319242	0.803499595903523	0.805161765079627	0.803499595903523	0.803499595903523	0.803499595903523	0.803499595903523	0.803499595903523	-0.329794250232976	0.803499595903523	0.803499595903523	0.803499595903523	0.886891138691019	-0.507060501019098	-1.13790502797945	-1.13790502797945	0.858156798198768	0.830999802988338	-1.13790502797945	-1.13790502797945	1.09514437382276	-1.13790502797945	0.803499595903523	0.0808961285926589	0.815459093209633	0.881558926767755	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	0.913135468138373	0.803499595903523	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945	-1.13790502797945
"FLRT3"	0.918820046226416	-0.562790533734901	-1.05909484436388	0.9236900132857	-1.05909484436388	1.0246383880425	0.954674461795051	0.919478980035076	1.05230327881172	0.928795714326328	0.91849076279723	0.91849076279723	0.91849076279723	0.91849076279723	0.91849076279723	0.91849076279723	0.91849076279723	0.928754798111225	0.91933643848497	0.957628749284356	1.55537079989871	-1.05909484436388	0.922013008004804	1.43181005474763	0.939363126928596	1.03325373001301	0.919281640060503	0.91849076279723	0.981761468672968	1.15028719648627	0.934698177953278	0.91849076279723	0.91849076279723	0.926394986404468	0.91849076279723	0.91849076279723	0.918868456574233	0.91849076279723	-0.489533856863742	-1.05909484436388	-1.05909484436388	-1.05909484436388	-1.05909484436388	0.98967041072244	0.918643963990448	0.920554713814129	-1.05909484436388	0.926249641212124	0.919351289710395	-1.05909484436388	0.931610651023217	-1.05909484436388	-1.05909484436388	-1.05909484436388	-1.05909484436388	-1.05909484436388	-1.05909484436388	0.989042144922905	-1.05909484436388	0.941494980013739	1.01383528348903	-1.05909484436388	-1.05909484436388	0.923751599825197	0.91849076279723	-1.05909484436388	-1.05909484436388	-1.05909484436388	-1.05909484436388	0.921302936228049
"ITGB6"	0.857505187746182	0.875855067846448	0.921801592022888	0.878195555763268	0.860860087818527	0.857220331727328	0.877754121228524	0.877156195494501	0.9480692756064	0.905309164059188	0.865459082358793	0.86395446780863	0.856417833039367	0.856417833039367	0.864909265305931	0.33361660380601	0.877860759370828	0.930627486173808	0.857190947238782	0.856595521282301	1.20317323903797	-1.18460523949756	0.858416565387241	1.11794814066759	0.86224068943403	0.856535665221546	0.859486034744416	0.461920496909413	0.856417833039367	-0.19490046077777	0.856417833039367	0.202094249532472	0.875315636590346	-1.18460523949756	0.856417833039367	0.856417833039367	0.856417833039367	0.856417833039367	1.06062898581475	-1.18460523949756	-1.18460523949756	0.856595274220825	-1.18460523949756	-1.18460523949756	-1.18460523949756	0.866396949070764	-1.18460523949756	0.929867986721555	-0.47689894145251	-1.18460523949756	-1.18460523949756	-1.18460523949756	0.856586158836118	-1.18460523949756	-1.18460523949756	-1.18460523949756	-1.18460523949756	-1.18460523949756	-1.18460523949756	0.86346253863118	-1.18460523949756	-1.18460523949756	0.859117529573176	-1.18460523949756	1.01985493827045	-1.18460523949756	0.909799652785678	0.862921602696377	0.869202753246755	0.856652625679546
"FAM180A"	0.967079953785168	0.91006826726316	0.906881819976813	1.02678469010489	0.872536547141497	0.86908563463269	-1.14903762470194	0.980031055519683	0.91055081507856	0.880974771635661	0.864485892702771	0.864952807639297	0.864485892702771	0.864485892702771	0.864485892702771	0.864485892702771	0.864485892702771	0.206940161767147	0.918652534643718	0.864485892702771	1.11678265086061	-0.756869006660395	0.864485892702771	1.34950611382675	0.955848251615861	-1.14903762470194	1.11654195892492	0.864485892702771	0.864485892702771	1.236812919142	0.864485892702771	0.864485892702771	0.864485892702771	-0.97730729429084	0.864485892702771	0.891606715080966	0.864485892702771	0.864485892702771	-0.279020948309937	1.1026162119649	-1.14903762470194	0.866157293303041	0.874839574737142	-1.14903762470194	-1.14903762470194	0.875483174694816	1.05048170469237	0.864485892702771	0.597886406798047	-1.14903762470194	-1.14903762470194	-1.14903762470194	-1.14903762470194	-1.14903762470194	-1.14903762470194	-1.14903762470194	1.03932550073493	0.967492923460992	-1.14903762470194	0.885907178020506	-1.14903762470194	-1.14903762470194	-1.14903762470194	-1.14903762470194	0.864485892702771	-1.14903762470194	-1.14903762470194	-1.14903762470194	-1.14903762470194	-1.14903762470194
