"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"GFPT2"	"GFPT2"	0.5599166432139	0.177274053860382	-0.259941175540502	-0.418197082817287	"IS01"	0.5599166432139
"UNC5B"	"UNC5B"	0.534923916004017	-0.287940892040755	0.195439540361357	-0.206778270202563	"IS01"	0.534923916004017
"MRC2"	"MRC2"	0.490420073292975	-0.183249202340919	-0.151037220775966	-0.0488099573939911	"IS01"	0.490420073292975
"SOX4"	"SOX4"	0.408371750301295	-0.131934952669016	0.0926508087151432	-0.214843383172969	"IS01"	0.408371750301295
"CMTM4"	"CMTM4"	0.383157817068839	-0.116674257904124	0.0334833968376834	-0.172276937966577	"IS01"	0.383157817068839
"VCAN"	"VCAN"	0.347457668549423	-0.0589036012861584	-0.307584556051519	0.0269548933036442	"IS01"	0.347457668549423
"ENAH"	"ENAH"	0.337062242613821	0.0653768098634243	0.165042037692429	-0.429618226184324	"IS01"	0.337062242613821
"PARVA"	"PARVA"	0.25858537394545	0.158105587883684	0.0419773244061449	-0.389055221780678	"IS01"	0.25858537394545
"CDH11"	"CDH11"	0.230204205147311	-0.121057037608518	-0.0055681760606732	-0.0298823119442697	"IS01"	0.230204205147311
"SPARC"	"SPARC"	0.230002869529451	0.00188015876407113	-0.123090486732267	-0.0827893846573497	"IS01"	0.230002869529451
"SERPINE1"	"SERPINE1"	0.222593779325515	0.0648760954122046	-0.556819297246701	0.154589434119446	"IS01"	0.222593779325515
"MYO10"	"MYO10"	0.221783039392205	-0.104183815827163	-0.180513749199547	0.0791366217998326	"IS01"	0.221783039392205
"AGR2"	"AGR2"	-0.0166702148002803	1.31213276181701	-0.742152163673632	-0.909651383585993	"IS02"	1.31213276181701
"DYDC1"	"DYDC1"	0.185625855688337	1.29212531160177	-0.677731232922544	-1.07859078958168	"IS02"	1.29212531160177
"LDLRAD1"	"LDLRAD1"	-0.00817995336013707	1.26922446682736	-0.611165264540643	-0.959705638049787	"IS02"	1.26922446682736
"SLC34A2"	"SLC34A2"	0.075545262443944	1.26896483005544	-0.681453835496598	-0.971124845755115	"IS02"	1.26896483005544
"C16orf89"	"C16orf89"	-0.172613083726824	1.2436349005517	-0.906984049072884	-0.607602657767903	"IS02"	1.2436349005517
"CATSPERD"	"CATSPERD"	0.201603055342982	1.22686627269846	-0.844822992065542	-0.902715635478438	"IS02"	1.22686627269846
"CCDC173"	"CCDC173"	-0.073364445132218	1.19588298946198	-0.633867759024293	-0.816554271632117	"IS02"	1.19588298946198
"FLRT3"	"FLRT3"	-0.0747153238050825	1.18944647577527	-1.20620732477633	-0.411330677719609	"IS02"	1.18944647577527
