"ID"	"State"	"InitialState"
"21"	"LP01"	"S01"	"IS02"
"22"	"LP02"	"S01"	"IS02"
"23"	"LP03"	"S01"	"IS02"
"24"	"LP04"	"S01"	"IS02"
"25"	"LP05"	"S01"	"IS02"
"26"	"LP06"	"S01"	"IS02"
"27"	"LP07"	"S01"	"IS02"
"28"	"LP08"	"S01"	"IS02"
"29"	"LP10"	"S01"	"IS02"
"30"	"LP11"	"S01"	"IS02"
"31"	"LP12"	"S01"	"IS02"
"32"	"LP13"	"S01"	"IS02"
"33"	"LP18"	"S01"	"IS02"
"34"	"LP23"	"S01"	"IS02"
"35"	"LP26"	"S01"	"IS02"
"36"	"LP27"	"S01"	"IS02"
"37"	"LP30"	"S01"	"IS02"
"38"	"LP37"	"S01"	"IS02"
"39"	"LP40"	"S01"	"IS02"
"40"	"LP43"	"S01"	"IS02"
"41"	"LP44"	"S01"	"IS02"
"42"	"LP46"	"S01"	"IS02"
"43"	"LP54"	"S01"	"IS02"
"44"	"LP56"	"S01"	"IS02"
"45"	"LP60"	"S01"	"IS02"
"46"	"LP63"	"S01"	"IS02"
"47"	"LP64"	"S01"	"IS02"
"48"	"LP68"	"S01"	"IS02"
"49"	"LP70"	"S01"	"IS02"
"50"	"LP81"	"S01"	"IS02"
"51"	"LP95"	"S01"	"IS02"
"52"	"LP110"	"S01"	"IS02"
"53"	"LP112"	"S01"	"IS02"
"54"	"LP115"	"S01"	"IS02"
"55"	"LP116"	"S01"	"IS02"
"56"	"LP117"	"S01"	"IS02"
"57"	"LP118"	"S01"	"IS02"
"58"	"LP121"	"S01"	"IS02"
"78"	"LP14"	"S02"	"IS04"
"79"	"LP15"	"S02"	"IS04"
"80"	"LP16"	"S02"	"IS04"
"81"	"LP17"	"S02"	"IS04"
"82"	"LP19"	"S02"	"IS04"
"83"	"LP20"	"S02"	"IS04"
"84"	"LP21"	"S02"	"IS04"
"85"	"LP22"	"S02"	"IS04"
"86"	"LP25"	"S02"	"IS04"
"87"	"LP28"	"S02"	"IS04"
"88"	"LP29"	"S02"	"IS04"
"89"	"LP35"	"S02"	"IS04"
"90"	"LP39"	"S02"	"IS04"
"91"	"LP41"	"S02"	"IS04"
"92"	"LP47"	"S02"	"IS04"
"93"	"LP49"	"S02"	"IS04"
"94"	"LP50"	"S02"	"IS04"
"95"	"LP55"	"S02"	"IS04"
"96"	"LP62"	"S02"	"IS04"
"97"	"LP65"	"S02"	"IS04"
"98"	"LP67"	"S02"	"IS04"
"99"	"LP69"	"S02"	"IS04"
"100"	"LP72"	"S02"	"IS04"
"101"	"LP90"	"S02"	"IS04"
"102"	"LP91"	"S02"	"IS04"
"103"	"LP92"	"S02"	"IS04"
"104"	"LP97"	"S02"	"IS04"
"105"	"LP100"	"S02"	"IS04"
"106"	"LP106"	"S02"	"IS04"
"107"	"LP109"	"S02"	"IS04"
"108"	"LP119"	"S02"	"IS04"
"109"	"LP120"	"S02"	"IS04"
