"IS01"	"IS02"	"IS03"
"AQP7__pos"	6.77488227819036	2.22044604925031e-16	4.89926618311713
"HHLA1__pos"	6.86548421740912	2.28830869850492	3.80558765701445
"MT.CYB__pos"	4.39400034862749	1.83197584963451	3.29829036429282
"SYTL1__pos"	6.5105634081947	2.22044604925031e-16	5.12301751340332
"ZNF525__pos"	6.34440230063337	2.22044604925031e-16	6.18285342660347
"SCAMP5__pos"	5.70612050486632	2.22044604925031e-16	5.74870397910475
"PET100__pos"	6.45409116787976	2.22044604925031e-16	5.1038163586188
"MS4A4E__pos"	6.63135002595509	2.22044604925031e-16	4.60333741790828
"IL10__pos"	5.78101180415528	2.22044604925031e-16	5.4457741389792
"ZNF624__pos"	6.34063161924444	2.22044604925031e-16	4.78476625243446
"CACNA1D__pos"	6.28872796407911	2.22044604925031e-16	5.12877470623078
"SLC3A2__pos"	5.29058429836554	2.22044604925031e-16	5.81496010292575
"ZNF579__pos"	6.15067776413173	1.88233626977439e-13	5.04691315256099
"ABCA8__pos"	5.8716399468588	0.308449465489232	5.15699368037769
"SLC7A8__pos"	6.16791493036157	2.22044604925031e-16	4.61289579505963
"ZNF85__pos"	5.5276006922881	0.314341459453749	5.3475250079744
"CLTCL1__pos"	5.39681737200817	0.59528304627346	4.96789214182497
"RRP8__pos"	5.43386215454029	1.65989541431687e-12	5.82446762925466
"SDF2L1__pos"	4.87922112177258	2.22044604925031e-16	5.49730568673781
"ABCA9__pos"	5.67715516259826	2.22044604925031e-16	4.88356182852661
"UTS2B__pos"	6.56086706271648	3.45282086364501e-16	5.18471395363502
"TSPAN12__pos"	5.515588254196	0.993921025721676	5.1460855791891
"GPR137__pos"	6.18271318826842	0.782485856061448	3.68590164716057
"CDC20__pos"	6.63460212417318	2.22044604925031e-16	4.92752485990325
"FAM32A__pos"	6.95258636574899	2.22044604925031e-16	4.11679775193485
"SLFN13__pos"	4.73155572621169	1.59929657754455	4.98516907439793
"CAMK1__pos"	5.86071318908932	2.22044604925031e-16	5.07113945722955
"PARD6B__pos"	5.78678560397277	2.22044604925031e-16	4.96168084082809
"TG__pos"	6.36333846080046	2.22044604925031e-16	4.66833427325441
