"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"CDC27"	"CDC27"	-0.477021717830753	0.749409305979846	-0.059007486084266	"S01"	0.749409305979846	"IS02"
"CASR"	"CASR"	-0.164316328549972	0.673277870604326	-0.324082552503553	"S01"	0.673277870604326	"IS02"
"FSIP2"	"FSIP2"	-0.329449759231458	0.597950504375109	-0.0995669718519561	"S01"	0.597950504375109	"IS02"
"OPN1MW"	"OPN1MW"	-0.113344801637305	0.469556877793675	-0.227306276189529	"S01"	0.469556877793675	"IS02"
"TCP11X2"	"TCP11X2"	-0.0182902432466844	0.441266134445558	-0.304115071227913	"S01"	0.441266134445558	"IS02"
"CCL7"	"CCL7"	-0.10053810477435	0.435920496054586	-0.21583171890126	"S01"	0.435920496054586	"IS02"
"LRRC37B"	"LRRC37B"	-0.10861885399229	0.424345905773784	-0.199073072224021	"S01"	0.424345905773784	"IS02"
"OR10Q1"	"OR10Q1"	0.000891982286585412	0.420626291039331	-0.308690352603971	"S01"	0.420626291039331	"IS02"
"PABPC1L2B"	"PABPC1L2B"	-0.1090662104039	0.419905831044153	-0.195365327681104	"S01"	0.419905831044153	"IS02"
"OR10C1"	"OR10C1"	-0.0292906575318373	0.417441552806118	-0.275397950926623	"S01"	0.417441552806118	"IS02"
"MAGEE2"	"MAGEE2"	0.0708987284695601	0.416611149678308	-0.377567112183175	"S01"	0.416611149678308	"IS02"
"HTR1E"	"HTR1E"	0.00878320104566454	0.415019637601603	-0.312682932459782	"S01"	0.415019637601603	"IS02"
"NXF2B"	"NXF2B"	0.0366301480660302	0.411321502464611	-0.338543073348871	"S01"	0.411321502464611	"IS02"
"QRFPR"	"QRFPR"	0.0175718498159744	0.406599333064257	-0.315537349327393	"S01"	0.406599333064257	"IS02"
"TRH"	"TRH"	-0.113563642735783	0.404721300503619	-0.179641117217734	"S01"	0.404721300503619	"IS02"
"OR51T1"	"OR51T1"	-0.0779823410517577	0.396835793519414	-0.210371421582345	"S01"	0.396835793519414	"IS02"
"KNCN"	"KNCN"	0.0152038974410522	0.396520347686151	-0.305733377317488	"S01"	0.396520347686151	"IS02"
"OR9G4"	"OR9G4"	0.011403303947548	0.394745437751299	-0.300535919046857	"S01"	0.394745437751299	"IS02"
"OR51A4"	"OR51A4"	0.0917989285175825	0.387555341057866	-0.377746711376733	"S01"	0.387555341057866	"IS02"
"OLIG1"	"OLIG1"	-0.0575503160836001	0.386308006164208	-0.223627843822055	"S01"	0.386308006164208	"IS02"
"OR14J1"	"OR14J1"	-0.0161151649245875	0.385737759241581	-0.265715802427728	"S01"	0.385737759241581	"IS02"
"DIRC1"	"DIRC1"	0.0435379524501604	0.380833661947717	-0.323321095545481	"S01"	0.380833661947717	"IS02"
"NKX6.1"	"NKX6.1"	0.0629838300062105	0.378598465345899	-0.341633652483284	"S01"	0.378598465345899	"IS02"
"CPN1"	"CPN1"	0.0478508249405236	0.357587827233863	-0.310736200461614	"S01"	0.357587827233863	"IS02"
"KRT78"	"KRT78"	0.179360630219818	0.35532156428306	-0.443984000561736	"S01"	0.35532156428306	"IS02"
"SCN10A"	"SCN10A"	-0.0713902599215035	0.327846991761703	-0.166654131929115	"S01"	0.327846991761703	"IS02"
"EIF4E1B"	"EIF4E1B"	0.0576773092710917	0.325633134521014	-0.297434970924745	"S01"	0.325633134521014	"IS02"
"SI"	"SI"	0.128120521731154	0.322974914256484	-0.367752337601983	"S01"	0.322974914256484	"IS02"
"FAM156B"	"FAM156B"	-0.0134768427311463	0.322891503680139	-0.222437194152225	"S01"	0.322891503680139	"IS02"
"TMEM167A"	"TMEM167A"	-0.141637149196989	0.310381033602299	-0.0818131498727765	"S01"	0.310381033602299	"IS02"
"ASTN2"	"ASTN2"	0.0504859496950689	0.308195044316234	-0.277298316546992	"S01"	0.308195044316234	"IS02"
"OR5M8"	"OR5M8"	-0.00918981340908362	0.303417576011379	-0.212585720485378	"S01"	0.303417576011379	"IS02"
"PRR23B"	"PRR23B"	0.0671247889421146	0.302603450369317	-0.29027544301573	"S01"	0.302603450369317	"IS02"
"MTNR1A"	"MTNR1A"	-0.00629690648005495	0.302233668092922	-0.21468706254541	"S01"	0.302233668092922	"IS02"
"RPL10L"	"RPL10L"	0.0011663496179858	0.299004437975684	-0.219980205659194	"S01"	0.299004437975684	"IS02"
"OPTC"	"OPTC"	-0.000273480603802256	0.298585155863301	-0.218196400084024	"S01"	0.298585155863301	"IS02"
"KBTBD11"	"KBTBD11"	0.0956889184987312	0.296807802699128	-0.315336522386152	"S01"	0.296807802699128	"IS02"
"OR10H2"	"OR10H2"	0.00763074706810899	0.296213369065281	-0.224569300397405	"S01"	0.296213369065281	"IS02"
"GNAT3"	"GNAT3"	0.0733991784380366	0.295693302292781	-0.291655662485674	"S01"	0.295693302292781	"IS02"
"DBX2"	"DBX2"	0.146986301606609	0.295625488084276	-0.367093550318087	"S01"	0.295625488084276	"IS02"
"MC3R"	"MC3R"	-0.00341014775816585	0.295386212288748	-0.212638038192501	"S01"	0.295386212288748	"IS02"
"LCE6A"	"LCE6A"	0.0107558671571931	0.294573011939734	-0.226574865289322	"S01"	0.294573011939734	"IS02"
"OR4S1"	"OR4S1"	0.0849037946527052	0.293860358942624	-0.302116206940348	"S01"	0.293860358942624	"IS02"
"ASB10"	"ASB10"	-0.0305017439977063	0.291870207174043	-0.182274115782499	"S01"	0.291870207174043	"IS02"
"IFNA7"	"IFNA7"	0.0488468949952515	0.291321273848302	-0.263270272000343	"S01"	0.291321273848302	"IS02"
"OR13C2"	"OR13C2"	-0.0132240085727983	0.291135121950866	-0.199460180868567	"S01"	0.291135121950866	"IS02"
"TMEM179"	"TMEM179"	0.0491650471385829	0.289824110334606	-0.262501154913538	"S01"	0.289824110334606	"IS02"
"DEFB128"	"DEFB128"	0.0109396642581663	0.28890958710473	-0.222619439552369	"S01"	0.28890958710473	"IS02"
"LGALS7"	"LGALS7"	0.131586323200107	0.288501063998409	-0.346082874788043	"S01"	0.288501063998409	"IS02"
"GPR148"	"GPR148"	0.0225540536194759	0.287968714339682	-0.233845326615729	"S01"	0.287968714339682	"IS02"
"STRA8"	"STRA8"	0.0192634463245356	0.286616699779463	-0.229480460558923	"S01"	0.286616699779463	"IS02"
"OR13J1"	"OR13J1"	0.00484435833548682	0.284438328992353	-0.213095070295514	"S01"	0.284438328992353	"IS02"
"KRT82"	"KRT82"	0.00968408428595624	0.28335347011476	-0.217265982816336	"S01"	0.28335347011476	"IS02"
"KRT3"	"KRT3"	0.0313686264286102	0.282665438712224	-0.239007089870431	"S01"	0.282665438712224	"IS02"
"ALPPL2"	"ALPPL2"	-0.014304411726656	0.282120417927801	-0.191755751447086	"S01"	0.282120417927801	"IS02"
"EVPLL"	"EVPLL"	0.0905806670236272	0.281760811582075	-0.299086356999643	"S01"	0.281760811582075	"IS02"
"C22orf31"	"C22orf31"	0.0324933210388221	0.281304493792446	-0.239165016322676	"S01"	0.281304493792446	"IS02"
"ALX1"	"ALX1"	0.0817488230036937	0.280755689046667	-0.289290975410963	"S01"	0.280755689046667	"IS02"
"OR14A16"	"OR14A16"	0.0774352625224228	0.280228296920303	-0.284480120707155	"S01"	0.280228296920303	"IS02"
"GPR139"	"GPR139"	0.0603355784205059	0.2801662950532	-0.266893470656806	"S01"	0.2801662950532	"IS02"
"AKAP4"	"AKAP4"	0.0350342748821259	0.279999424649082	-0.240816661566358	"S01"	0.279999424649082	"IS02"
"NKX1.2"	"NKX1.2"	0.107359817398596	0.277684754817646	-0.313316347771873	"S01"	0.277684754817646	"IS02"
"CCDC166"	"CCDC166"	0.012183723155163	0.277421318503421	-0.215489576029679	"S01"	0.277421318503421	"IS02"
"GPX5"	"GPX5"	0.0959696022186388	0.274489064368574	-0.299293670608751	"S01"	0.274489064368574	"IS02"
"FAM71C"	"FAM71C"	0.133975511921404	0.2716874462072	-0.336231117058072	"S01"	0.2716874462072	"IS02"
"VCX3B"	"VCX3B"	0.0349424697501365	0.270084370612281	-0.233467567982225	"S01"	0.270084370612281	"IS02"
"ALPI"	"ALPI"	0.0406987148684918	0.270028761180684	-0.239331778096299	"S01"	0.270028761180684	"IS02"
"ARHGAP21"	"ARHGAP21"	-0.238244265652559	0.265041041214402	0.0504644460864199	"S01"	0.265041041214402	"IS02"
"AMBN"	"AMBN"	0.0903381124309731	0.254370868345129	-0.278796116562642	"S01"	0.254370868345129	"IS02"
"GPX6"	"GPX6"	0.123856051438081	0.24652116530446	-0.307435969990677	"S01"	0.24652116530446	"IS02"
"AL023875.1"	"AL023875.1"	-0.142328962116316	0.238706572349295	-0.0286587431635215	"S01"	0.238706572349295	"IS02"
"AMFR"	"AMFR"	-0.18307477153007	0.231900658493943	0.0181192622842032	"S01"	0.231900658493943	"IS02"
"TMCO5A"	"TMCO5A"	0.140529068400961	0.229183214705762	-0.311853261702476	"S01"	0.229183214705762	"IS02"
"TSPAN19"	"TSPAN19"	0.140699225371911	0.222194566482476	-0.306914167929669	"S01"	0.222194566482476	"IS02"
"POU3F2"	"POU3F2"	0.165131942136217	0.221175117342958	-0.331231920333292	"S01"	0.221175117342958	"IS02"
"DNAJB7"	"DNAJB7"	0.19682140040883	0.20507793119304	-0.351961328838972	"S01"	0.20507793119304	"IS02"
"IRS4"	"IRS4"	0.0212869043056288	0.198492658199384	-0.167075168235596	"S01"	0.198492658199384	"IS02"
"HEPN1"	"HEPN1"	0.0820996051280537	0.191817097809937	-0.224573798493008	"S01"	0.191817097809937	"IS02"
"THEGL"	"THEGL"	0.163046059898443	0.183323795435182	-0.301396081060731	"S01"	0.183323795435182	"IS02"
"CD177"	"CD177"	0.163960014510679	0.169019581526869	-0.291867140536354	"S01"	0.169019581526869	"IS02"
"PPIAL4G"	"PPIAL4G"	0.00812315499106895	0.109916140301503	-0.0887593793004031	"S01"	0.109916140301503	"IS02"
"PCDH9"	"PCDH9"	-0.0193131194784202	0.0595672506961694	-0.0237739130960918	"S01"	0.0595672506961694	"IS02"
"MYH1"	"MYH1"	1.60682734940076	-0.149697326671585	-1.53878897879345	"S02"	1.60682734940076	"IS01"
"OR6C6"	"OR6C6"	1.59838518897322	-0.135370998703108	-1.54061147887699	"S02"	1.59838518897322	"IS01"
"OR13F1"	"OR13F1"	1.57841209585585	-0.131826043808017	-1.52271645078169	"S02"	1.57841209585585	"IS01"
"KLK8"	"KLK8"	1.57581454446846	-0.140660293046749	-1.51358773291407	"S02"	1.57581454446846	"IS01"
"ACTL7A"	"ACTL7A"	1.57427707797611	-0.15043095876802	-1.50486129380377	"S02"	1.57427707797611	"IS01"
"OR12D3"	"OR12D3"	1.57386389444807	-0.140632516945223	-1.51160703140359	"S02"	1.57386389444807	"IS01"
"PASD1"	"PASD1"	1.56972257129581	-0.151422791619362	-1.49946343579717	"S02"	1.56972257129581	"IS01"
"CRYAA"	"CRYAA"	1.56901777399797	-0.13780528622602	-1.50870446547099	"S02"	1.56901777399797	"IS01"
"BPIFB3"	"BPIFB3"	1.56786765630572	-0.144732429382249	-1.50245600469676	"S02"	1.56786765630572	"IS01"
"RETNLB"	"RETNLB"	1.56704738331257	-0.1381849480108	-1.50640538821087	"S02"	1.56704738331257	"IS01"
"LRRC53"	"LRRC53"	1.56184518257663	-0.0272328519043036	-1.58225330139325	"S02"	1.56184518257663	"IS01"
"PHOX2B"	"PHOX2B"	1.56172778629598	0.00666864687897025	-1.60693884807733	"S02"	1.56172778629598	"IS01"
"C17orf74"	"C17orf74"	1.56112529658438	-0.148556407981132	-1.49274149065631	"S02"	1.56112529658438	"IS01"
"FAM181A"	"FAM181A"	1.5443479479688	-0.147997351207725	-1.47593993354628	"S02"	1.5443479479688	"IS01"
"TTLL2"	"TTLL2"	1.54075185389357	-0.243512524494326	-1.40236181928522	"S02"	1.54075185389357	"IS01"
"CYP4F2"	"CYP4F2"	1.54036365538722	-0.00364007179404125	-1.57748002437145	"S02"	1.54036365538722	"IS01"
"C1orf146"	"C1orf146"	1.5364486413565	-0.12675335377702	-1.48338101598797	"S02"	1.5364486413565	"IS01"
"ADAM7"	"ADAM7"	1.52980618381576	-0.0933608750612514	-1.50100053823103	"S02"	1.52980618381576	"IS01"
"POTEB3"	"POTEB3"	1.51376528127717	-0.208145652957215	-1.40055651808464	"S02"	1.51376528127717	"IS01"
"FGA"	"FGA"	1.51084893607249	-0.142192530988713	-1.44582324029783	"S02"	1.51084893607249	"IS01"
"MESP2"	"MESP2"	1.5093282038314	-0.145739434805826	-1.44166793972523	"S02"	1.5093282038314	"IS01"
"NLRP5"	"NLRP5"	1.50586649560134	0.0110132551291316	-1.5528139232006	"S02"	1.50586649560134	"IS01"
"RXFP3"	"RXFP3"	1.50585422782802	-0.128323136015251	-1.45084788167756	"S02"	1.50585422782802	"IS01"
"GFRA4"	"GFRA4"	1.50482049909066	-0.127151357246587	-1.45064485603165	"S02"	1.50482049909066	"IS01"
"RXFP2"	"RXFP2"	1.50476205750736	-0.124936099830382	-1.4522058252572	"S02"	1.50476205750736	"IS01"
"NR0B1"	"NR0B1"	1.50439783438174	-0.123855994663335	-1.45262251693636	"S02"	1.50439783438174	"IS01"
"SLC6A2"	"SLC6A2"	1.50429194742664	-0.308391234183969	-1.31748811043935	"S02"	1.50429194742664	"IS01"
"AC006386.1"	"AC006386.1"	1.50414790834061	-0.123561389688334	-1.45258170118004	"S02"	1.50414790834061	"IS01"
"ART5"	"ART5"	1.50413099906647	-0.120888338516087	-1.45452024632614	"S02"	1.50413099906647	"IS01"
"AC011155.1"	"AC011155.1"	1.50400274859644	-0.120737058832835	-1.45449937624348	"S02"	1.50400274859644	"IS01"
"IL17F"	"IL17F"	1.50397803520093	-0.122511505976133	-1.45317564866691	"S02"	1.50397803520093	"IS01"
"DEFB116"	"DEFB116"	1.50381476625917	-0.120326622162026	-1.45460685878433	"S02"	1.50381476625917	"IS01"
"OR6C74"	"OR6C74"	1.50355730283427	-0.129608615852846	-1.44755104367511	"S02"	1.50355730283427	"IS01"
"CABP2"	"CABP2"	1.50355729950926	-0.129608620535823	-1.44755103683767	"S02"	1.50355729950926	"IS01"
"TM4SF5"	"TM4SF5"	1.50355725177057	-0.129608687770982	-1.44755093866966	"S02"	1.50355725177057	"IS01"
"CT47A7"	"CT47A7"	1.50268974422225	-0.128322551832012	-1.44760210284733	"S02"	1.50268974422225	"IS01"
"CFC1"	"CFC1"	1.50248415565267	-0.13105185610037	-1.44539415305663	"S02"	1.50248415565267	"IS01"
"CNGA2"	"CNGA2"	1.50179884164252	-0.134034863183985	-1.44250845272679	"S02"	1.50179884164252	"IS01"
"SUN5"	"SUN5"	1.50169843160962	-0.143479732422679	-1.43549456967764	"S02"	1.50169843160962	"IS01"
"KLF18"	"KLF18"	1.50134621140717	-0.134110121594312	-1.44198906620234	"S02"	1.50134621140717	"IS01"
"SPATA31A5"	"SPATA31A5"	1.50097151560563	-0.0221795783963339	-1.5235050913571	"S02"	1.50097151560563	"IS01"
"TMEM202"	"TMEM202"	1.50088073388127	-0.127458545051754	-1.44637857496229	"S02"	1.50088073388127	"IS01"
"TRIM51"	"TRIM51"	1.49957651634728	-0.0234899233063181	-1.52111527733441	"S02"	1.49957651634728	"IS01"
"RIIAD1"	"RIIAD1"	1.4993582386144	-0.131777874437958	-1.44165627639302	"S02"	1.4993582386144	"IS01"
"HNRNPCL1"	"HNRNPCL1"	1.49861749947457	-0.135516553702803	-1.4381607887172	"S02"	1.49861749947457	"IS01"
"OR2T1"	"OR2T1"	1.49781626028227	-0.138338818737343	-1.43527378557501	"S02"	1.49781626028227	"IS01"
"PAX7"	"PAX7"	1.49767252517695	-0.133325602312786	-1.43879454565567	"S02"	1.49767252517695	"IS01"
"MYBPHL"	"MYBPHL"	1.49676290814459	-0.13433361283016	-1.43712386912482	"S02"	1.49676290814459	"IS01"
"CST11"	"CST11"	1.4962433456599	-0.133707788183874	-1.43704880943049	"S02"	1.4962433456599	"IS01"
"PADI3"	"PADI3"	1.49555149894621	-0.137217230314402	-1.43377121131449	"S02"	1.49555149894621	"IS01"
"ZNF735"	"ZNF735"	1.49549161433031	-0.0065577836487857	-1.52931425335049	"S02"	1.49549161433031	"IS01"
"OR2T27"	"OR2T27"	1.49497244689557	-0.183981832221652	-1.39895920386986	"S02"	1.49497244689557	"IS01"
"ACTL8"	"ACTL8"	1.49421064008225	-0.136618858538898	-1.43283355782492	"S02"	1.49421064008225	"IS01"
"TLX3"	"TLX3"	1.49389261725526	-0.136673961399901	-1.43246700290324	"S02"	1.49389261725526	"IS01"
"FGF4"	"FGF4"	1.49370143276431	-0.143716663473822	-1.42711768444022	"S02"	1.49370143276431	"IS01"
"CXorf49"	"CXorf49"	1.49326850411045	-0.0326679704198739	-1.50792871667839	"S02"	1.49326850411045	"IS01"
"DEFB106A"	"DEFB106A"	1.49222658785354	-0.128905973829069	-1.43644184169649	"S02"	1.49222658785354	"IS01"
"OR1D5"	"OR1D5"	1.49182675643919	0.000315677134688053	-1.53058411218467	"S02"	1.49182675643919	"IS01"
"CWH43"	"CWH43"	1.49096244295984	-0.00381368830011622	-1.52667599093719	"S02"	1.49096244295984	"IS01"
"OBP2B"	"OBP2B"	1.49019269055784	-0.0330196890711744	-1.5045161152404	"S02"	1.49019269055784	"IS01"
"SLC15A5"	"SLC15A5"	1.48830721176538	-0.0156828164547026	-1.51526746057439	"S02"	1.48830721176538	"IS01"
"F2"	"F2"	1.48827714518699	-0.0616366910129047	-1.48161183126559	"S02"	1.48827714518699	"IS01"
"EPPIN.WFDC6"	"EPPIN.WFDC6"	1.48757485364549	-0.141580064587312	-1.42239625167432	"S02"	1.48757485364549	"IS01"
"OR13C5"	"OR13C5"	1.48516757281636	0.00319591803025473	-1.52586044872185	"S02"	1.48516757281636	"IS01"
"KRTAP26.1"	"KRTAP26.1"	1.48463095385522	-0.00992975710292155	-1.51570581905881	"S02"	1.48463095385522	"IS01"
"LCE1E"	"LCE1E"	1.48410464795065	-0.157328402432952	-1.40731325400848	"S02"	1.48410464795065	"IS01"
"DEFB119"	"DEFB119"	1.48308034166137	-0.0114944145198806	-1.51297029107997	"S02"	1.48308034166137	"IS01"
"METTL21C"	"METTL21C"	1.48034985569446	-0.0785345757357087	-1.46111551391152	"S02"	1.48034985569446	"IS01"
"OR52A5"	"OR52A5"	1.47927812677809	-0.0622308035987525	-1.47194569700283	"S02"	1.47927812677809	"IS01"
"PRDM13"	"PRDM13"	1.47831306840887	-0.0767857413465096	-1.46030576158626	"S02"	1.47831306840887	"IS01"
"UCN3"	"UCN3"	1.47801810165081	-0.0146076242856329	-1.50549936053752	"S02"	1.47801810165081	"IS01"
"NPVF"	"NPVF"	1.47760433885122	-0.00642511235353482	-1.51106211618124	"S02"	1.47760433885122	"IS01"
"TSHB"	"TSHB"	1.47720928928289	-0.0161126013127985	-1.50356845791641	"S02"	1.47720928928289	"IS01"
"SLC2A2"	"SLC2A2"	1.47628921399442	0.0318294087424625	-1.53770414126925	"S02"	1.47628921399442	"IS01"
"MYO1H"	"MYO1H"	1.47581943642254	-0.321431208131531	-1.27873885350795	"S02"	1.47581943642254	"IS01"
"OR10G7"	"OR10G7"	1.4756192637046	0.0772307957906326	-1.57023741664565	"S02"	1.4756192637046	"IS01"
"CCDC185"	"CCDC185"	1.47496369612687	-0.0177063054571149	-1.50009874741403	"S02"	1.47496369612687	"IS01"
"KIAA1210"	"KIAA1210"	1.46887314551522	-0.223407986759217	-1.3433374832083	"S02"	1.46887314551522	"IS01"
"TINAG"	"TINAG"	1.46349119604677	0.0302837093531374	-1.52344461541398	"S02"	1.46349119604677	"IS01"
"LCE3E"	"LCE3E"	1.45995283996846	0.0361526832145315	-1.52410925253495	"S02"	1.45995283996846	"IS01"
"C1orf94"	"C1orf94"	1.45878041179377	-0.162468793765994	-1.37757375841017	"S02"	1.45878041179377	"IS01"
"C7orf34"	"C7orf34"	1.45820215816783	-0.258152214197619	-1.30696831255267	"S02"	1.45820215816783	"IS01"
"AC010655.1"	"AC010655.1"	1.45739658442706	-0.0481413241060462	-1.45980843984399	"S02"	1.45739658442706	"IS01"
"GDF2"	"GDF2"	1.45709142236823	-0.0117998096747409	-1.48608674900885	"S02"	1.45709142236823	"IS01"
"RBP2"	"RBP2"	1.45524947208011	-0.236025325107505	-1.32012978010395	"S02"	1.45524947208011	"IS01"
"UGT2A3"	"UGT2A3"	1.45452143624059	-0.0189952928491211	-1.47818540539307	"S02"	1.45452143624059	"IS01"
"NR1H4"	"NR1H4"	1.45186768603846	-0.265776140562864	-1.29489177020149	"S02"	1.45186768603846	"IS01"
"PIWIL3"	"PIWIL3"	1.44970419675043	-0.340423260516283	-1.23805256501185	"S02"	1.44970419675043	"IS01"
"TMPRSS11F"	"TMPRSS11F"	1.44673723221768	0.0729764407128964	-1.5374965649917	"S02"	1.44673723221768	"IS01"
"IL36G"	"IL36G"	1.44498696587234	-0.0452764318945319	-1.449174605929	"S02"	1.44498696587234	"IS01"
"LIPN"	"LIPN"	1.44289497462469	-0.233142309371034	-1.30956575190448	"S02"	1.44289497462469	"IS01"
"CFHR5"	"CFHR5"	1.44138086664054	-0.143068867131727	-1.37391993889642	"S02"	1.44138086664054	"IS01"
"OR7E24"	"OR7E24"	1.43983162977962	-0.00340498088504616	-1.4745237805467	"S02"	1.43983162977962	"IS01"
"CLDN8"	"CLDN8"	1.4392218005943	0.077002216572562	-1.53273273726963	"S02"	1.4392218005943	"IS01"
"MS4A13"	"MS4A13"	1.4379032271653	0.0525332310624201	-1.51347597598999	"S02"	1.4379032271653	"IS01"
"KRT76"	"KRT76"	1.4364694484438	0.0486766100867881	-1.50918325219739	"S02"	1.4364694484438	"IS01"
"IL13"	"IL13"	1.43482570877431	-0.230716948644851	-1.30306275174284	"S02"	1.43482570877431	"IS01"
"ZSWIM2"	"ZSWIM2"	1.43366480702107	0.0365386696453938	-1.49742476117535	"S02"	1.43366480702107	"IS01"
"OR10G8"	"OR10G8"	1.43308275682058	-0.00673094830087665	-1.46516698349105	"S02"	1.43308275682058	"IS01"
