"ID"	"State"	"InitialState"
"45"	"LP23"	"S01"	"IS02"
"46"	"LP38"	"S01"	"IS02"
"47"	"LP46"	"S01"	"IS02"
"48"	"LP50"	"S01"	"IS02"
"49"	"LP53"	"S01"	"IS02"
"50"	"LP59"	"S01"	"IS02"
"51"	"LP80"	"S01"	"IS02"
"52"	"LP81"	"S01"	"IS02"
"53"	"LP82"	"S01"	"IS02"
"54"	"LP83"	"S01"	"IS02"
"55"	"LP84"	"S01"	"IS02"
"56"	"LP85"	"S01"	"IS02"
"57"	"LP87"	"S01"	"IS02"
"58"	"LP89"	"S01"	"IS02"
"59"	"LP93"	"S01"	"IS02"
"60"	"LP96"	"S01"	"IS02"
"61"	"LP98"	"S01"	"IS02"
"62"	"LP99"	"S01"	"IS02"
"63"	"LP101"	"S01"	"IS02"
"64"	"LP102"	"S01"	"IS02"
"65"	"LP104"	"S01"	"IS02"
"66"	"LP105"	"S01"	"IS02"
"67"	"LP107"	"S01"	"IS02"
"68"	"LP108"	"S01"	"IS02"
"1"	"LP01"	"S02"	"IS01"
"2"	"LP03"	"S02"	"IS01"
"3"	"LP05"	"S02"	"IS01"
"4"	"LP06"	"S02"	"IS01"
"5"	"LP08"	"S02"	"IS01"
"6"	"LP10"	"S02"	"IS01"
"7"	"LP11"	"S02"	"IS01"
"8"	"LP12"	"S02"	"IS01"
"9"	"LP15"	"S02"	"IS01"
"10"	"LP16"	"S02"	"IS01"
"11"	"LP24"	"S02"	"IS01"
"12"	"LP27"	"S02"	"IS01"
"13"	"LP39"	"S02"	"IS01"
"14"	"LP40"	"S02"	"IS01"
"15"	"LP42"	"S02"	"IS01"
"16"	"LP43"	"S02"	"IS01"
"17"	"LP45"	"S02"	"IS01"
"18"	"LP48"	"S02"	"IS01"
"19"	"LP51"	"S02"	"IS01"
"20"	"LP54"	"S02"	"IS01"
"21"	"LP55"	"S02"	"IS01"
"22"	"LP56"	"S02"	"IS01"
"23"	"LP60"	"S02"	"IS01"
"24"	"LP61"	"S02"	"IS01"
"25"	"LP62"	"S02"	"IS01"
"26"	"LP63"	"S02"	"IS01"
"27"	"LP64"	"S02"	"IS01"
"28"	"LP65"	"S02"	"IS01"
"29"	"LP70"	"S02"	"IS01"
"30"	"LP71"	"S02"	"IS01"
"31"	"LP79"	"S02"	"IS01"
"32"	"LP90"	"S02"	"IS01"
"33"	"LP91"	"S02"	"IS01"
"34"	"LP94"	"S02"	"IS01"
"35"	"LP95"	"S02"	"IS01"
"36"	"LP106"	"S02"	"IS01"
"37"	"LP110"	"S02"	"IS01"
"38"	"LP111"	"S02"	"IS01"
"39"	"LP112"	"S02"	"IS01"
"40"	"LP114"	"S02"	"IS01"
"41"	"LP116"	"S02"	"IS01"
"42"	"LP117"	"S02"	"IS01"
"43"	"LP118"	"S02"	"IS01"
"44"	"LP121"	"S02"	"IS01"
"69"	"LP02"	"S03"	"IS03"
"70"	"LP04"	"S03"	"IS03"
"71"	"LP07"	"S03"	"IS03"
"72"	"LP13"	"S03"	"IS03"
"73"	"LP14"	"S03"	"IS03"
"74"	"LP17"	"S03"	"IS03"
"75"	"LP18"	"S03"	"IS03"
"76"	"LP19"	"S03"	"IS03"
"77"	"LP20"	"S03"	"IS03"
"78"	"LP21"	"S03"	"IS03"
"79"	"LP22"	"S03"	"IS03"
"80"	"LP25"	"S03"	"IS03"
"81"	"LP26"	"S03"	"IS03"
"82"	"LP28"	"S03"	"IS03"
"83"	"LP29"	"S03"	"IS03"
"84"	"LP30"	"S03"	"IS03"
"85"	"LP31"	"S03"	"IS03"
"86"	"LP32"	"S03"	"IS03"
"87"	"LP33"	"S03"	"IS03"
"88"	"LP34"	"S03"	"IS03"
"89"	"LP35"	"S03"	"IS03"
"90"	"LP37"	"S03"	"IS03"
"91"	"LP41"	"S03"	"IS03"
"92"	"LP44"	"S03"	"IS03"
"93"	"LP47"	"S03"	"IS03"
"94"	"LP49"	"S03"	"IS03"
"95"	"LP52"	"S03"	"IS03"
"96"	"LP58"	"S03"	"IS03"
"97"	"LP67"	"S03"	"IS03"
"98"	"LP68"	"S03"	"IS03"
"99"	"LP69"	"S03"	"IS03"
"100"	"LP72"	"S03"	"IS03"
"101"	"LP92"	"S03"	"IS03"
"102"	"LP97"	"S03"	"IS03"
"103"	"LP100"	"S03"	"IS03"
"104"	"LP103"	"S03"	"IS03"
"105"	"LP109"	"S03"	"IS03"
"106"	"LP113"	"S03"	"IS03"
"107"	"LP115"	"S03"	"IS03"
"108"	"LP119"	"S03"	"IS03"
"109"	"LP120"	"S03"	"IS03"
