"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"ANXA2__pos"	3.90068273153025	2.22044604925031e-16	3.67763626691398	2.22044604925031e-16	12.749652114825	1.31370773027545
"C1QB__pos"	2.22044604925031e-16	2.22044604925031e-16	6.88678658417327	2.22044604925031e-16	13.5223235972002	2.34508739337297
"CASP1__pos"	4.00971670238772	2.22044604925031e-16	4.76298032869789e-09	2.63617220863648	11.5551790011518	3.71402381571572
"CD200R1__pos"	0.636473322394344	2.24017501835684	2.22044604925031e-16	6.61858241556191	9.09740948852478	4.35483077490356
"CD68__pos"	3.12619032326636	2.22044604925031e-16	1.87225337941758	2.22044604925031e-16	12.2695717650148	6.77027920186064
"CFL1__pos"	3.68091945255947	2.38605590273667	9.79992691795063	2.22044604925031e-16	4.88050944513423	4.57874349874473
"CLIC2__pos"	0.822019490566645	2.22044604925031e-16	3.85005711484844	7.72925889332017	9.04362724299714	2.99775473824559
"CNTLN__pos"	5.38282210568482	2.22044604925031e-16	2.22044604925031e-16	9.70461077274863	9.16794100419583	2.22044604925031e-16
"COL15A1__pos"	0.844149216117098	2.22044604925031e-16	7.94984264652881	7.95312057041116	9.03313200462131	2.22044604925031e-16
"CTSC__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.49816954234805	12.9353391505451	8.01580839434726
"CTSH__pos"	0.681937594451161	2.22044604925031e-16	8.22825858011209	2.22044604925031e-16	12.8498717545478	2.85864258543483e-09
"CXCL11__pos"	2.22044604925031e-16	2.22044604925031e-16	1.11878250832233	4.92950112916252	11.9637813497348	5.18764734774869
"DCTN2__pos"	4.90159425197436	2.22044604925031e-16	10.3176615631653	3.25679534005143	9.30918958503404	2.22044604925031e-16
"DNASE2__pos"	2.22044604925031e-16	0.88504469987492	3.32486158357328	2.22044604925031e-16	13.5356001996996	2.04181325709989
"DPYSL2__pos"	4.48306325556094	6.29230567270029e-07	2.75603730380937	10.4695455492394	8.84647392758181	2.22044604925031e-16
"FAM26F__pos"	2.46612739357956	1.29759892170782	0.895088850444826	0.345563980911216	13.8036121130962	5.04206141680378
"FCGR3A__pos"	4.29779405310859	2.22044604925031e-16	0.581685029469157	2.36681871746906	14.6097729941237	1.18565957864835
"FNDC3B__pos"	3.62679348105607	2.22044604925031e-16	0.0376237585731095	14.0320572137301	7.48873560703815	1.53049867861595
"FPR3__pos"	0.904919238697523	1.93207462611581e-07	1.0384406214031	4.14173653256599	13.0375469636278	3.64185385849487
"HLA.B__pos"	2.22044604925031e-16	2.22044604925031e-16	2.97446504040177	0.294279522247717	7.66051909437528	5.63987627654518
"HNMT__pos"	2.3643197422776	0.394026923264431	7.18994963194026	2.22044604925031e-16	10.5772216321239	3.21391070947821
