"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"TBC1D12"	"TBC1D12"	-0.716727836456541	-0.347450200636902	-0.622797760763418	1.09783957886052	0.413747352976259	-0.460118400905585	"S01"	1.09783957886052	"IS04"
"MS4A7"	"MS4A7"	0.16290851530806	-0.610836385689463	-0.737091799945459	1.05017272271556	0.458948532367775	-0.589323643024511	"S01"	1.05017272271556	"IS04"
"ZEB2"	"ZEB2"	-0.5174782945157	-0.613622940424043	-0.15630994686198	0.993250323816451	0.563250753146352	-0.977041143192417	"S01"	0.993250323816451	"IS04"
"RHOQ"	"RHOQ"	-0.612643583442688	-0.838975935339301	-0.277328599807719	0.99305378696005	0.44384425348228	-0.201131586512236	"S01"	0.99305378696005	"IS04"
"IQGAP1"	"IQGAP1"	-0.793727680296394	-0.590094567979478	-0.527876506372305	0.915776179831151	0.427853691828854	0.039578881059621	"S01"	0.915776179831151	"IS04"
"SLC30A1"	"SLC30A1"	-0.609651825604525	-0.321604198190184	-1.10647617577502	0.91068820201388	0.60426387722669	-0.0447372778276531	"S01"	0.91068820201388	"IS04"
"GCH1"	"GCH1"	0.360081943340085	-0.614750843688748	-1.38968186376768	0.909699006199259	0.682719029897475	-0.101881214620509	"S01"	0.909699006199259	"IS04"
"FNDC3B"	"FNDC3B"	0.0826336685306296	-0.425424811414608	-0.639960645874998	0.850674571172134	0.340938247296854	-0.425910065876772	"S01"	0.850674571172134	"IS04"
"ITGB2"	"ITGB2"	0.17823089933577	0.598175487951464	-0.328133446919232	0.841020312760637	-0.991885602620122	0.180245634204249	"S01"	0.841020312760637	"IS04"
"IRAK3"	"IRAK3"	0.0911881749116324	-0.43028569510573	-0.748438444919624	0.777932619999776	0.459811959658622	-0.408844368545254	"S01"	0.777932619999776	"IS04"
"CNTLN"	"CNTLN"	0.460748796828984	-0.690685181732123	-1.00405041770105	0.775309673215293	0.716326078680725	-0.451996840657094	"S01"	0.775309673215293	"IS04"
"MYD88"	"MYD88"	-0.533457738625611	0.32509748801596	0.261642558254846	0.725959574263661	-0.675475289568703	-0.134332139454991	"S01"	0.725959574263661	"IS04"
"PRCP"	"PRCP"	-0.117920700967535	-0.837864346844594	-0.118571856482821	0.711056919089807	0.251876824658393	-0.0169130904735094	"S01"	0.711056919089807	"IS04"
"CCP110"	"CCP110"	-0.4502086387301	-0.0737403038794411	-0.601675811816278	0.687144167870264	0.384336676538447	-0.451846117737751	"S01"	0.687144167870264	"IS04"
"TCF7L2"	"TCF7L2"	-0.102172695738062	-0.455583441343004	-0.619203339170168	0.666805507175539	0.645092370547236	-0.602529899159923	"S01"	0.666805507175539	"IS04"
"QKI"	"QKI"	-0.0343706275056966	-0.633065470188026	-0.094112888254765	0.660649845728545	0.494804081495826	-0.793629724911699	"S01"	0.660649845728545	"IS04"
"DPYSL2"	"DPYSL2"	0.0385722301215061	-0.59432028572023	-0.16027466616526	0.614045666113199	0.466633178442231	-0.697302658101209	"S01"	0.614045666113199	"IS04"
"EPB41L2"	"EPB41L2"	-0.241798185179687	-0.699893017325139	0.502970410044715	0.537880920271165	0.277842912104431	-0.752164799282029	"S01"	0.537880920271165	"IS04"
"NR3C1"	"NR3C1"	-0.469543508931186	-0.0887798747254248	-0.227683886203619	0.38032908949879	0.234668566517793	-0.202695276473757	"S01"	0.38032908949879	"IS04"
"CTSB"	"CTSB"	-0.951755515995257	-1.37224522155592	0.198131951999774	-0.615597620762778	1.44301539611955	0.486668080200858	"S02"	1.44301539611955	"IS05"
"FTL"	"FTL"	0.683691474819836	-1.35342282135228	-0.483321664613533	-0.828297332412631	1.42442758276505	0.501559494053355	"S02"	1.42442758276505	"IS05"
"PSAP"	"PSAP"	0.463283215924907	-1.64295557259615	-0.161971063275457	-0.36825357935502	1.41500608223874	0.0392338400041642	"S02"	1.41500608223874	"IS05"
"CD14"	"CD14"	-0.556940103466798	-1.28521668322708	0.16810917784108	-0.424176291052866	1.41370683704976	-0.0894028767202675	"S02"	1.41370683704976	"IS05"
"SLC8A1"	"SLC8A1"	-0.9228389362957	-1.17026152556463	-0.364963182236137	0.312322076175005	1.4075379323161	-0.287263941646209	"S02"	1.4075379323161	"IS05"
"SIRPA"	"SIRPA"	-0.972938867268403	-1.25141327404378	0.0388685232370922	-0.34632398395234	1.39640036160404	0.258204425347808	"S02"	1.39640036160404	"IS05"
"CTSZ"	"CTSZ"	-0.884245632948379	-1.19802303556363	0.462298698236589	-0.669492281326714	1.39003349299615	0.0172349582636826	"S02"	1.39003349299615	"IS05"
"GNS"	"GNS"	-0.683658263501983	-1.40654388907463	-0.246897285878923	-0.0129796620162454	1.38491556244107	0.210980491215335	"S02"	1.38491556244107	"IS05"
"IGSF6"	"IGSF6"	-0.487496281068312	-0.919307709365659	-0.148136087707543	-0.60987239386877	1.38261160679736	0.0671903627429236	"S02"	1.38261160679736	"IS05"
"CMKLR1"	"CMKLR1"	-1.04030501776694	-1.10026402085485	0.159234380993502	-0.179403591348948	1.35100176417145	-0.209275226630706	"S02"	1.35100176417145	"IS05"
"C1QC"	"C1QC"	-1.24162130707099	-1.5197605327855	0.431774014310174	-0.300361906899675	1.34189878112164	0.359539934953658	"S02"	1.34189878112164	"IS05"
"C1QA"	"C1QA"	-0.911138904667618	-1.44539445073281	0.617341300405543	-0.625645417765237	1.34133314678425	0.218362334087233	"S02"	1.34133314678425	"IS05"
"SERPING1"	"SERPING1"	-1.31403397374022	-1.37967978200389	0.310832679442127	-0.517352599078384	1.33936926013114	0.672824084391149	"S02"	1.33936926013114	"IS05"
"SERPINA1"	"SERPINA1"	-0.60072947162594	-1.16177457969458	-0.148032895622463	-0.544549493522256	1.33816677004163	0.489437138039822	"S02"	1.33816677004163	"IS05"
"APOE"	"APOE"	-1.36641049968896	-1.18664514030602	0.782368597866125	-0.678170851960836	1.33526022585884	0.0445380270253531	"S02"	1.33526022585884	"IS05"
"LILRB4"	"LILRB4"	-0.597737500600688	-1.12064081266512	0.285788683633987	-0.92246774496815	1.33425649913062	0.384466726160279	"S02"	1.33425649913062	"IS05"
"TMEM176A"	"TMEM176A"	-1.0144600012315	-1.05630212033278	0.190801187057251	-0.484915284269492	1.33200282902026	0.122642517807485	"S02"	1.33200282902026	"IS05"
"RRAGD"	"RRAGD"	-0.244479370729798	-0.972681302042882	-0.578693052146154	-0.207154208021249	1.33185827588355	0.0777507632859635	"S02"	1.33185827588355	"IS05"
"MYOF"	"MYOF"	-0.0993392976743448	-1.12518163918968	-0.584962553958416	0.0793607262910668	1.32899760750784	-0.18832838357603	"S02"	1.32899760750784	"IS05"
"C1QB"	"C1QB"	-1.04475443931725	-1.57413142891308	0.601150990150098	-0.521522855175584	1.32130684890177	0.414947489934278	"S02"	1.32130684890177	"IS05"
"LGALS3"	"LGALS3"	-0.324881345875743	-1.05824247501317	-0.299988489726716	-0.454442496118612	1.31357758796943	0.265515823605169	"S02"	1.31357758796943	"IS05"
"GLUL"	"GLUL"	0.608777941721404	-1.10060859821536	-0.352773118569154	-0.614905159237454	1.30431301155466	-0.0406318025626243	"S02"	1.30431301155466	"IS05"
"FMNL2"	"FMNL2"	-0.0336144975065769	-1.2471395828992	-0.551484957640572	0.223310559213738	1.30241226783802	-0.252471366265898	"S02"	1.30241226783802	"IS05"
"TLR8"	"TLR8"	-0.787710998469399	-0.874736282054728	-0.693762258335715	-0.243558553926299	1.29839235882885	0.594269468448223	"S02"	1.29839235882885	"IS05"
"LILRB2"	"LILRB2"	-0.695061980196073	-0.93223076605767	-0.280741956897118	-0.17302250887718	1.29835823519511	-0.0292136667274312	"S02"	1.29835823519511	"IS05"
"TYROBP"	"TYROBP"	-0.190725547098085	-1.19290327744461	-0.130281257711605	-0.581363781693701	1.29792466847106	0.341724462172366	"S02"	1.29792466847106	"IS05"
"SDC3"	"SDC3"	-1.247697035154	-1.20539347486053	0.499015602386241	-0.364673800844283	1.295153112632	0.00418227779452836	"S02"	1.295153112632	"IS05"
"ALDH1A1"	"ALDH1A1"	-0.516316560267877	-1.37477201727637	0.0561749283050938	-0.315275742165081	1.2931404271248	0.235691722152075	"S02"	1.2931404271248	"IS05"
"CD68"	"CD68"	0.359940837852539	-1.45503089156854	0.0369379703772581	-0.865026792239973	1.28151326680492	0.518840713020395	"S02"	1.28151326680492	"IS05"
"GBP1"	"GBP1"	-1.27474960687912	-0.929450881110054	0.0771447340553829	-0.268877681156045	1.28008628834489	0.0811782624870443	"S02"	1.28008628834489	"IS05"
"CD63"	"CD63"	-0.0825679603039652	-1.4939247735329	-0.0199530843694575	-0.347126339021226	1.27905511895741	0.263145690029268	"S02"	1.27905511895741	"IS05"
"MAFB"	"MAFB"	-0.892412418891394	-1.28990452121531	-0.0236917633942534	0.165593754049134	1.27886574955445	-0.141080779377221	"S02"	1.27886574955445	"IS05"
"IFI30"	"IFI30"	-0.477380601373325	-1.36645877672621	0.265034779794948	-0.662153250803727	1.27833649263488	0.42502945980306	"S02"	1.27833649263488	"IS05"
"RGL1"	"RGL1"	-1.12486343387583	-1.44895300570574	-0.0880045932587432	0.462251682291168	1.27662437197662	-0.064411197035423	"S02"	1.27662437197662	"IS05"
"LAP3"	"LAP3"	-0.51638156234995	-1.15759113022576	0.0164255711826065	-0.203317666850888	1.27464047804378	-0.140123549943151	"S02"	1.27464047804378	"IS05"
"FCER1G"	"FCER1G"	0.79066436470978	-1.46155160876748	-0.818396343279892	-0.210121463304799	1.27099463630443	0.46277849348517	"S02"	1.27099463630443	"IS05"
"HCK"	"HCK"	0.862368335253636	-1.0285041135346	-0.404584674345529	-0.436668735132194	1.27010383112262	-0.437601783448121	"S02"	1.27010383112262	"IS05"
"TMEM176B"	"TMEM176B"	-1.6436129524397	-1.24747446061686	0.276871393104548	-0.24440651908881	1.26625437578562	0.531372702098102	"S02"	1.26625437578562	"IS05"
"C3AR1"	"C3AR1"	-1.38725235750817	-1.02655703903545	-0.100302377223344	-0.103449890692901	1.25834528714982	0.348329268968019	"S02"	1.25834528714982	"IS05"
"WARS"	"WARS"	-0.281396943426921	-1.2625318611702	-0.016058319677042	-0.653563025076846	1.25278747958958	0.541148987061113	"S02"	1.25278747958958	"IS05"
"FTH1"	"FTH1"	0.359341704349576	-1.30944249504678	-0.217470667254575	-0.755551867216275	1.24821764028109	0.558761975725386	"S02"	1.24821764028109	"IS05"
"RNF130"	"RNF130"	-0.2693090943695	-0.869711582251872	-0.377851657684372	-0.159664017004013	1.24789469242724	-0.220431999477408	"S02"	1.24789469242724	"IS05"
"PLEKHO2"	"PLEKHO2"	-0.882943474410901	-0.680673385759125	0.142413094156801	-0.234671491807323	1.24500336988502	-0.622111081926889	"S02"	1.24500336988502	"IS05"
"CPVL"	"CPVL"	-0.909955244018778	-1.27343892132944	0.103616378654874	-0.166724166650495	1.24350176177308	0.203490802016643	"S02"	1.24350176177308	"IS05"
"CREG1"	"CREG1"	-0.203999049561068	-1.3672486922198	-0.767082356610422	0.224828372243982	1.23960391723033	0.441878939512004	"S02"	1.23960391723033	"IS05"
"TGM2"	"TGM2"	-0.243902883534688	-1.02105739577155	0.256299547629284	-0.446378648326369	1.23952247249457	-0.446462075750194	"S02"	1.23952247249457	"IS05"
"PXDC1"	"PXDC1"	-1.17616890292109	-0.834197182546543	0.0123470026526155	-0.114939667579356	1.23830285235811	-0.172301539512154	"S02"	1.23830285235811	"IS05"
"RASSF4"	"RASSF4"	-0.774097205104482	-0.719651120123646	-0.261270322439481	0.236075510129915	1.22899720429469	-0.729795857316173	"S02"	1.22899720429469	"IS05"
"FAM26F"	"FAM26F"	-0.269662612864968	-0.649183866623127	-0.203465867922642	-0.787022305928392	1.22209379629356	0.145005265822706	"S02"	1.22209379629356	"IS05"
"NKG7"	"NKG7"	-0.373322783566491	-0.772950212465039	-0.17532011054367	-0.852834863693292	1.214675443919	0.463608204563823	"S02"	1.214675443919	"IS05"
"ADGRE2"	"ADGRE2"	-0.275642132367132	-1.03284451122582	0.0280004780123972	-0.202000353838532	1.21400723156422	-0.393509749691703	"S02"	1.21400723156422	"IS05"
"EFHD2"	"EFHD2"	-0.921710391854305	-0.628865296422203	0.607382740747642	-0.678898089368046	1.20927269306076	-0.601789982995901	"S02"	1.20927269306076	"IS05"
"C2"	"C2"	-0.499805860610253	-1.47580686880256	0.416432232865681	-0.377471932265931	1.20528014875002	0.147122239760423	"S02"	1.20528014875002	"IS05"
"ANKRD22"	"ANKRD22"	-0.998654630772842	-1.01235205888415	-0.124795990191024	-0.274938858710094	1.20170427729017	0.422514403572753	"S02"	1.20170427729017	"IS05"
"SAT1"	"SAT1"	-0.220500258879532	-1.22777748483175	-0.407048695289524	0.285435025960643	1.19754213345397	-0.220856435738992	"S02"	1.19754213345397	"IS05"
"ATP6V1B2"	"ATP6V1B2"	-0.31098135591863	-0.731099541932208	-0.559002463625878	0.228592932639204	1.18448411231976	-0.561886875501265	"S02"	1.18448411231976	"IS05"
"NINJ1"	"NINJ1"	-1.24151180629603	-1.03621629895339	0.359848956365459	-0.526142528204216	1.1776472200833	0.385475047202425	"S02"	1.1776472200833	"IS05"
"FCGR3A"	"FCGR3A"	0.709138924298163	-1.11530561066495	-0.623537745653384	0.0224800201452987	1.17614360779466	-0.366608495533887	"S02"	1.17614360779466	"IS05"
"CTSS"	"CTSS"	-0.732913170883639	-1.43112056375619	0.247146148957406	-0.414662259006839	1.1758010527683	0.580621020136131	"S02"	1.1758010527683	"IS05"
"DNASE2"	"DNASE2"	-1.55409591927244	-0.783456534825595	0.198205994267131	-0.331058910209664	1.17578151452792	0.198786929288914	"S02"	1.17578151452792	"IS05"
"LGMN"	"LGMN"	-1.15048569186999	-1.16520674721708	-0.0383105347461684	0.22203764674149	1.17488119010683	0.00649438474556743	"S02"	1.17488119010683	"IS05"
"FCGR1A"	"FCGR1A"	-0.616452203425538	-1.25364109597066	-0.294098696605505	0.0133821997313992	1.16893853466618	0.380411787060126	"S02"	1.16893853466618	"IS05"
"CEBPB"	"CEBPB"	0.116961896452434	-1.08299734241586	-0.293826651985287	-0.0228966277073324	1.16793564241616	-0.340622292068772	"S02"	1.16793564241616	"IS05"
"STAT1"	"STAT1"	-0.945256309685538	-0.806838421511743	-0.232199076922619	-0.435321364368856	1.16755637910777	0.516455185570887	"S02"	1.16755637910777	"IS05"
"RARRES3"	"RARRES3"	-0.491507637326547	-0.929986519962694	0.113322381334574	-0.876751822539805	1.16547834096832	0.520170486337818	"S02"	1.16547834096832	"IS05"
"TMEM86A"	"TMEM86A"	-0.784962450295276	-0.80500623135811	-0.25145587123133	0.183336835903981	1.16483583619281	-0.418994316516556	"S02"	1.16483583619281	"IS05"
"GNAI2"	"GNAI2"	-0.528668645471896	-0.950813304561755	0.663332031170353	-1.03092498200495	1.16472345247397	0.0674669333756011	"S02"	1.16472345247397	"IS05"
"SHTN1"	"SHTN1"	-1.23690382890777	-0.915534128683196	-0.322732396558439	0.474753027241167	1.16373190230033	-0.239080468267918	"S02"	1.16373190230033	"IS05"
"PLTP"	"PLTP"	-1.00110835587937	-1.21599879698353	0.216849846162389	-0.185134566172863	1.15846856332644	0.225388576907099	"S02"	1.15846856332644	"IS05"
"CTSH"	"CTSH"	-0.630869363719577	-1.12857381444353	0.314131738121712	-0.330109129666264	1.15461674756817	-0.0880280849307118	"S02"	1.15461674756817	"IS05"
"PTAFR"	"PTAFR"	-1.2271537615709	-0.551183359164027	-0.0728626880918895	-0.325735476720374	1.14386951702682	0.0408099019700012	"S02"	1.14386951702682	"IS05"
"APOL1"	"APOL1"	-0.133836386669629	-0.531965045318162	-0.0912597325572623	-0.733414948558976	1.1421233641009	-0.188989455356969	"S02"	1.1421233641009	"IS05"
"CFB"	"CFB"	-1.0052000543892	-0.872852957302503	0.379389711255173	-0.167736804823495	1.14010546985017	-0.463383062006382	"S02"	1.14010546985017	"IS05"
"ALDH2"	"ALDH2"	0.560410516891873	-1.21571606874251	0.0958446741719964	-0.485932295448225	1.13686043886296	-0.289105331749587	"S02"	1.13686043886296	"IS05"
"CXCL9"	"CXCL9"	-1.00467054149183	-0.985755742068997	-0.483690338668704	-0.000315692809558155	1.13665703484473	0.607208449589047	"S02"	1.13665703484473	"IS05"
"SLAMF7"	"SLAMF7"	-1.38922369819113	-0.807441296345668	-0.227819368444059	0.0649877787255987	1.13522749977537	0.207609523469766	"S02"	1.13522749977537	"IS05"
"SCARB2"	"SCARB2"	-1.27708153624271	-0.441620461571593	-0.689868928593215	0.750794185016635	1.1306082174496	-0.719500338527593	"S02"	1.1306082174496	"IS05"
"SLAMF8"	"SLAMF8"	-1.0185494501064	-0.606509647933143	-0.181360303503099	-0.483309486106629	1.12500865438552	0.363412312422662	"S02"	1.12500865438552	"IS05"
"CTSC"	"CTSC"	-0.935614297793809	-0.956848508854113	-0.524134360879807	0.0337507770184187	1.12323892701806	0.548065073046139	"S02"	1.12323892701806	"IS05"
"TNFSF10"	"TNFSF10"	-0.416779707851825	-0.642619840636307	-0.703446539119945	0.103406230366517	1.11521059565048	-0.119121218862697	"S02"	1.11521059565048	"IS05"
"DOCK4"	"DOCK4"	-0.381916356852692	-0.945376799074874	-0.358788373616439	0.352512416468461	1.11442921056264	-0.504649584687583	"S02"	1.11442921056264	"IS05"
"KCNMA1"	"KCNMA1"	-0.116258347003406	-0.666147747930598	-0.481127663654342	0.0595513873886179	1.10851961356784	-0.521283445436683	"S02"	1.10851961356784	"IS05"
"TIFAB"	"TIFAB"	-1.2365318769144	-0.925650612031877	-0.086623281702761	0.36749888196126	1.10813973785493	-0.282282494231665	"S02"	1.10813973785493	"IS05"
"BRI3"	"BRI3"	-0.439954951216228	-0.990022695902301	-0.232580788199216	0.00302924643215618	1.10768023209478	-0.0730889227504836	"S02"	1.10768023209478	"IS05"
"ATP6V0C"	"ATP6V0C"	0.10613416527873	-0.897747521407254	-0.133207936418499	-0.756624912797258	1.10673730400829	0.313722459608348	"S02"	1.10673730400829	"IS05"
"ANXA2"	"ANXA2"	0.0022467053363187	-1.14878343678465	-0.0828251509456796	-0.289476417108323	1.105783526238	0.0422899006363577	"S02"	1.105783526238	"IS05"
"CTSL"	"CTSL"	-1.37904194353734	-1.15129177024519	0.450855945379302	-0.280318618625367	1.10552632597265	0.329473162646591	"S02"	1.10552632597265	"IS05"
"FCGRT"	"FCGRT"	-0.429947073712288	-0.740571264052187	-0.167400933648358	0.144848909897415	1.10195760756858	-0.705095529000112	"S02"	1.10195760756858	"IS05"
"RBM47"	"RBM47"	-0.317100083424305	-0.935092507172015	-0.208515310167554	0.268214751847704	1.09783213877399	-0.616271296996336	"S02"	1.09783213877399	"IS05"
"CD163"	"CD163"	-0.348506956554275	-1.24210032468364	0.27180290749656	-0.125607786001549	1.09755074504893	-0.246013041143394	"S02"	1.09755074504893	"IS05"
"NPC2"	"NPC2"	-0.425126687975152	-1.17364051585882	0.242493101875159	-0.543705542388914	1.09557916959833	0.326686123454994	"S02"	1.09557916959833	"IS05"
"CSF1R"	"CSF1R"	-0.742264546272961	-1.15156357255255	0.41447550050399	-0.0835355549387421	1.09555580700719	-0.332300547033752	"S02"	1.09555580700719	"IS05"
"CXCL11"	"CXCL11"	-1.21962020935544	-1.01861396911679	-0.264310280480997	0.12915756174261	1.09547827742013	0.421945789110631	"S02"	1.09547827742013	"IS05"
"GBP5"	"GBP5"	-0.801840000582041	-0.622846712760546	-0.389230146225851	-0.259715924612508	1.09283277356437	0.257998947512324	"S02"	1.09283277356437	"IS05"
"LGALS9"	"LGALS9"	-0.479214763148145	-0.955294865611822	0.271214140471419	-0.639211845033628	1.08973523775424	0.158532954375123	"S02"	1.08973523775424	"IS05"
"IFNGR2"	"IFNGR2"	-0.145056818004249	-1.08739352059328	-0.377525591768345	-0.284189008540506	1.08003363606587	0.489408661301731	"S02"	1.08003363606587	"IS05"
"TLR2"	"TLR2"	-0.281527008321506	-0.99068866899101	-0.924343489938872	0.828135893582011	1.07957096463225	-0.355625632524405	"S02"	1.07957096463225	"IS05"
"IL13RA1"	"IL13RA1"	-0.542197184243616	-0.786067648276456	-0.345638582452637	0.0217198559515818	1.07836802172023	-0.111810326398548	"S02"	1.07836802172023	"IS05"
"ME1"	"ME1"	0.271684369467147	-0.891827069768879	-0.272147487303578	-0.123920724192999	1.07026771007211	-0.429420030953074	"S02"	1.07026771007211	"IS05"
"UBD"	"UBD"	-1.38203478036456	-1.03009401691513	0.555861409467314	-0.631437348697626	1.06932659067471	0.570794479249571	"S02"	1.06932659067471	"IS05"
"SPRED1"	"SPRED1"	-1.56968131593727	-0.542963440502869	-0.0511525749405158	0.343105871502551	1.06018383513781	-0.509912422559906	"S02"	1.06018383513781	"IS05"
"CXCL10"	"CXCL10"	-1.13951442550305	-0.964157172467971	-0.321916217520703	0.0291360257084887	1.05813804399214	0.570073514440515	"S02"	1.05813804399214	"IS05"
"ACSL1"	"ACSL1"	0.0924234945998192	-0.559802396266489	-0.836248571049879	0.104886169413733	1.05668103899304	-0.321031356183321	"S02"	1.05668103899304	"IS05"
"CXCL16"	"CXCL16"	0.336296139034987	-1.34135668419893	0.0126546726267886	-0.173398130095303	1.05254621276665	-0.107214505459988	"S02"	1.05254621276665	"IS05"
"NPL"	"NPL"	-0.281845090051407	-1.18108989324173	0.227308965984426	-0.419842873364406	1.04900956807852	0.172633927757288	"S02"	1.04900956807852	"IS05"
"IL18"	"IL18"	-0.952990582997927	-0.885389626660076	-0.57132946906323	0.630207042670688	1.0488184818088	-0.155313392928756	"S02"	1.0488184818088	"IS05"
"HNMT"	"HNMT"	-0.817291945945883	-0.954246473381039	0.274324103560216	-0.39878526965271	1.04569683909823	0.150961454151631	"S02"	1.04569683909823	"IS05"
