"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"PSTPIP2"	"PSTPIP2"	1.12610599473108	-1.35632221062072	-0.241544654937601	-0.120575531202229	0.900191663376636	-0.104857211067397	"IS01"	1.12610599473108
"RAB13"	"RAB13"	1.11579432193271	-0.898250639811927	0.490804834750316	-0.7632221746253	0.582110469220143	-0.22737096445329	"IS01"	1.11579432193271
"YPEL5"	"YPEL5"	1.065953580413	-0.535789056186307	-0.448208782398424	0.361355062741701	-0.219131023521922	0.504756131143586	"IS01"	1.065953580413
"NCF2"	"NCF2"	1.02869468916189	-0.583277868947561	-0.217181286228723	-0.247707166232637	0.842289446776466	-0.885011539486227	"IS01"	1.02869468916189
"CST3"	"CST3"	0.977000517098869	-1.2887782536055	0.269094165362043	-0.660262260891751	0.843003472668216	0.0841977716883069	"IS01"	0.977000517098869
"LIPA"	"LIPA"	0.975722528500809	-0.942860204746666	-0.942276430731327	0.0308272914055514	0.886298629009591	0.152521845576946	"IS01"	0.975722528500809
"YWHAE"	"YWHAE"	0.802461308333535	-0.869184831729736	0.294372900036905	-0.0362261736995347	0.274636492163027	-0.197268202469449	"IS01"	0.802461308333535
"DSE"	"DSE"	0.742642410453399	-0.27837192020271	-0.881265834055903	0.59261328405192	0.334256155738105	-0.428620609047883	"IS01"	0.742642410453399
"CHCHD2"	"CHCHD2"	0.706254005277741	-1.22890881403952	0.595378381582958	-0.0953579108743901	0.258533256351911	0.101712744590286	"IS01"	0.706254005277741
"CMTM6"	"CMTM6"	0.59672175462946	-0.165521282948036	-0.947304131961476	0.401676816857564	0.21616753461205	0.0882035727378956	"IS01"	0.59672175462946
"CFL1"	"CFL1"	0.465500734184332	-0.200266409584974	0.380239133411699	-0.966053711643824	0.209577254167628	0.376558976202445	"IS01"	0.465500734184332
"RAB6A"	"RAB6A"	0.341358459205653	-0.549628734463189	-0.0306952367793885	0.0299386471946227	0.340765715694839	-0.11010777323361	"IS01"	0.341358459205653
"RNF13"	"RNF13"	-0.978552121121631	0.818552628853737	0.606384776829603	-0.207344337081981	-0.494129900263516	-0.0352070150339351	"IS02"	0.818552628853737
"MAPRE1"	"MAPRE1"	-0.322337861826106	0.714807733833112	0.675475514756242	-0.58391172320557	-0.274949800664816	-0.35141226722198	"IS02"	0.714807733833112
"PAK1"	"PAK1"	-0.0869696442534719	0.663620234201192	0.603642840999459	-0.427231127005626	-0.785593781932354	0.401189246596306	"IS02"	0.663620234201192
"GRINA"	"GRINA"	-0.181536610988725	0.640992366826035	0.268060805443046	0.48382274536098	-0.905777565733838	-0.0779736587774669	"IS02"	0.640992366826035
"ACTR2"	"ACTR2"	-0.280671429434018	0.585288472476735	-0.0178612988031097	-0.541305045436668	0.28382587043578	-0.406240442559756	"IS02"	0.585288472476735
"PUM3"	"PUM3"	-0.466353857632062	0.314796833620875	0.246452135944747	0.299948748991416	-0.315422332791953	-0.248132950891178	"IS02"	0.314796833620875
"UBB"	"UBB"	0.307024813981667	-1.27553269839384	0.962563368946189	-0.788986989763703	0.622095717880903	0.234173055562393	"IS03"	0.962563368946189
"ASAH1"	"ASAH1"	-1.52524716569832	0.495855830822522	0.852294103794854	0.0645734983553368	-0.405547154569729	-0.0442568891097269	"IS03"	0.852294103794854
"DHRS7"	"DHRS7"	-0.464170941996158	-0.950728855394179	0.823466923917612	-0.263692516298605	0.370783349246647	0.267123440847111	"IS03"	0.823466923917612
"PITPNA"	"PITPNA"	-0.511179309142831	-0.939844670058985	0.780109158914577	-0.279859714767657	0.730658287822291	-0.318857324723295	"IS03"	0.780109158914577
"CLTA"	"CLTA"	-0.0324362148120598	-0.536014261781743	0.773276554507967	-0.859209855083542	0.543429904057558	-0.0817380107413852	"IS03"	0.773276554507967
"DSTN"	"DSTN"	0.489106780932629	-0.811871314228001	0.750271398693623	-0.388722209328193	0.203491567413357	-0.0333090956667672	"IS03"	0.750271398693623
"ERLIN1"	"ERLIN1"	-1.10629186217026	-0.414564857283428	0.744976213129728	-0.467460816207361	0.519948487865116	0.0644208047159465	"IS03"	0.744976213129728
"COL15A1"	"COL15A1"	-0.928887637539555	-0.875075936503891	0.605208457661759	0.419208627542804	0.562781854010851	-0.519500929480247	"IS03"	0.605208457661759
"GATM"	"GATM"	-0.751409233379903	-0.867270139091371	0.580822147153371	0.455442995832664	0.365262559791732	-0.301167715539207	"IS03"	0.580822147153371
"PCBP1"	"PCBP1"	-0.0732470893974847	0.314048643175415	0.571433001714367	0.216961213341016	-0.715493138913106	-0.0836349333266923	"IS03"	0.571433001714367
"TBC1D12"	"TBC1D12"	-0.716727836456541	-0.347450200636902	-0.622797760763418	1.09783957886052	0.413747352976259	-0.460118400905585	"IS04"	1.09783957886052
"MS4A7"	"MS4A7"	0.16290851530806	-0.610836385689463	-0.737091799945459	1.05017272271556	0.458948532367775	-0.589323643024511	"IS04"	1.05017272271556
"ZEB2"	"ZEB2"	-0.5174782945157	-0.613622940424043	-0.15630994686198	0.993250323816451	0.563250753146352	-0.977041143192417	"IS04"	0.993250323816451
"RHOQ"	"RHOQ"	-0.612643583442688	-0.838975935339301	-0.277328599807719	0.99305378696005	0.44384425348228	-0.201131586512236	"IS04"	0.99305378696005
"IQGAP1"	"IQGAP1"	-0.793727680296394	-0.590094567979478	-0.527876506372305	0.915776179831151	0.427853691828854	0.039578881059621	"IS04"	0.915776179831151
"SLC30A1"	"SLC30A1"	-0.609651825604525	-0.321604198190184	-1.10647617577502	0.91068820201388	0.60426387722669	-0.0447372778276531	"IS04"	0.91068820201388
"GCH1"	"GCH1"	0.360081943340085	-0.614750843688748	-1.38968186376768	0.909699006199259	0.682719029897475	-0.101881214620509	"IS04"	0.909699006199259
"FNDC3B"	"FNDC3B"	0.0826336685306296	-0.425424811414608	-0.639960645874998	0.850674571172134	0.340938247296854	-0.425910065876772	"IS04"	0.850674571172134
"ITGB2"	"ITGB2"	0.17823089933577	0.598175487951464	-0.328133446919232	0.841020312760637	-0.991885602620122	0.180245634204249	"IS04"	0.841020312760637
"IRAK3"	"IRAK3"	0.0911881749116324	-0.43028569510573	-0.748438444919624	0.777932619999776	0.459811959658622	-0.408844368545254	"IS04"	0.777932619999776
"CNTLN"	"CNTLN"	0.460748796828984	-0.690685181732123	-1.00405041770105	0.775309673215293	0.716326078680725	-0.451996840657094	"IS04"	0.775309673215293
"MYD88"	"MYD88"	-0.533457738625611	0.32509748801596	0.261642558254846	0.725959574263661	-0.675475289568703	-0.134332139454991	"IS04"	0.725959574263661
"PRCP"	"PRCP"	-0.117920700967535	-0.837864346844594	-0.118571856482821	0.711056919089807	0.251876824658393	-0.0169130904735094	"IS04"	0.711056919089807
"CCP110"	"CCP110"	-0.4502086387301	-0.0737403038794411	-0.601675811816278	0.687144167870264	0.384336676538447	-0.451846117737751	"IS04"	0.687144167870264
"TCF7L2"	"TCF7L2"	-0.102172695738062	-0.455583441343004	-0.619203339170168	0.666805507175539	0.645092370547236	-0.602529899159923	"IS04"	0.666805507175539
"QKI"	"QKI"	-0.0343706275056966	-0.633065470188026	-0.094112888254765	0.660649845728545	0.494804081495826	-0.793629724911699	"IS04"	0.660649845728545
"DPYSL2"	"DPYSL2"	0.0385722301215061	-0.59432028572023	-0.16027466616526	0.614045666113199	0.466633178442231	-0.697302658101209	"IS04"	0.614045666113199
"EPB41L2"	"EPB41L2"	-0.241798185179687	-0.699893017325139	0.502970410044715	0.537880920271165	0.277842912104431	-0.752164799282029	"IS04"	0.537880920271165
"NR3C1"	"NR3C1"	-0.469543508931186	-0.0887798747254248	-0.227683886203619	0.38032908949879	0.234668566517793	-0.202695276473757	"IS04"	0.38032908949879
"CTSB"	"CTSB"	-0.951755515995257	-1.37224522155592	0.198131951999774	-0.615597620762778	1.44301539611955	0.486668080200858	"IS05"	1.44301539611955
"FTL"	"FTL"	0.683691474819836	-1.35342282135228	-0.483321664613533	-0.828297332412631	1.42442758276505	0.501559494053355	"IS05"	1.42442758276505
"PSAP"	"PSAP"	0.463283215924907	-1.64295557259615	-0.161971063275457	-0.36825357935502	1.41500608223874	0.0392338400041642	"IS05"	1.41500608223874
"CD14"	"CD14"	-0.556940103466798	-1.28521668322708	0.16810917784108	-0.424176291052866	1.41370683704976	-0.0894028767202675	"IS05"	1.41370683704976
"SLC8A1"	"SLC8A1"	-0.9228389362957	-1.17026152556463	-0.364963182236137	0.312322076175005	1.4075379323161	-0.287263941646209	"IS05"	1.4075379323161
"SIRPA"	"SIRPA"	-0.972938867268403	-1.25141327404378	0.0388685232370922	-0.34632398395234	1.39640036160404	0.258204425347808	"IS05"	1.39640036160404
