"ID"	"State"	"InitialState"
"48"	"LP20"	"S01"	"IS04"
"49"	"LP23"	"S01"	"IS04"
"50"	"LP27"	"S01"	"IS04"
"51"	"LP32"	"S01"	"IS04"
"52"	"LP35"	"S01"	"IS04"
"53"	"LP39"	"S01"	"IS04"
"54"	"LP42"	"S01"	"IS04"
"55"	"LP48"	"S01"	"IS04"
"56"	"LP49"	"S01"	"IS04"
"57"	"LP67"	"S01"	"IS04"
"58"	"LP91"	"S01"	"IS04"
"59"	"LP92"	"S01"	"IS04"
"60"	"LP97"	"S01"	"IS04"
"61"	"LP100"	"S01"	"IS04"
"62"	"LP103"	"S01"	"IS04"
"63"	"LP104"	"S01"	"IS04"
"64"	"LP106"	"S01"	"IS04"
"65"	"LP109"	"S01"	"IS04"
"66"	"LP110"	"S01"	"IS04"
"67"	"LP03"	"S02"	"IS05"
"68"	"LP12"	"S02"	"IS05"
"69"	"LP15"	"S02"	"IS05"
"70"	"LP17"	"S02"	"IS05"
"71"	"LP19"	"S02"	"IS05"
"72"	"LP21"	"S02"	"IS05"
"73"	"LP25"	"S02"	"IS05"
"74"	"LP26"	"S02"	"IS05"
"75"	"LP28"	"S02"	"IS05"
"76"	"LP29"	"S02"	"IS05"
"77"	"LP31"	"S02"	"IS05"
"78"	"LP41"	"S02"	"IS05"
"79"	"LP44"	"S02"	"IS05"
"80"	"LP46"	"S02"	"IS05"
"81"	"LP47"	"S02"	"IS05"
"82"	"LP54"	"S02"	"IS05"
"83"	"LP55"	"S02"	"IS05"
"84"	"LP60"	"S02"	"IS05"
"85"	"LP62"	"S02"	"IS05"
"86"	"LP63"	"S02"	"IS05"
"87"	"LP64"	"S02"	"IS05"
"88"	"LP69"	"S02"	"IS05"
"89"	"LP72"	"S02"	"IS05"
"90"	"LP79"	"S02"	"IS05"
"91"	"LP90"	"S02"	"IS05"
"92"	"LP113"	"S02"	"IS05"
"93"	"LP114"	"S02"	"IS05"
"94"	"LP117"	"S02"	"IS05"
"95"	"LP118"	"S02"	"IS05"
"96"	"LP119"	"S02"	"IS05"
