"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"MYL12B"	"MYL12B"	0.355805917390878	-0.127638524305994	1.09943204891999	0.05935862084155	-0.131127476444883	-0.635574260326554	"S01"	1.09943204891999	"IS03"
"CEBPA"	"CEBPA"	0.229465174781943	1.00946102449189	1.08117701516412	-0.881921236632823	-0.626731020546531	-0.866607772131782	"S01"	1.08117701516412	"IS03"
"SULT1C2"	"SULT1C2"	-0.471892267096179	0.760463698422158	0.99399037967381	-0.515956171332372	-0.834862542569557	-0.0395965099598953	"S01"	0.99399037967381	"IS03"
"SH3D21"	"SH3D21"	0.0998331092420787	0.739327778217847	0.962841616852474	-0.947200659558603	-0.715633011120017	-0.298810906704717	"S01"	0.962841616852474	"IS03"
"SCARB1"	"SCARB1"	0.108004714196866	0.555147693779535	0.943494878849225	-0.698746125701175	-0.115649589581708	-0.658196997374551	"S01"	0.943494878849225	"IS03"
"NPFFR1"	"NPFFR1"	0.00488063666949728	0.879781032747034	0.925527039693434	-0.161831227091912	-0.742315675020716	-0.81927968974593	"S01"	0.925527039693434	"IS03"
"CTSK"	"CTSK"	-0.202715185921634	0.714404564602981	0.921809284787318	-0.174330680641466	0.0705279844780244	-1.01377330647376	"S01"	0.921809284787318	"IS03"
"PLXNA1"	"PLXNA1"	0.353003553492179	0.434729123806318	0.910897572423058	-0.992783563652754	-0.253531955897169	-0.438684500347812	"S01"	0.910897572423058	"IS03"
"ITGAX"	"ITGAX"	-0.0914590023671862	0.432395862248441	0.874689432365121	-0.243616678068321	-0.578806273110587	-0.27944656875385	"S01"	0.874689432365121	"IS03"
"LCP1"	"LCP1"	-0.471214738091493	-1.17680427396013	0.860588949521871	0.452094881558381	0.222601385266829	0.855246995117793	"S01"	0.860588949521871	"IS03"
"CXCR6"	"CXCR6"	0.162141063650927	0.711702395470162	0.857815403128748	-0.240566973252704	-0.635541798645345	-0.757008814783119	"S01"	0.857815403128748	"IS03"
"HAX1"	"HAX1"	-0.8322359419331	-0.301790307984734	0.853517749763874	0.378903535589999	-0.26481540163855	0.570156573942539	"S01"	0.853517749763874	"IS03"
"LSM12"	"LSM12"	-0.0101955349570945	-0.324188459604225	0.829458142619243	0.799002222742756	0.389459638996284	-0.79155031127537	"S01"	0.829458142619243	"IS03"
"PFN1"	"PFN1"	-0.848935639565968	-0.441556614371202	0.803678024892005	-0.0464994823328526	0.224899128082725	0.685496413609492	"S01"	0.803678024892005	"IS03"
"PPIA"	"PPIA"	-0.134846230192795	-0.39265976058397	0.77097052468384	-0.568374924215955	-0.23058222360568	0.68251539799149	"S01"	0.77097052468384	"IS03"
"RBPJ"	"RBPJ"	-0.863960588476184	0.579603675419321	0.759555052919791	0.416935159033613	-0.184740593870989	-0.416166114246663	"S01"	0.759555052919791	"IS03"
"ERP29"	"ERP29"	-0.544604820392751	-0.491685974117123	0.755813835489131	0.407947271727523	-0.0850688828197394	0.445583953281806	"S01"	0.755813835489131	"IS03"
"S100A11"	"S100A11"	0.34490167380697	-1.01266107260892	0.7199340924156	-0.795447156702798	0.667673311637918	0.51249871624083	"S01"	0.7199340924156	"IS03"
"SLC2A5"	"SLC2A5"	0.378785907338998	0.354075598996269	0.674421482164986	-0.140877896189487	-0.314305647099988	-0.735028456157401	"S01"	0.674421482164986	"IS03"
"TFRC"	"TFRC"	-0.584622776369731	0.565009213350307	0.637841018904066	-0.0734490910495475	-0.28832605524373	-0.203428604645974	"S01"	0.637841018904066	"IS03"
"ATP6V1A"	"ATP6V1A"	0.453888395245093	-0.466300709312671	0.518244353453306	-0.975788279281089	0.0103867706871523	0.476224200395672	"S01"	0.518244353453306	"IS03"
"CHCHD10"	"CHCHD10"	-0.023600900289596	-0.103016033913883	0.517908699507379	-0.261156717479817	-0.0535062302079834	0.0797233626998332	"S01"	0.517908699507379	"IS03"
"BRI3"	"BRI3"	0.0301459014650381	0.231820758505226	0.512808536319533	-0.094950200591216	0.0343656166351343	-0.497527986210347	"S01"	0.512808536319533	"IS03"
"LDHA"	"LDHA"	0.0323912056895133	-0.497045872288212	0.491138945891596	0.453166725753404	-0.666921631241251	0.470828895342075	"S01"	0.491138945891596	"IS03"
