"LP26"	"LP27"	"LP41"	"LP49"	"LP54"	"LP103"	"LP110"	"LP111"	"LP113"	"LP119"	"LP01"	"LP02"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP13"	"LP14"	"LP30"	"LP37"	"LP50"	"LP65"	"LP112"	"LP115"	"LP116"	"LP120"	"LP121"	"LP03"	"LP04"	"LP12"	"LP15"	"LP17"	"LP19"	"LP21"	"LP24"	"LP25"	"LP28"	"LP29"	"LP31"	"LP33"	"LP44"	"LP46"	"LP47"	"LP55"	"LP60"	"LP62"	"LP63"	"LP68"	"LP69"	"LP72"	"LP79"	"LP90"	"LP114"	"LP117"	"LP118"
"MYL12B"	1.62500253073765	1.07512853517623	1.46590466350394	0.814117361235545	1.34762339520316	0.0710883347038732	-0.287392124924344	1.14825154311597	1.29553076388692	1.43041223067012	1.23621854385521	1.40675511971598	1.1007069906278	-1.14077632700656	0.115424457325846	-0.601240429279677	-1.92948427362687	0.982895954155105	0.754188201021004	1.1178806060053	0.684211123209168	1.03744449759544	-0.300021921620356	0.395781442362219	-1.29711357590512	0.481875667135148	0.334795504457352	-0.110251942504921	1.31261970869995	-1.11815538264563	0.340401224868434	0.724612155441537	1.03502844066085	-1.77492669327681	0.478904279561626	-0.184817364006587	0.505075161850101	-1.43763237288151	-0.288199443485892	-0.711109671629095	0.128711492721301	0.412439387444076	0.265030449790121	0.835504025043156	0.794893765025317	1.08692046852194	-1.46017627555624	0.77412600364298	0.700106959118683	-0.613879927108691	0.0991281654159854	-2.24459641246882	-0.575998062465207	-1.17966698980914	0.923538349160146	-0.198114594985875	0.0270347599771906
"CEBPA"	1.63486518725764	0.958177103472241	0.958758969976605	0.470469732980393	1.20835146222045	-0.497655216382102	1.13691981396391	1.02460146564479	1.31470216909345	1.61067394491461	-0.957698734036574	0.496950276435349	0.716272927912612	0.297255946257051	0.95474068716829	-0.670905723202147	-0.199533848510002	0.52040180933577	-0.108967602383669	0.504020782079034	-0.583690332075214	0.870822169592258	0.146243714863468	0.879737173244736	-0.488256477733004	-0.144106999604277	0.788784735109522	0.979614209377417	-0.40181821037078	1.27400823245146	1.07517283384442	1.07904858794214	1.07588445610288	0.763988316087897	-0.638297949810788	1.03225916375936	-0.570171261793452	1.31153427233527	0.549102164497155	0.295507672005134	1.16890526236593	0.714759019578762	1.07278182920081	0.146941671757515	1.015652811221	1.62183243752923	1.33612897128605	1.32613983320854	1.25005814284712	0.607205331028858	1.51410426927281	0.731161596966422	0.317745054425763	-0.140130810907783	0.301959612266371	0.477816502442566	0.293100175773041
"SULT1C2"	0.841760236525746	1.09682861657472	1.20927908111181	0.913669529131622	0.774543156720744	0.761545641157943	0.62354440574155	0.587399262496217	1.14062365503909	1.0787924327214	0.547222293976053	-0.0673282249583325	-0.953063219491607	-1.40511973493371	-0.00867793461106379	0.587451751456276	0.581269307803442	-0.680380692727285	-1.21289554356256	-1.27303821331344	0.027378318045004	0.631121527063863	-1.61202149060207	-1.46253044007627	-1.00950848710468	-1.20160509991044	0.553897354410957	0.755982546546075	-0.201234538509891	1.23669763404353	0.869147153543961	0.604663989056176	-0.351926816891092	-0.565760894871619	0.723866334941275	-1.70772222875339	0.65564764712442	0.142042304775293	1.06609710316843	-0.914814686757144	-0.121202787123	0.797447938009644	0.834116610704178	1.54165584843721	1.24006926970544	1.32119861168622	1.21919581572275	-0.0150599245807965	1.18138206798085	0.650048994883901	1.27312375920512	0.491841181157891	0.695237078965637	1.06083091680747	0.813304243922846	0.52745807284575	0.554641074412496
"SH3D21"	0.82943447376644	0.351489073177653	0.700445647336124	0.682803529775841	1.55116650170909	-0.667402620799851	0.409601879561234	1.63630229814724	1.73229844432623	1.51893600863257	-0.225704233805944	-0.40148354489253	0.150536006740297	-0.0327791246470785	0.354797051889936	0.390291712657614	-0.186558485909142	0.929245427901582	-0.0374293930857318	-1.58813059556397	0.33545290946645	0.642497581405924	-0.690616097764852	0.621441600656393	0.501816968763839	-0.749528474674978	0.690674382156868	0.624319401213146	0.237346052482598	1.61910781372452	1.08265133903724	-0.0444952297612757	0.046333686818068	-0.112572658372312	-0.227297953607827	0.0199816217984067	0.928419017320131	0.605333979932172	0.738824774999313	-0.821927604560163	1.02170112096039	1.50354450971467	0.926325192684742	-1.3146086033432	1.8269250304656	1.8068808070925	1.51630311354641	0.712359115151913	1.27493929069771	0.395256197885836	1.47555304370795	-0.0644355474493527	0.438403984592016	-0.0727735380367551	0.265308519414213	0.0369968671407356	-0.19959384569971
"SCARB1"	1.5250250403768	1.32552615517055	0.703047577076524	1.08951298569507	0.360964253588568	0.0607151657835605	-0.240067658438409	1.32216234026808	0.3812884589673	2.04118283803279	0.616569977596637	-0.199888762452287	1.06541966245035	1.33710203914699	-0.5695133290888	0.139680165501513	-0.384111274894307	1.52414062450946	0.0876140256725875	-0.619712822393508	-1.10739937694143	0.313593832239449	0.401804215365971	-0.0226909041150394	-0.138124266674886	-0.383485227889487	-0.192602790478066	0.0426202935878292	-0.216630197870373	1.34609528215578	0.183458688231287	0.977345353371955	1.37680331088155	-0.116862574436482	0.0867075810850809	0.0864802160624506	-1.28776370160272	0.834989670396554	-0.0957794194208436	-0.150406817911419	-0.220449352745572	1.5758264109415	-0.0390403605684624	1.83159972982003	1.22446755473572	1.74552340131876	1.06480894996947	0.498440416805649	-0.189970655670948	0.35672068959992	1.29280012640724	0.170483409982985	-0.43593741055015	-0.0061029829581322	-0.0484475147658341	-0.383927586540752	-0.126715905492861
"NPFFR1"	1.31042743027794	0.446143220099265	1.3406782467392	1.09667571132591	0.570331720610691	0.476796663291942	0.585340598915026	1.25555682889852	0.46269570118492	0.861516899725397	0.950377849688942	0.870534751255537	0.881704681235115	-0.228560254481675	1.03158101407646	1.01753513379243	0.947709776263617	0.654520251926084	-1.51937003313317	-0.992829269538579	-0.267530589624508	0.521778902847476	-1.43608191897973	-0.919051340019203	-1.20751057703104	-1.11678610998138	0.691543551839333	0.702893482866521	-0.505891516719272	0.705878384234981	1.33388230616253	-0.213089078204403	-0.581855779944471	-0.24857728518236	0.760608390579025	-0.812932698222308	0.753002524404189	0.949100311258167	0.511528482192411	0.934020900676466	-0.808666848308908	0.894643259644039	1.14263183144042	1.79690803566524	1.09152736744344	1.4036920025115	1.29653922569177	0.874764511456523	0.875324697325273	-0.204657672748284	1.33946584950579	0.827033065200311	0.595330393794091	1.18287650439376	0.478683079383478	0.836232490807452	0.592008338475432
"CTSK"	1.18265278863511	0.934284729035027	1.29258242507419	0.913250728489556	0.679321439515428	0.107921892302309	0.481687220231982	0.489184890536791	1.11524432865202	1.17626581385274	-1.08357783606714	-0.515227203596512	0.193470771984345	-0.478403374284759	0.901655810952929	-0.765706167331785	0.486262280729561	-0.715034250195942	0.0282725436300929	-0.93173787193658	-0.649189260402935	-0.749357752910847	-0.994696411636049	-0.813884345496243	0.232205814623111	-0.303523090205774	0.935835875437707	1.12593140910686	0.916492342682521	1.52720842373355	1.20452544850414	-1.1263674352811	0.781089494896377	-1.21347074708141	0.577541367237729	0.738900044539448	0.397140279124567	1.25896257440848	1.09804260944908	0.0453801909344932	-0.492507672645529	0.996950245234811	1.51396891212728	1.76987364976585	1.08269228794493	1.03398310418004	-0.0635406253168251	0.921736580420984	-0.732616222893239	-0.285749627207263	1.26622620568969	1.14181954584107	0.830951390967549	1.07616748495864	-0.259525326068028	0.232926426186378	-0.457450329655808
"PLXNA1"	1.6529573912918	-1.02052616809365	0.881336300922245	1.05357521029631	1.75180110239107	-1.42350934686163	1.29744933102978	1.07249672477976	1.60665271921498	1.40105661300022	-0.022784652125118	0.290710607219272	0.00252649485364134	0.13116686376303	1.20666740353542	0.4474448913684	0.421288253978374	0.728208083196507	0.885133244100394	0.332354191745889	-0.132350116388326	-0.406999880507567	0.559427892795438	1.45367419100286	-0.0970328878605935	0.0185335162416122	0.350530476903637	-0.295445889220134	-0.335107028899757	1.38033373699675	0.948312847163744	-0.00602015205163097	0.130577198659886	0.147828628168184	0.0914269061111554	0.638667435882477	-1.83844299454447	0.705124422393851	-1.23107943601795	-1.70561123337598	-0.0297357093412169	-1.61609810214305	1.49008447959976	0.773753282936496	1.15188723731942	1.32441308671662	1.27729509134584	1.32991754546097	1.6251969110407	-0.132045272452518	0.793365004360444	0.283365955532901	0.316320597070089	1.37226920823888	0.0702130508906725	-0.104308752133607	-0.141454526188722
"ITGAX"	2.05803847966414	-0.360743897614927	0.990996931910817	0.2684774848012	-0.45070059116086	0.90445781487882	1.34509484263379	0.480062199609717	1.09205203641429	1.61669165337189	-1.26654640338713	-0.277974219282547	-0.142876354417161	-0.762029077146818	0.68639347834848	1.0517249519732	1.44971269807829	0.263648578556833	-2.14704188396413	-0.129938051824895	-0.401493790003604	0.559067104182575	0.564539835023117	-0.0237760522173633	-0.669359277327522	-0.86744164996838	0.331189925003788	0.409452902681597	-0.0620682560321124	2.35120408633275	0.507918601456579	-0.432732795515271	2.24514744915424	-2.11733758283178	-0.0144859380846535	1.3741766705604	-1.69652994029889	0.510403479333191	0.516884420157885	0.900011938223024	-1.30970206380799	-0.368321896121816	-1.04534418297358	0.611944119155376	0.97937965115432	1.91341920331187	0.783979339678313	1.02969861257407	-0.700554601225642	-0.239556714000922	2.41999813052372	0.719507262252653	-0.552953060868057	1.45420051067639	-0.937829704208436	-0.757438873515617	0.85192136128823
"LCP1"	0.704584301166358	1.06870190443582	0.447671130143691	0.766835279567226	0.772562258686588	0.95382854847093	0.942120514380996	0.822156173055865	0.465006108443685	0.872892130517202	0.808614969441863	0.784424168525237	-0.846070063157483	-2.38278859838214	-0.959371224630313	0.569058291204493	0.862082859704919	-1.70296133934078	-0.501499702998822	-0.739744346194898	-0.31183977684485	-0.00641975178868434	0.80734153343304	0.579507887220094	-0.798559977722792	-0.889900123502953	-0.88346085054239	-0.996169239639719	-0.784696110531113	-0.886100166492117	-1.17535847949063	-1.21951843694756	-0.361420266580474	-0.892098080619439	-0.635184561063668	-2.27830395981549	-0.81776870740454	-0.737791015667849	-0.683870503923455	-0.661665874680883	-0.487974433954956	-0.0918416781208028	0.838529128173106	-0.414745154896838	-0.731832881796222	0.338196526127054	-1.61030798327624	-1.01415000213137	-1.52105147660646	-1.06206357596896	-1.74899327553949	-0.663680330995641	-0.228467908813032	-0.579736371309315	-0.698579343678746	-1.22595161289182	-3.23443556559369
