"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"CSTB"	"CSTB"	1.02578726171393	-0.213784950797902	-0.552167401262317	0.391423628105202	-0.562371198560165	-0.204970352831834	"IS01"	1.02578726171393
"RPL12"	"RPL12"	0.86479629939096	0.426645966423886	0.259930332625865	-0.105959360335901	0.313638277403393	-1.47733256987603	"IS01"	0.86479629939096
"LSM3"	"LSM3"	0.833845247431444	0.383852614382013	-0.643910440401776	0.172234616813988	0.768999125352321	-1.45010751718581	"IS01"	0.833845247431444
"IL3RA"	"IL3RA"	0.805105181956219	0.505704503810049	0.19377300765138	0.124773574391804	-0.462401729007364	-1.08785977269695	"IS01"	0.805105181956219
"HEXB"	"HEXB"	0.785832185567843	-0.706980849398248	-0.680571991271471	-0.186370317984698	-0.185814012831905	0.700006723240618	"IS01"	0.785832185567843
"ATP5J2"	"ATP5J2"	0.726735224894371	0.625741855311103	-0.878457687192078	-0.550520481286146	-0.00519267557672415	-0.538164421022797	"IS01"	0.726735224894371
"NSDHL"	"NSDHL"	0.718992849267682	0.674532575852022	-0.1390869779942	-0.444156457367618	-0.00168974253238632	-1.01222144622569	"IS01"	0.718992849267682
"SERPINF1"	"SERPINF1"	0.704812782704514	0.554032351710435	-0.121108357237593	0.00919574372188916	0.103924137962795	-1.22543494173099	"IS01"	0.704812782704514
"ECH1"	"ECH1"	0.70087069703212	0.626645494067662	-0.439127559247532	-0.184803269679591	0.230314675612173	-1.11720284356292	"IS01"	0.70087069703212
"MRPL45"	"MRPL45"	0.700624735386701	0.216432502380405	0.553922823834747	0.0886747011305103	-0.00780828441250645	-1.14557703651748	"IS01"	0.700624735386701
"CSF2RA"	"CSF2RA"	0.62277106013361	0.434980627495791	0.239025606097041	-0.626688905559745	-0.0282594864838948	-0.718704066639286	"IS01"	0.62277106013361
"THG1L"	"THG1L"	0.587425853508857	0.329032923344056	0.0995733481064555	-0.0444336870120727	0.12973673649108	-0.969018652613338	"IS01"	0.587425853508857
"SNX10"	"SNX10"	0.553495870665055	-0.226962957079111	-0.538402295409079	-0.468450348687099	0.255076020272614	0.159931944534451	"IS01"	0.553495870665055
"B2M"	"B2M"	0.529288272540763	-0.576272792049909	0.381113329909476	-0.505046395848097	0.0800299942885068	0.265714294012616	"IS01"	0.529288272540763
"CINP"	"CINP"	0.528750180738281	0.391883109943987	-0.322853553114588	-0.2362595467417	0.395921015629608	-0.851335981635337	"IS01"	0.528750180738281
"VIM"	"VIM"	0.484553070960192	-0.494063180971529	0.167750563112682	0.180870960951916	-0.685463703340716	0.42483007257959	"IS01"	0.484553070960192
"NEK6"	"NEK6"	0.389574375874641	0.378833686639645	0.232669402637995	-0.501820399278522	0.0446495315030354	-0.584506702831202	"IS01"	0.389574375874641
"PPP1R10"	"PPP1R10"	0.284369649138505	-0.0578830992947139	-0.0209553935534003	0.115528570048549	0.0946184991774539	-0.299921142386944	"IS01"	0.284369649138505
"CAPG"	"CAPG"	0.141020921715458	1.45984200286327	-0.18435292868377	-0.549877456535743	-0.622052123819055	-0.885400724945555	"IS02"	1.45984200286327
"LYZ"	"LYZ"	-0.268012224559218	1.4168932729883	0.580697187822854	0.0717566047826005	-0.609482153868737	-1.25504199063705	"IS02"	1.4168932729883
"CTSD"	"CTSD"	-0.0796190822987795	1.40017398236498	0.570070394979803	-0.216409622971282	-1.08050252977708	-0.887366605808342	"IS02"	1.40017398236498
"PLA2G7"	"PLA2G7"	-0.0328297517124125	1.3924785469522	0.184363156843551	0.19634760335234	-0.504679440849856	-1.38135578025486	"IS02"	1.3924785469522
"ADAMDEC1"	"ADAMDEC1"	-0.269255999011229	1.35453991603367	-0.00740613973383875	0.586579869852191	-0.562411297295644	-1.24675903985654	"IS02"	1.35453991603367
"GPNMB"	"GPNMB"	-0.710539266487736	1.34501878685972	0.796286501775575	0.299503700775554	-0.552887846794386	-1.08726120306345	"IS02"	1.34501878685972
"GRN"	"GRN"	0.281490367956431	1.27704822788952	0.206184889081286	-0.397734819456324	-0.776507761217557	-0.975768604044684	"IS02"	1.27704822788952
"TXN"	"TXN"	0.218101868175486	1.26088145450542	-0.982885848883049	-0.0319413390224524	-0.560394934145871	-0.700763085665915	"IS02"	1.26088145450542
"FBP1"	"FBP1"	-0.0560850354807418	1.25554852336592	0.0420864503164065	-0.277969761652546	-0.597819729957566	-0.786035364878689	"IS02"	1.25554852336592
"HSD11B1"	"HSD11B1"	0.290738191230099	1.24710372325955	0.405237957146462	-0.0544849216674905	-0.466393410029481	-1.4711604110532	"IS02"	1.24710372325955
"PLA2G2D"	"PLA2G2D"	0.155377524344419	1.24213437372588	0.821657146256135	-0.0440948896495813	-0.708100321874095	-1.39355148279788	"IS02"	1.24213437372588
"GM2A"	"GM2A"	-0.296135671332966	1.24140844759451	0.91254879767525	-0.00833360450499975	-0.417767667670435	-1.28092790246369	"IS02"	1.24140844759451
"TCN2"	"TCN2"	-0.261707828626064	1.23026399113315	0.440205452306549	-0.281801982446471	-0.361296906832248	-0.939904034311876	"IS02"	1.23026399113315
"CHI3L1"	"CHI3L1"	-0.240097294951227	1.21953643161386	0.986859796383552	0.112491891881549	-1.23592207928838	-0.848075098149464	"IS02"	1.21953643161386
"CLEC4E"	"CLEC4E"	0.364284135245097	1.21173565208096	0.191645444054732	-0.136676795502448	-0.255200872036157	-1.48552227913965	"IS02"	1.21173565208096
"SLC1A3"	"SLC1A3"	-0.187994741172031	1.19043787012543	0.308405560361143	-0.14986931392889	-0.576706874559418	-0.82527940680676	"IS02"	1.19043787012543
"MMP9"	"MMP9"	0.872181703640509	1.17810209855959	-0.0275232610000389	-0.311004461637686	-0.266969284238878	-1.65272450268026	"IS02"	1.17810209855959
"MMP12"	"MMP12"	0.105293794569646	1.17644443882696	0.240935229347166	0.239355322264663	-0.47896635271782	-1.32849369503995	"IS02"	1.17644443882696
"PADI2"	"PADI2"	-0.195984739423726	1.17372899850818	0.514541132961921	-0.881430900972931	-1.00698373334518	-0.155101155589882	"IS02"	1.17372899850818
"MMP14"	"MMP14"	-0.161330407825907	1.16911481453736	0.282014114365037	-0.485333731761083	-0.583147687802894	-0.601439528514665	"IS02"	1.16911481453736
"NR1H3"	"NR1H3"	-0.435217020970103	1.14270504696329	1.14183436680352	-0.678684586087648	-0.707530085490366	-0.555506950887528	"IS02"	1.14270504696329
