"IS01"	"IS02"	"IS03"
"ABCA7__pos"	2.22044604925031e-16	5.29719151697304	8.81241555200878
"ABCF3__pos"	0.415655779136597	4.74199888729578	9.2109593454689
"ACO2__pos"	0.34733250947081	5.60926068618186	6.5999042453881
"AICDA__pos"	1.47201805576609	3.50276227385828	10.0839792172867
"BIRC7__pos"	0.196719188855068	3.69364341651217	9.562446135694
"C19orf60__pos"	2.22044604925031e-16	5.40226794543871	7.90112698413767
"C1orf185__pos"	4.12840528668762	2.22044604925031e-16	12.1720568777859
"C2CD4C__pos"	2.22044604925031e-16	4.89818751076431	8.96426458416578
"C2orf66__pos"	4.90438571843073	2.22044604925031e-16	11.2400891806494
"C6orf62__pos"	5.60847703281491	4.52085515781505	4.20492007888806
"CA1__pos"	6.85998666382803	1.3802141392126e-12	9.51614999733631
"CCHCR1__pos"	1.97006397433472e-12	3.56749003908103	6.44480232491511
"CD58__pos"	2.66655145481079	4.91555767860111	5.37575400858177
"CDC23__pos"	0.714155104628901	6.58582831027888	6.58845896296295
"CDC42__pos"	8.87663912042488	4.30476849090315	1.712777283853
"CEP41__pos"	0.823522151322373	4.48849809337316	6.90965693644928
"CFAP161__pos"	3.42759546798302	4.28134539576977	7.25760213686979
"CIB1__pos"	1.57107887677171e-06	3.94076508082366	8.57930307279797
"CNNM4__pos"	1.8963336642834e-13	2.99646227197284	9.9655921838837
"DDAH2__pos"	2.22044604925031e-16	3.13951111174124	10.8772682035756
"DLGAP4__pos"	0.898511434856853	5.4517120178492	8.36504153903059
"EID2__pos"	0.669401903804577	3.85633015765999	7.08315666754869
"ENGASE__pos"	1.89005284700386	4.1383777928455	8.75381417976873
"EPOR__pos"	0.915039224191087	4.75276254666601	8.55680130879815
"FAM98C__pos"	2.22044604925031e-16	4.9419625917873	9.09482783126585
"FBXL6__pos"	0.00115947017738233	5.6352750363941	8.93246620276411
"FBXO21__pos"	2.22044604925031e-16	2.80176226736385	5.96049593396997
"FHL5__pos"	2.22044604925031e-16	3.83033103595811	8.35943569512804
"FREM1__pos"	2.22044604925031e-16	4.74654757181996	10.3360044721875
"GABARAPL2__pos"	10.0898759389502	3.11306241603944	3.01623339752249
"GLA__pos"	2.55448319102883	5.24995599201152	4.88676815196464
"GPI__pos"	0.0303920745079032	4.3920483395421	8.44317572865864
"GPR63__pos"	7.96301672905466e-09	5.20957839661436	8.32472993717691
"GRXCR2__pos"	6.02561693107863	2.22044604925031e-16	10.4969798637226
"GSN__pos"	3.77306850676148	3.70337379637547	3.95724920577766
"HAGHL__pos"	2.22044604925031e-16	5.25393339340819	8.598620537281
"HCST__pos"	4.8639975865585	1.5955702478879	8.61283814762746
"HIST1H4H__pos"	1.79531889597103	6.24899838697189	6.10115803842753
"HSH2D__pos"	1.51388167844868	2.85203704959127	8.78065722981136
"IPO11__pos"	5.75460915373557	5.69180291499355	3.51440044378974
"ITGB5__pos"	4.16825494014276	6.06855691432004	4.25371035833022
"LAMP5__pos"	2.22044604925031e-16	2.68202762364445	9.67200470252967
"LRRC42__pos"	2.22044604925031e-16	5.81678197570083	6.12707773868207
"LYN__pos"	2.22044604925031e-16	5.61535368445738	7.59426768634403
"MAGI1__pos"	0.405239507119003	5.25161621224015	9.10348276194586
"MAP2K2__pos"	2.49542542152076	3.57238010710697	6.67620653636664
