"LP16"	"LP18"	"LP23"	"LP24"	"LP38"	"LP42"	"LP45"	"LP46"	"LP53"	"LP59"	"LP70"	"LP71"	"LP82"	"LP83"	"LP84"	"LP89"	"LP94"	"LP95"	"LP96"	"LP98"	"LP99"	"LP101"	"LP102"	"LP104"	"LP107"	"LP108"	"LP15"	"LP17"	"LP19"	"LP20"	"LP21"	"LP22"	"LP25"	"LP26"	"LP30"	"LP31"	"LP32"	"LP33"	"LP34"	"LP35"	"LP41"	"LP44"	"LP47"	"LP49"	"LP50"	"LP51"	"LP52"	"LP55"	"LP58"	"LP62"	"LP67"	"LP69"	"LP72"	"LP79"	"LP80"	"LP85"	"LP90"	"LP91"	"LP92"	"LP93"	"LP97"	"LP100"	"LP103"	"LP105"	"LP106"	"LP109"	"LP113"	"LP119"	"LP120"	"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP13"	"LP14"	"LP27"	"LP28"	"LP29"	"LP37"	"LP39"	"LP40"	"LP43"	"LP48"	"LP54"	"LP56"	"LP60"	"LP61"	"LP63"	"LP64"	"LP65"	"LP68"	"LP81"	"LP87"	"LP110"	"LP111"	"LP112"	"LP114"	"LP115"	"LP116"	"LP117"	"LP118"	"LP121"
"VAMP7"	0.74859025559944	0.825830534026469	2.44682967527976	-0.959828555935836	0.991644847934116	0.886369121398796	0.861426888416045	0.913168194116524	-1.20650193823666	0.975408212552747	0.84434978426915	-0.949057117449793	0.836799367057407	1.00030422434256	0.793389039249073	0.812839150814276	0.798207375695373	0.719981873991694	2.15100658297262	0.883595289463408	1.08585810856167	-1.15415427137186	1.08138698117854	1.1905642759596	0.890158065953774	0.775592112746073	1.65414376650483	0.740964578201828	-0.683616790194153	0.668875702593804	0.732644879497538	0.710351040999804	0.863624145213678	-0.926935675985075	0.73658570654517	-0.9271303703957	0.789667336151987	0.819204317242308	-0.578789811106325	0.727165113601343	0.772252730151331	0.880980613267111	-1.16235283515006	-1.02887815392247	-0.997609399529454	0.717948270434616	-0.957765527679214	-1.00074164126462	-1.2035683896439	-1.12354209914586	0.816714744543189	0.723205926106895	0.772851453587081	0.778068602925452	0.841706776978177	1.16957989650538	-0.706437523138875	-0.803847614019945	0.897733374245117	0.905856731622367	0.967908346193251	0.913305330131611	0.891608589905899	1.06957592698611	-1.10302820371407	-1.06103980215388	0.794054170861667	-1.18531282823169	-0.537533297767457	-1.11447456129141	-1.0251045109067	-1.0515631307179	-1.17332933922547	-1.21746567574248	-1.27744430267957	-1.12747737193712	-1.19321032043439	-1.20827911746295	-1.19891860468408	-1.09705597103779	-1.07014797484822	0.096177161296222	-1.03588703086803	-0.816061344402389	0.781909430419328	0.789888785035014	-0.785279944476762	0.754289195560224	-1.10334576948398	0.716716458338766	-0.969165567793719	-0.937513674884121	0.879313743047686	-1.12833718942879	-0.838984855252575	-1.09800948332174	-0.965218571907443	-0.972886902397881	1.01347968231456	1.16090990813138	-1.17963551577993	-0.975259682839773	-0.566718290444786	-0.849583331120294	-1.06460166538988	-1.11998691240709	1.13703990112662	-0.689880590972197	-1.09110324767013
"DEFA1"	0.848085094124119	0.885765298446054	0.848085094124119	-0.465126737660115	0.866303139485487	-0.542236804561296	0.848085094124119	0.848085094124119	-1.11548141031856	-1.1174172114681	0.851051997681843	0.851254746440136	0.88740469925521	1.28439960065944	1.30106056246179	0.877090354881614	0.882070503138347	-1.04579365993517	0.848085094124119	1.19047987041356	1.21570356274927	-1.1174172114681	1.04459351468413	0.0692083207422972	1.17053353274327	0.848085094124119	-1.06373464068145	-1.1174172114681	-1.1174172114681	-1.11252447097727	-1.1174172114681	-1.1174172114681	-1.11153047218102	-1.11619798805386	-1.1174172114681	-1.11634282329555	-1.1174172114681	-1.1174172114681	-1.1174172114681	0.852910308528009	-1.1174172114681	-1.1174172114681	-1.10845773284854	-1.11404398188313	-1.04775974910176	0.848085094124119	-1.1174172114681	-1.05455921457303	-1.11255616640358	0.851122501062425	-1.1174172114681	0.848453997193753	0.850702276991115	0.865816188880192	1.01597100819729	1.4727928833227	-1.08455116387668	0.848085094124119	0.886834335248802	1.14872324474855	0.849776861391184	0.882668042097046	-1.1174172114681	1.54105898376294	-0.321476275821651	-1.11427460145066	-1.1174172114681	0.849901041733575	0.848663384532926	0.84958727141903	-1.11243698816741	0.849127106162812	0.848085094124119	0.848741349149761	0.848085094124119	-1.1174172114681	-1.08365076687969	-1.11266446616704	-0.54049274257035	0.848085094124119	-1.11462671040647	-1.11673181826697	-1.04474491825202	-1.11177598010168	-1.1128871522862	0.848085094124119	-0.761490170522376	-0.812241346254861	0.848085094124119	0.848085094124119	-1.10853520523848	0.848085094124119	0.852868558069892	-0.0400547211745743	-0.349309656520122	0.850524015725684	0.848085094124119	-1.11190687021189	2.05263253424906	1.17155015103594	-0.579750365562685	0.848085094124119	0.850766465706598	0.848085094124119	-1.1174172114681	0.850643948323587	-0.508090501599836	0.850719347857622	-1.05345912317542
"PPBP"	0.870289903795164	-1.21470532061215	0.870289903795164	0.0266931868245445	0.870967177076896	-1.21470532061215	0.870289903795164	0.640385632924781	-1.21470532061215	-1.21470532061215	0.870382916232115	0.870604943936083	0.884243805872397	0.891298752622897	0.878913022022216	0.874089957895298	0.870959897720765	0.87054075053457	0.875591645561644	0.921039403068842	0.922429429534321	0.875176436323634	0.880694711574674	0.410098688151787	0.876505818335785	0.638957548762031	0.350634636759417	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	0.870526343497199	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	0.870289903795164	-1.21470532061215	0.870289903795164	-1.21470532061215	0.870289903795164	-1.21470532061215	-1.21470532061215	0.872481070552789	0.887491513690965	0.872970378825162	0.924924310415643	0.870436397993468	0.870921412865649	0.87264895927613	0.879682276966027	0.870401623758608	0.877063324407635	0.870526458921792	0.87884662847876	0.152220659894495	-1.21470532061215	0.870547444941357	0.871155384954343	0.870289903795164	0.870502295694565	-1.21470532061215	0.651584518776639	-1.21470532061215	-1.21470532061215	0.0913185850777052	-1.21470532061215	0.870289903795164	-1.21470532061215	-1.21470532061215	0.870289903795164	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	-1.21470532061215	0.870818818316099	-1.21470532061215	0.633908468312626	0.870289903795164	-1.21470532061215	0.870289903795164	0.870289903795164	0.0199086915618232	0.870902763716767	0.870289903795164	0.870289903795164	0.870289903795164	0.922119664510645	1.00188050590874	0.280014945494219	0.87080880566994	-1.21470532061215	0.870289903795164	-1.21470532061215	0.870289903795164	0.870289903795164	0.870289903795164	-1.21470532061215
"FARSA"	0.800738878019673	-0.490312235901751	-0.673185459182905	0.0272804864155491	1.29100058880898	1.07948781258341	1.029820340172	0.663314169023607	-0.994508369776892	1.02330130720635	0.814171898399665	-0.307179524206217	1.49688476774881	0.681325679477046	-0.654305777830511	-0.365283377508123	1.01463415816789	-0.0780382992309152	1.24467916440828	0.73831356463041	1.26558247022418	0.893806515011935	-0.97991784822751	1.14940723884013	1.1080191237009	0.80564794411118	-0.549652522100112	-1.9896052673619	-0.504142696923947	1.07294742314277	-1.05886489509917	-0.400631256777646	-0.171676040323968	-0.774078837199331	-0.794807201239981	1.00063223773721	-0.810340580669793	0.656765439361317	-0.450589950880184	1.04785360116324	1.06220600516286	0.452284980173024	-0.810584551763171	1.23834268888918	-1.12340149341964	-0.237104979153811	-0.616925652547564	-2.56577484723066	-1.85108525453723	-0.483936451226396	-0.701350346451763	-0.52092831558514	1.09623199120027	1.10351769096585	-0.542024610901207	1.17395013774721	0.00233299283193344	1.1507894942206	0.965839072266768	-0.576184153944094	0.77191387871384	1.11650220848803	1.30112589172736	-0.972206267596071	0.382079939840816	1.09506070582742	0.58976688593651	0.948309552620365	-0.225310671071579	-0.0981091362844064	-0.40224526432171	-1.53594784658863	-0.844452580602345	-0.373592998584037	-0.455850018754703	-0.637461252145116	1.2308771256951	0.644377145981946	-0.465733354475224	-0.559795250130244	-1.96297084608895	-0.15180789086231	1.07403424636085	0.691839131636225	-0.951001088401926	0.186612037792419	1.41043416775462	-0.49158291520127	-0.311168853762915	-0.266721572143381	0.800946573903267	-0.193941350275535	-1.7254842688929	-0.464364436707493	-1.22116265842757	0.933934725935371	-0.298474537871273	-1.30419607671107	-2.59981174968586	-0.440678278496316	1.36426531337546	-0.938626592549421	-0.804818327186631	1.22745610912669	-2.68779592140088	0.535057339971357	-0.291086934183748	-0.883952965587658	1.18106985969277
"ACVR2A"	0.491902756927848	-0.9199686107269	0.420902612421897	-1.03824640031311	-1.43609911072616	0.48468345123316	0.142857903839088	0.363587473336588	0.606931414881832	-1.38095375672151	0.418894741134754	-0.683390889798344	0.196807568374382	4.67966026221532	0.438111555500459	0.472471254893192	0.498010928730565	-0.542645347408744	1.23451475533616	1.43027198861332	0.468435936070013	0.375865945971192	0.466789731749099	0.462665586231513	1.84858095486998	0.663265941941657	-0.698927606614056	-0.98039637060389	0.3968914938066	-0.935543565770368	0.395257649700492	-1.00352448444242	3.86371708445402	0.362778162301278	0.534471580839951	-0.765273668796052	0.6125542578651	-0.0305063647322715	0.410343865448595	-0.984933848271183	0.679749304835127	0.418187014992792	0.465117044489604	-1.05957954838277	-0.948748498340174	0.339438134075242	-1.01335065215446	-0.950798060049352	-0.932645788374388	-0.900993463506288	0.796230689516195	-0.988146966818453	0.40269223302147	-1.05279032595164	0.585597202146522	1.20733129121522	0.549020176796084	0.420377290235996	0.351752987053484	0.545948036005624	0.475843206528835	-0.923953578452816	0.436763311307253	1.66372370582917	0.405493375934576	-1.00316872964351	-0.833559873776915	0.357856922570453	-1.06681208158296	0.375959562384226	0.463846064417485	0.164440024174913	0.424737779717115	-0.966171148294836	-0.900619949918335	-1.00648419035844	0.500768903397435	0.0874337397848401	1.55347655309037	-1.03813552623915	-0.997428124179398	-0.987309560650433	-0.985555399140087	0.492218935071756	-1.01528482720308	0.676467926233973	-1.05374909833736	-0.964576518766358	-0.906305283578927	-0.169897675519416	0.451496151265402	1.1148425866869	-0.790420110484529	-0.890520509470064	-1.28923840887053	0.449762766781596	-0.0621402042874214	-0.928722896889995	1.3837450738102	1.29618480224186	-0.90952260867495	0.405192800090342	-0.893778094874048	-0.837184769244999	-0.850728246644998	-0.758647983266739	-0.934148147208673	0.0411978678889584	0.487406551781963
"RBX1"	0.421257957780775	-0.991121792057733	1.14434148437411	-0.734579338710116	-1.92941175224207	0.976408439708144	0.88765190856193	0.746030390985548	-1.68736082384275	0.939352225442679	-0.464026954944525	-0.226490938521958	0.810470201729636	0.962196754393483	0.860043368051844	1.08533262140303	1.21798129193264	-0.837772811750579	0.909562043096267	0.848131667810921	1.20840109593839	1.04294354121038	0.939928866692114	0.913774373820634	1.27034446770473	-0.573473970430298	-0.24332744943262	0.387792691554791	-0.135291593422429	0.816282653084596	0.3435091123004	-1.12278258760187	-0.915725544896844	-0.271881539808205	0.477443246304273	0.617175839342251	-0.736401918788606	0.545641640240449	0.798209071056044	1.12429026805309	0.496125369157658	-0.754302874859567	0.535547738922099	0.976434613319702	-1.66731049833846	0.465705109748431	-2.00255513921403	-1.02299690244566	-0.666735975718825	-0.470263724298089	1.0260421558375	-0.737509621695667	-0.599513428946055	1.08192289714618	0.992818007797868	0.940877913852933	-0.786876201545963	0.792075751493652	1.01210652013478	1.1922153647416	1.06508798424061	-0.666785604182896	0.93062470377169	1.14991598183479	0.690995367194476	0.815901156070084	1.55809279442601	-1.39710442538655	-1.01590988792835	0.505020072415937	0.794714558691716	-0.635759406549372	-0.158772802015388	0.488746589893255	-0.329624639534869	0.696822345077331	0.49735856969062	0.766406385001045	0.639580765649248	-1.67017615335766	-1.23805522152385	-1.5565119644868	-0.8921068201155	-0.347164289652221	1.1597224918902	-0.35715830672953	-1.02835509263964	-1.3482701555533	-1.7414506321156	-1.08077688070667	0.299667610368288	1.53085985324233	-1.71381368969649	-1.64954770059607	-1.57945362377642	-0.501157948888296	-1.22572129778607	-0.979412915125933	1.58577874967701	1.2567867987677	-1.31088477167803	0.656888918232278	-0.693800033102585	-0.795050350475157	-0.393249621053324	-1.84768859232695	-0.980180597265326	0.358372594402857	-0.542056147501426
"GABARAPL2"	-1.12934180778716	0.937290868851073	-1.210108230148	-0.556505539098893	-0.805353025148905	0.990838407077323	0.774963470004782	0.929641811408164	-0.872729614842956	-0.949550515045085	1.08560884290208	0.915622389524967	0.9001079105014	-1.1427804339901	0.777329938486164	0.664449833178874	0.667397205702472	0.966075734240145	1.13668455235833	1.14723356913685	1.21694258733911	-0.734566793422445	0.986015688350428	1.19207919080894	0.788495960316215	0.7074715057744	-0.97302143736102	-1.0086845781294	1.02183955967223	-1.44288251991219	-0.590107395937169	-0.931315980698172	0.941709610943194	-0.888930865282761	-1.15827400269876	0.874259673646156	0.573683043399866	0.639081148961765	1.07887481085929	0.641830711008193	-0.988528703142037	0.939471315292845	-1.40632007041358	0.61921209137948	-0.967174720390349	-0.846401100905334	-0.777622579904488	-1.38193033372537	-0.743734998232276	0.740033251740804	-1.31554786944722	0.599687932408811	0.992176453340225	0.991466311567887	-1.35105775042193	1.23864701917882	0.954782033778245	1.003656917798	0.899812590885864	0.66734398403988	0.617060865999234	0.60402109802117	0.798187636838722	1.1670768391859	-0.665151018724362	0.747362412931905	-0.93738568342206	-1.02415304710624	-0.650840881419813	-0.862113165967857	-0.863085430051322	-0.913369275170601	-0.638535484819929	-0.988935383329332	-0.934390351501107	-0.73419762289209	-1.37891225895513	-1.31150064520704	-0.863945138000478	0.911373002029069	-1.19991221121784	-0.623947388305062	-1.31142622663284	0.930433008425454	0.885477994064003	-1.40023405524023	-0.102728431301785	-1.16155908886332	0.93798574062068	1.08588005623039	-1.25546684481352	-0.821539486147872	-0.897876431241942	-0.936431076401939	-0.947896650820832	0.984423906414692	-1.34720609309737	1.03970005977186	1.55626960511663	2.47481145130041	-0.946809189500604	-0.797145660209838	-0.527213425601916	1.03368864251716	0.928438596515029	0.97260037250135	1.15631012173512	1.05400856149248	-0.870549385524865
"BNIP3L"	0.64952602804891	-0.6721146939981	-1.28953962467709	0.800234657564674	0.388801604236873	1.41564447904535	0.949265345818029	-0.785256188393793	-1.72662744353629	0.438112495775928	-0.856456714748344	-0.161972343627799	0.664955145727489	0.612617832524993	0.541048920687923	0.380238598955679	1.09771263795829	0.915950315947513	1.25844618775972	0.463450004194751	1.0659104450526	1.20468659275004	0.296883675396752	0.45515167067363	0.545217660690238	0.512830432123252	-0.957371252325381	0.632705539556242	-1.10701745644526	0.825951699727117	0.359047074271601	-0.245377294876586	0.33420697152937	1.27333866121443	-1.29390446183019	0.954415456797255	-1.50296901036073	0.678538163372505	0.868687227911004	-0.547161878510226	2.3599714063395	0.480370391492941	0.424693912331982	0.556928192248573	0.766020849974492	0.967971471014775	0.0824543522739773	-1.5340585416264	-1.36738024294666	-0.292104163479756	1.12822696373347	1.30599240852392	0.530318664757985	-0.464307205793805	0.672706797033929	0.937359660928062	1.41269148284575	0.574098440377028	0.776761060351422	0.571631460974313	-1.55863661856578	0.929043885395728	1.01428259269856	0.981467115813008	1.41877867805951	-1.64067106194069	-1.48787612623754	-1.18657991793139	-1.13051127072112	-0.899605485818779	-0.365332933600975	-1.31997181317583	-1.39870352134512	-0.0888276932383411	-0.707223057340113	-0.600242679945253	-0.644250200566142	-0.685733944101264	-0.183488965988496	-1.22171254975637	-1.34822652817776	-0.622168793631668	-1.45719826103406	-1.79710662419534	-1.15728510630091	0.0777355847651467	1.05757275994858	1.24453075723089	0.570074301965269	1.25017571315108	-0.174754463282107	-0.139000162522949	-0.652654364093572	-1.26120324185192	0.590148819860485	0.955649273923164	-0.477634497791314	-1.62479591491755	1.25220137815879	1.58817675061215	-1.68011231967282	-0.413658640471188	1.17478196720791	-1.34079852990264	-1.11709493037171	-0.939192838703653	-0.642238048401629	-1.29666085584814	-0.171622140683928
"PCNP"	0.585120361165065	0.636588240294161	1.07186327232347	-0.564134980728996	-0.975337152531841	2.13952771887774	0.50459296756369	0.479987655985069	-1.16092810551692	-1.14438595052186	0.568222168003821	-1.39485318726403	0.464520520501646	1.0231569614445	-1.07430640860236	-0.501147109566589	0.476440158992167	0.574431996535158	1.53580215899139	0.379851080298403	0.860855294914756	-0.570803128304228	0.559283010395699	0.896682824413443	2.21700641588471	0.506914026434759	-1.01542019512126	-1.22806561844571	-0.52270836304894	0.520051009915191	0.610547409945532	0.525730462653367	2.25029031276478	0.425139670371345	-0.832455395850001	0.548603088696325	1.09567457733692	0.374777725467871	0.884374992004805	0.509403350117471	0.452796875701285	0.615625739852744	-1.27496287013292	2.28481262252069	0.747534420066874	0.652318627969739	1.53334604727446	-1.28261603363816	-0.945457852217323	-1.02517700098844	-0.48220706920403	-1.28839357660086	-0.284011329627736	0.507099850854997	-1.05699043277543	0.528113316002826	0.659368054290511	0.713367949991634	0.489982490989046	1.04946686540515	0.907531929496487	0.549267629458899	0.477133565685347	1.11161078167887	0.483773433456976	0.795660252991525	-1.12471257235516	0.594054792834726	-1.48952959411995	-1.33793557460433	-1.2912929553078	-1.22345832363426	-1.22843747624816	-1.10721704427012	-1.0421337663086	-1.0950983817253	0.601744166277262	-0.349963949210968	1.57922218435798	-0.932122259958038	-1.07144541185716	-1.31400752011896	0.712614164208827	0.475702537571963	0.540876229792783	1.4889162335147	0.602239760601925	-1.28979826210834	-1.19092278292469	-0.136607615998807	-0.239802272879489	-1.18619195310191	-1.2330845363572	1.38470873210625	-0.768073307662156	-0.680558409256298	-1.3394202267264	-1.26243644218926	0.857085236315185	0.984257613990947	0.452071349077626	-0.202415646171738	-1.14569401209988	-1.04117768452075	-1.50025332186632	0.586594469841887	-0.83105759370439	-1.20221651481888	-0.162910183680375
"HBA2"	-1.00332674958726	1.01738886842339	-1.00130656130692	-0.949600887089723	-1.01673970035428	-1.00747877187139	0.623739578218689	0.627299564190323	0.648126926131644	-0.998983882852141	0.619550308449321	-0.960684221164929	0.681072585670634	0.911548810847347	0.703720446074311	0.646066633245419	0.623681524454108	0.617119427031181	-1.001749206475	0.653272370487817	0.972056193698907	0.661045681365329	3.94624482099162	0.670744691850037	0.654531074181191	0.649558732164428	0.625506583654468	-1.00811644112106	0.611587069097966	-0.674828594933758	-0.72313484089771	-0.975448811195315	-1.00708591241672	0.627538214772789	-0.968129356600523	-0.997102525657435	-1.01089583406646	-1.00794160467708	0.623965215446386	-1.0024705693505	-0.605905952067102	-1.02034031464331	-0.969567915743628	-1.00336678290112	0.62874897645078	0.623704562506413	-1.00306877990783	0.619703224265876	0.677359898253414	-0.973812317835262	-1.01856778166971	2.72874981439052	0.673457412114993	0.658850781384169	0.673145313756127	2.04360409244938	0.625119410444292	0.666321263400193	0.657595458227728	1.08949343608571	-1.00088030717764	0.660957629478347	0.612008557845365	0.969908489548449	-1.017221654446	-1.00439232586735	-1.00339312221677	0.625672159454227	-0.96319257082426	-0.608351538790897	0.610409836386449	0.625637413159625	-0.911927991108256	-1.00300229112401	-0.960784846336002	-0.94650121071268	-0.946857823331539	-0.954655507476737	-1.00111726337284	-0.997599696379311	-0.942042227379599	0.626107448375241	-1.00061961213554	0.6240233710016	-0.99925671914702	-0.977803686663641	0.626637183257023	-1.00374833601784	-1.00115698775715	0.629183860845402	0.6088597227274	-0.472271280476996	0.620108029394745	-1.00220711273497	2.40885870222284	0.623370832324994	0.624718890510853	0.622807561569188	0.869165643449375	1.88149715436607	0.624488452006687	0.62587942160915	-0.964627193490844	-1.02240068488025	-1.00001398744189	0.42445170650052	0.607057925594558	0.620451635600493	-0.937800297730865
