"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"VAMP7"	"VAMP7"	0.921487317222318	0.244595082370357	-0.972003795048129	"IS01"	0.921487317222318
"DEFA1"	"DEFA1"	0.659755949216695	-0.524655061500403	0.0236296109161293	"IS01"	0.659755949216695
"PPBP"	"PPBP"	0.64155552121243	-0.367899143311315	-0.123325741325692	"IS01"	0.64155552121243
"FARSA"	"FARSA"	0.635649067861115	-0.0193094393349774	-0.47714873174334	"IS01"	0.635649067861115
"ACVR2A"	"ACVR2A"	0.513376294112573	-0.015229176401359	-0.385741173937636	"IS01"	0.513376294112573
"RBX1"	"RBX1"	0.491960454437888	0.215832253209856	-0.606587896842947	"IS01"	0.491960454437888
"GABARAPL2"	"GABARAPL2"	0.473948643283654	-0.0268001819799718	-0.343015310053249	"IS01"	0.473948643283654
"BNIP3L"	"BNIP3L"	0.46290742895861	0.288159976919416	-0.658243567460139	"IS01"	0.46290742895861
"PCNP"	"PCNP"	0.408873789753534	0.347384687682199	-0.676893978960219	"IS01"	0.408873789753534
"HBA2"	"HBA2"	0.40341608433198	-0.124280999329644	-0.187631316627132	"IS01"	0.40341608433198
"PRDX6"	"PRDX6"	0.391621253694899	0.133726975780053	-0.443708631426588	"IS01"	0.391621253694899
"TRAM1"	"TRAM1"	0.328290135987526	0.260719422302892	-0.524772403607496	"IS01"	0.328290135987526
"CDC42"	"CDC42"	0.321439201991067	0.262701049064143	-0.521453396790131	"IS01"	0.321439201991067
"SCYL2"	"SCYL2"	0.313187009028967	0.189831095139825	-0.440071816482368	"IS01"	0.313187009028967
"VCL"	"VCL"	0.305171420210559	0.0712661444038988	-0.311888856026323	"IS01"	0.305171420210559
"GK"	"GK"	0.303310524722703	-0.308813830972094	0.0803875144736275	"IS01"	0.303310524722703
"PDP1"	"PDP1"	0.299642304241468	0.104702010485676	-0.341946521127332	"IS01"	0.299642304241468
"MBNL3"	"MBNL3"	0.295606814204885	0.236041411911094	-0.473842402919503	"IS01"	0.295606814204885
"OSTF1"	"OSTF1"	0.259729637252429	0.0437934810371029	-0.248109585642768	"IS01"	0.259729637252429
"CAPZB"	"CAPZB"	0.255613633298726	-0.011892038615382	-0.187632106908767	"IS01"	0.255613633298726
"SSR2"	"SSR2"	0.252474525454954	-0.046985814707424	-0.14909213180874	"IS01"	0.252474525454954
"TPM1"	"TPM1"	0.248641762849362	-0.0654842843199944	-0.127074103379993	"IS01"	0.248641762849362
"HIST2H2BE"	"HIST2H2BE"	0.23308343937664	-0.123278873120326	-0.0554813841519217	"IS01"	0.23308343937664
"GNAS"	"GNAS"	0.210083498174523	-0.186978843385603	0.0280020900245369	"IS01"	0.210083498174523
"RAPGEF2"	"RAPGEF2"	0.204151810865874	-0.123143828039904	-0.0329990666200396	"IS01"	0.204151810865874
"MRPL13"	"MRPL13"	0.194012523725171	-0.0264719095155933	-0.124475270649879	"IS01"	0.194012523725171
"OAT"	"OAT"	0.18588048917934	0.133781971127267	-0.282899757140652	"IS01"	0.18588048917934
"ATG4A"	"ATG4A"	0.183215607375088	-0.0266810821980342	-0.115818249796166	"IS01"	0.183215607375088
"TSEN2"	"TSEN2"	0.17722873617349	-0.0836724048393207	-0.0525352636697101	"IS01"	0.17722873617349
"UBE2Q2"	"UBE2Q2"	0.17424407643836	-0.152704326231793	0.0207812177144371	"IS01"	0.17424407643836
"MLH3"	"MLH3"	0.162812745057006	0.124704533751343	-0.255529482108452	"IS01"	0.162812745057006
"S100A8"	"S100A8"	0.131735021030863	0.0695621652899755	-0.174529565390417	"IS01"	0.131735021030863
"PYCR2"	"PYCR2"	0.130676648199692	-0.0626461800669112	-0.0377573723858849	"IS01"	0.130676648199692
"HBG2"	"HBG2"	0.10802273488659	-0.142260523716466	0.0618196755152427	"IS01"	0.10802273488659
"MED12L"	"MED12L"	0.0826367961928521	0.00496255557991228	-0.0697151952608572	"IS01"	0.0826367961928521
"ARPC5"	"ARPC5"	0.0252417135578123	0.0231270927541693	-0.0435167779326418	"IS01"	0.0252417135578123
"PAPSS1"	"PAPSS1"	0.0166205772833838	-0.00220401054053246	-0.0107290666172142	"IS01"	0.0166205772833838
"LTB4R2"	"LTB4R2"	-1.28868352365415	0.610025218417245	0.380336041368664	"IS02"	0.610025218417245
"XPNPEP1"	"XPNPEP1"	-0.864951228310578	0.562454255539483	0.0979418744468024	"IS02"	0.562454255539483
"AFAP1L2"	"AFAP1L2"	-0.701877620925682	0.560697497180027	-0.0277563735649619	"IS02"	0.560697497180027
"RCBTB1"	"RCBTB1"	-0.254129381218622	0.55258604903327	-0.369502899451679	"IS02"	0.55258604903327
"LAPTM4B"	"LAPTM4B"	-0.436985254051291	0.551743731298382	-0.225664685210914	"IS02"	0.551743731298382
"TSPAN17"	"TSPAN17"	-0.684595012068627	0.530326148791203	-0.0100397008062813	"IS02"	0.530326148791203
"NDUFAF1"	"NDUFAF1"	-0.846467046569076	0.529799557443876	0.117066935677661	"IS02"	0.529799557443876
"SELENBP1"	"SELENBP1"	-1.3286271959954	0.516116659769459	0.508129858163892	"IS02"	0.516116659769459
"FRAT2"	"FRAT2"	-0.733434993090569	0.513734388517966	0.0452081595925576	"IS02"	0.513734388517966
"NFIL3"	"NFIL3"	-0.985412319764436	0.50899695436219	0.247096532453535	"IS02"	0.50899695436219
"DENND5A"	"DENND5A"	-0.164756370947778	0.5056359327183	-0.391105263967113	"IS02"	0.5056359327183
"TRAF6"	"TRAF6"	-0.582154826571469	0.493128794090279	-0.0518874644518053	"IS02"	0.493128794090279
"SOCS4"	"SOCS4"	-0.129393701577685	0.486781224241418	-0.39936721246105	"IS02"	0.486781224241418
"CDC23"	"CDC23"	-0.223333545744328	0.484883275793094	-0.323965559777008	"IS02"	0.484883275793094
"OR2AG2"	"OR2AG2"	-0.654219041074573	0.471356495041975	0.0268459991702186	"IS02"	0.471356495041975
"MAPKAPK3"	"MAPKAPK3"	-0.905598863801226	0.466446273309764	0.22844486392389	"IS02"	0.466446273309764
"PHTF1"	"PHTF1"	-0.423712271097095	0.464125820774346	-0.145948550119588	"IS02"	0.464125820774346
"HTRA2"	"HTRA2"	-0.694883400964444	0.458432366872118	0.0719301891660149	"IS02"	0.458432366872118
"RMI1"	"RMI1"	-0.301409638365183	0.454875696494701	-0.232063488065179	"IS02"	0.454875696494701
"DHRS3"	"DHRS3"	-0.647328458022254	0.450339760708335	0.0430690476528153	"IS02"	0.450339760708335
"HRH2"	"HRH2"	-0.608435515938653	0.445404220525703	0.0177342991100246	"IS02"	0.445404220525703
"AHCTF1"	"AHCTF1"	-1.11020275631288	0.429207875135085	0.426712173365881	"IS02"	0.429207875135085
"SIDT2"	"SIDT2"	-0.566686617594476	0.428757913059064	0.00220824764755646	"IS02"	0.428757913059064
"NT5C3A"	"NT5C3A"	0.286273210593374	0.426247633289427	-0.662126221643441	"IS02"	0.426247633289427
"ABHD16A"	"ABHD16A"	-0.443924977043865	0.405343244828075	-0.0697007349135565	"IS02"	0.405343244828075
"ZC3HAV1L"	"ZC3HAV1L"	-0.888913296749245	0.400219082495834	0.283497513862933	"IS02"	0.400219082495834
"TMEM41A"	"TMEM41A"	-0.658229035389062	0.395999284406949	0.107468220732852	"IS02"	0.395999284406949
"ADAMTS14"	"ADAMTS14"	-0.911981723806291	0.393655319492169	0.308283609875073	"IS02"	0.393655319492169
"PDK1"	"PDK1"	0.0425123630861214	0.391331464563649	-0.435630571004161	"IS02"	0.391331464563649
"DNA2"	"DNA2"	-0.840839839131603	0.390814791120601	0.255579708567295	"IS02"	0.390814791120601
"TMEM50A"	"TMEM50A"	-0.301658170194828	0.39074454436583	-0.16592561073543	"IS02"	0.39074454436583
"CD14"	"CD14"	-0.985290464366745	0.390153331316148	0.369203502836308	"IS02"	0.390153331316148
"CDC123"	"CDC123"	-0.664421764831336	0.389888684635191	0.118593507793968	"IS02"	0.389888684635191
"DLL1"	"DLL1"	-0.828826768378298	0.38683050778998	0.250283762700146	"IS02"	0.38683050778998
"IGF2BP2"	"IGF2BP2"	-0.28151802920946	0.385383476944121	-0.176160290048334	"IS02"	0.385383476944121
"ZNF782"	"ZNF782"	-0.473620004615123	0.380634339196189	-0.0210754654635318	"IS02"	0.380634339196189
"OST4"	"OST4"	-0.0720015032770728	0.377839622694157	-0.332220871425397	"IS02"	0.377839622694157
"CAPZA2"	"CAPZA2"	-0.0985088546564583	0.37775450620607	-0.311407674008764	"IS02"	0.37775450620607
"NME1.NME2"	"NME1.NME2"	-0.54410771881458	0.374238760932323	0.0406140774188151	"IS02"	0.374238760932323
"S100A9"	"S100A9"	-0.150757728131094	0.369318765603254	-0.261880970824324	"IS02"	0.369318765603254
"TGFB2"	"TGFB2"	-0.48148003596316	0.362162051243284	0.00406449861596352	"IS02"	0.362162051243284
"SNAPIN"	"SNAPIN"	-0.587272718135788	0.357479392333512	0.091597105179175	"IS02"	0.357479392333512
"SRGN"	"SRGN"	-0.332322728779244	0.354552553034077	-0.104734672755472	"IS02"	0.354552553034077
"TOLLIP"	"TOLLIP"	-0.689658830924121	0.34662385240787	0.182813501449535	"IS02"	0.34662385240787
"TMEM140"	"TMEM140"	-0.394405670835856	0.339404390631604	-0.0406167474451864	"IS02"	0.339404390631604
"VPS41"	"VPS41"	-0.18366470881442	0.335309803964519	-0.201181442764415	"IS02"	0.335309803964519
"SLC25A37"	"SLC25A37"	0.0958119765507341	0.33321143831137	-0.417542140334837	"IS02"	0.33321143831137
"SERPINB1"	"SERPINB1"	-0.265651386110072	0.325735981942673	-0.127232980263685	"IS02"	0.325735981942673
"CPEB4"	"CPEB4"	-0.0868999820936038	0.323168062528885	-0.264355362354702	"IS02"	0.323168062528885
"VSIG1"	"VSIG1"	-0.38695240472363	0.322690252625816	-0.0292578433182871	"IS02"	0.322690252625816
"C1orf198"	"C1orf198"	-0.19474228548905	0.320537422235081	-0.17733020007891	"IS02"	0.320537422235081
"ZNF671"	"ZNF671"	-0.642134869984301	0.317712554032979	0.175383630826278	"IS02"	0.317712554032979
"SEC14L1"	"SEC14L1"	-0.12429476561782	0.315882347718768	-0.227625361819786	"IS02"	0.315882347718768
"MXD1"	"MXD1"	-0.271861249145417	0.314912405758835	-0.111248127495567	"IS02"	0.314912405758835
"KIAA1841"	"KIAA1841"	-0.717479594003324	0.314210805055112	0.237895180837959	"IS02"	0.314210805055112
"CRKL"	"CRKL"	-0.127206445134362	0.313250522737611	-0.222642563380212	"IS02"	0.313250522737611
"CD58"	"CD58"	-0.316358527304045	0.312179961151988	-0.0736467492127585	"IS02"	0.312179961151988
"CCND1"	"CCND1"	-0.174914474434525	0.311832423158121	-0.183882239526465	"IS02"	0.311832423158121
"RFK"	"RFK"	-0.36977398675689	0.309453666812607	-0.0290787112292791	"IS02"	0.309453666812607
"IPO11"	"IPO11"	0.116163545028959	0.305797165989034	-0.405265683786004	"IS02"	0.305797165989034
"CBR1"	"CBR1"	0.235121914907886	0.298908885375147	-0.491194387342712	"IS02"	0.298908885375147
"SQSTM1"	"SQSTM1"	-0.292709677390768	0.298649986571841	-0.0782250645223209	"IS02"	0.298649986571841
"FBXO9"	"FBXO9"	-0.225009676499989	0.296078882108084	-0.128514849831799	"IS02"	0.296078882108084
"SLC35A2"	"SLC35A2"	-0.411010315981102	0.295949472075421	0.0170491522236127	"IS02"	0.295949472075421
"CCZ1"	"CCZ1"	-0.12912633067514	0.294526695211132	-0.201888456308783	"IS02"	0.294526695211132
"ZDHHC9"	"ZDHHC9"	-0.654743995984849	0.288566960702572	0.215211778572972	"IS02"	0.288566960702572
"NR3C2"	"NR3C2"	-0.509799239937778	0.285670355208895	0.104860250616986	"IS02"	0.285670355208895
"C6orf62"	"C6orf62"	0.0486257099379382	0.285465645583796	-0.331552820366987	"IS02"	0.285465645583796
"HIP1"	"HIP1"	-0.554938413429079	0.283216086819135	0.142677478908424	"IS02"	0.283216086819135
"GLA"	"GLA"	-0.3053432997054	0.278043307814814	-0.0471579952225319	"IS02"	0.278043307814814
"ACO2"	"ACO2"	-0.717395214009293	0.277620641737746	0.275453438616062	"IS02"	0.277620641737746
"GSN"	"GSN"	-0.360006637672228	0.274896570694806	-0.00118193606347478	"IS02"	0.274896570694806
"GCH1"	"GCH1"	0.0316740177975635	0.270208376013275	-0.302610109251021	"IS02"	0.270208376013275
"APEX2"	"APEX2"	-0.523609261310779	0.269660460531488	0.132120434391412	"IS02"	0.269660460531488
"FSD1L"	"FSD1L"	-0.479850623649922	0.269105202116091	0.0984772037069072	"IS02"	0.269105202116091
"DCAF12"	"DCAF12"	0.219908440415566	0.268444433760566	-0.447973810662781	"IS02"	0.268444433760566
"ITGB5"	"ITGB5"	-0.113742469532266	0.266844763194416	-0.185452604599682	"IS02"	0.266844763194416
"ELF4"	"ELF4"	-0.490089784017552	0.26665847038667	0.108998918461054	"IS02"	0.26665847038667
"GCFC2"	"GCFC2"	-0.437455689492412	0.249254158020099	0.0857413324143419	"IS02"	0.249254158020099
"MRPL22"	"MRPL22"	-0.532117458720202	0.248841566393739	0.160180112497378	"IS02"	0.248841566393739
"IL4I1"	"IL4I1"	-0.477158291608317	0.242919422827834	0.123297924385998	"IS02"	0.242919422827834
"NPNT"	"NPNT"	-0.476857161410247	0.24161831642905	0.124400352281764	"IS02"	0.24161831642905
"GPKOW"	"GPKOW"	-0.608910913238825	0.236443639274097	0.232971993662861	"IS02"	0.236443639274097
"JAM3"	"JAM3"	-0.0758870537964143	0.234690533778186	-0.181988214771677	"IS02"	0.234690533778186
"TEP1"	"TEP1"	0.00820518861081261	0.218741111894818	-0.231338432094068	"IS02"	0.218741111894818
"FLNA"	"FLNA"	-0.363956036003088	0.204753549993041	0.0740313589907297	"IS02"	0.204753549993041
"ADAMTS6"	"ADAMTS6"	-0.355854001241993	0.199974509278943	0.072610607734268	"IS02"	0.199974509278943
"GNA15"	"GNA15"	-0.208191329279176	0.19821484491937	-0.0410350874263438	"IS02"	0.19821484491937
"TACC3"	"TACC3"	-0.490083801974878	0.197649830179985	0.179953125583692	"IS02"	0.197649830179985
"IKBIP"	"IKBIP"	-0.135694232366973	0.195398825225375	-0.0948238088919153	"IS02"	0.195398825225375
"FPR1"	"FPR1"	-0.486789012166295	0.192464899224747	0.182708443570664	"IS02"	0.192464899224747
"ANTXR2"	"ANTXR2"	-0.426406112264788	0.188715039220008	0.139351851072837	"IS02"	0.188715039220008
"CHD9"	"CHD9"	-0.0720200738038736	0.187034067023163	-0.136008464834412	"IS02"	0.187034067023163
"HIST1H4H"	"HIST1H4H"	-0.280028845431902	0.183675844007592	0.0300834069378622	"IS02"	0.183675844007592
"STXBP2"	"STXBP2"	-0.18200810589371	0.163086395438967	-0.0253861223685377	"IS02"	0.163086395438967
"NUTF2"	"NUTF2"	-0.201679759534532	0.162344052400194	-0.00924184769428624	"IS02"	0.162344052400194
"CHIC2"	"CHIC2"	-0.361254661282317	0.141510739444165	0.136949304530688	"IS02"	0.141510739444165
"SLC25A30"	"SLC25A30"	-0.019925412758254	0.139464800674613	-0.127826834631247	"IS02"	0.139464800674613
"DHX40"	"DHX40"	-0.279141365437894	0.1351712956775	0.0792648295225469	"IS02"	0.1351712956775
"MYO6"	"MYO6"	-0.190677097856647	0.134530324522149	0.0107551145582554	"IS02"	0.134530324522149
"ITGB7"	"ITGB7"	-0.225059081277469	0.127547446268966	0.0448180597411057	"IS02"	0.127547446268966
"TWSG1"	"TWSG1"	0.114434272518272	0.12468349726772	-0.217681494688486	"IS02"	0.12468349726772
"UBL4A"	"UBL4A"	-0.0180430524944764	0.124611912640376	-0.114025978547213	"IS02"	0.124611912640376
"LIMD1"	"LIMD1"	-0.146583457171505	0.105701055387678	0.00592300919778198	"IS02"	0.105701055387678
"TIMP1"	"TIMP1"	0.0168773221651862	0.0963501949971398	-0.112269244432737	"IS02"	0.0963501949971398
"CDK2AP1"	"CDK2AP1"	-0.100341202359896	0.0920206158543109	-0.016166011993434	"IS02"	0.0920206158543109
"GNG11"	"GNG11"	-0.132671602291042	0.090978608507039	0.0101840676815553	"IS02"	0.090978608507039
"ABCB10"	"ABCB10"	0.00880641940342218	0.0895336751988372	-0.0989495736546685	"IS02"	0.0895336751988372
"ACTR1A"	"ACTR1A"	-0.164223492037008	0.0893669796311178	0.0365111621821562	"IS02"	0.0893669796311178
"MT2A"	"MT2A"	0.0681438760394656	0.0865939433518747	-0.142321773813691	"IS02"	0.0865939433518747
"ABLIM3"	"ABLIM3"	-0.11620007804972	0.0790141405816536	0.00960783965962432	"IS02"	0.0790141405816536
"TMBIM6"	"TMBIM6"	0.00311338202910148	0.0698780146954437	-0.0742871319291559	"IS02"	0.0698780146954437
"PIK3C2A"	"PIK3C2A"	-0.0598333336592836	0.055885731241096	-0.010682380878803	"IS02"	0.055885731241096
"ABI2"	"ABI2"	0.027727454874175	0.0526104630867739	-0.075776935456063	"IS02"	0.0526104630867739
"RMND5A"	"RMND5A"	0.000150049623933158	0.0392247951830626	-0.0404506434123114	"IS02"	0.0392247951830626
"CYLC2"	"CYLC2"	0.110705861232801	-1.23170997967611	1.17996002673203	"IS03"	1.17996002673203
"SPINK1"	"SPINK1"	0.096218651997749	-1.20363503511151	1.16241897776642	"IS03"	1.16241897776642
"UGT2A1"	"UGT2A1"	0.133100942127183	-1.21668823507361	1.1470033978364	"IS03"	1.1470033978364
"OR10J1"	"OR10J1"	0.100843804155152	-1.14645084950732	1.10000238461412	"IS03"	1.10000238461412
"ASB11"	"ASB11"	0.244320871297162	-1.25215988657711	1.09651641950962	"IS03"	1.09651641950962
"SERPINB11"	"SERPINB11"	0.393331371499489	-1.29682205302538	1.0259318430399	"IS03"	1.0259318430399
"PPP1R14D"	"PPP1R14D"	0.0851669792413273	-1.0527307227444	1.01589110505283	"IS03"	1.01589110505283
"GNG13"	"GNG13"	-0.11732993825339	-0.889946091005937	1.00683514964698	"IS03"	1.00683514964698
"SCRT2"	"SCRT2"	0.276482026871663	-1.17465183589499	0.991671629087292	"IS03"	0.991671629087292
"MPP4"	"MPP4"	-0.330239313851232	-0.707071987220672	0.9852633112403	"IS03"	0.9852633112403
"COMTD1"	"COMTD1"	-0.960917391054654	-0.206775442928773	0.963945085843406	"IS03"	0.963945085843406
"FRMPD1"	"FRMPD1"	-0.455046277608199	-0.586942308212879	0.959323238328494	"IS03"	0.959323238328494
"CD320"	"CD320"	-1.19296832851833	-0.0204420410637212	0.953782668652681	"IS03"	0.953782668652681
"HDGFL1"	"HDGFL1"	0.212955399671834	-1.08861147489216	0.952870149729034	"IS03"	0.952870149729034
"C16orf89"	"C16orf89"	-0.322040053832035	-0.673709433245425	0.944547031782626	"IS03"	0.944547031782626
"PAGE4"	"PAGE4"	0.149325144872693	-1.03078186527533	0.943157706889893	"IS03"	0.943157706889893
"PIRT"	"PIRT"	0.130373986214553	-1.01402790087209	0.940747869718837	"IS03"	0.940747869718837
"AGXT"	"AGXT"	0.213887800234541	-1.07386998860748	0.936983027087636	"IS03"	0.936983027087636
"CCDC83"	"CCDC83"	0.0450833398495238	-0.942336632866025	0.933717940825546	"IS03"	0.933717940825546
"C1orf185"	"C1orf185"	0.225124652660499	-1.06881579092896	0.923000077614141	"IS03"	0.923000077614141
"ERVV.1"	"ERVV.1"	-0.0266567143424412	-0.845329843386414	0.890062059812186	"IS03"	0.890062059812186
"EDDM3B"	"EDDM3B"	0.274363247769826	-1.05805135884491	0.873432560766151	"IS03"	0.873432560766151
"CCDC60"	"CCDC60"	0.0586197455059841	-0.891349445257146	0.87070591117314	"IS03"	0.87070591117314
"TACR3"	"TACR3"	0.314884558709558	-1.08512631305444	0.869589709693214	"IS03"	0.869589709693214
"ZNF560"	"ZNF560"	0.25961309435632	-1.03813017943272	0.864481301307651	"IS03"	0.864481301307651
"GOLGA6L2"	"GOLGA6L2"	0.29463716131848	-1.0621665210503	0.861812171237485	"IS03"	0.861812171237485
"HPDL"	"HPDL"	-0.363778591700186	-0.556595057359152	0.856757599157346	"IS03"	0.856757599157346
"HSPB2.C11orf52"	"HSPB2.C11orf52"	-0.497306863648917	-0.433663637827954	0.834755657938441	"IS03"	0.834755657938441
"LRRTM3"	"LRRTM3"	0.23412748384705	-0.988756000819237	0.833638558037341	"IS03"	0.833638558037341
"LRRN4"	"LRRN4"	-0.0534083289124175	-0.759924058800395	0.823159294445115	"IS03"	0.823159294445115
"TMEM91"	"TMEM91"	-0.527823824118882	-0.397248742664605	0.821172371061847	"IS03"	0.821172371061847
"SPANXA1"	"SPANXA1"	0.266795142771115	-1.00022551698921	0.81988989098381	"IS03"	0.81988989098381
"IQCJ.SCHIP1"	"IQCJ.SCHIP1"	-0.60133775215508	-0.339764983089688	0.819543438825795	"IS03"	0.819543438825795
"OR1G1"	"OR1G1"	0.210174658422815	-0.956470456386408	0.819168928387026	"IS03"	0.819168928387026
"NBPF6"	"NBPF6"	0.21657535589998	-0.959294173665841	0.817067843054891	"IS03"	0.817067843054891
"DMBX1"	"DMBX1"	-0.0730598408005743	-0.732380580377131	0.810202617231136	"IS03"	0.810202617231136
"KDM6B"	"KDM6B"	-0.755087795138342	-0.206562720371516	0.802791471856125	"IS03"	0.802791471856125
"MTRNR2L7"	"MTRNR2L7"	-0.403740681908139	-0.469873021365548	0.798830444272894	"IS03"	0.798830444272894
"GCM2"	"GCM2"	0.0998553651540123	-0.852390330279501	0.798404304105386	"IS03"	0.798404304105386
"OR5D18"	"OR5D18"	0.257823217223319	-0.967332091775068	0.793081874525261	"IS03"	0.793081874525261
"HES4"	"HES4"	-1.09484345618239	0.0632669684384647	0.790985696381608	"IS03"	0.790985696381608
"RERGL"	"RERGL"	-0.127404373037017	-0.671808260008523	0.790409593810895	"IS03"	0.790409593810895
"FAM189A1"	"FAM189A1"	-0.498010627255155	-0.387936942687422	0.788286948175191	"IS03"	0.788286948175191
"MYL1"	"MYL1"	0.271144311681799	-0.97228777174641	0.787762054930068	"IS03"	0.787762054930068
"CTNNA2"	"CTNNA2"	-0.00996993785959783	-0.756326572529508	0.785496354615853	"IS03"	0.785496354615853
"IL11"	"IL11"	-0.174823797078814	-0.629858090541027	0.784350367772289	"IS03"	0.784350367772289
"ATP5EP2"	"ATP5EP2"	0.178505496091097	-0.895165743688229	0.780893304356017	"IS03"	0.780893304356017
"STRN4"	"STRN4"	-0.779037741596799	-0.167021446352549	0.780858808374792	"IS03"	0.780858808374792
"POLR2L"	"POLR2L"	-0.467281726813144	-0.403807206021064	0.780579281576284	"IS03"	0.780579281576284
"ANAPC11"	"ANAPC11"	-0.763872139098379	-0.177327376719516	0.779598250472568	"IS03"	0.779598250472568
"PRLHR"	"PRLHR"	0.322452030736324	-0.999028074022892	0.775141373821732	"IS03"	0.775141373821732
"GRXCR2"	"GRXCR2"	0.28841686446942	-0.971980509561317	0.773940975583336	"IS03"	0.773940975583336
"OR1L1"	"OR1L1"	0.174939440127652	-0.885278715111025	0.773515102061456	"IS03"	0.773515102061456
"LILRA5"	"LILRA5"	-0.855366618451919	-0.100997251295535	0.772649044128975	"IS03"	0.772649044128975
