"ID"	"State"	"InitialState"
"1"	"LP16"	"S01"	"IS01"
"2"	"LP18"	"S01"	"IS01"
"3"	"LP23"	"S01"	"IS01"
"4"	"LP24"	"S01"	"IS01"
"5"	"LP38"	"S01"	"IS01"
"6"	"LP42"	"S01"	"IS01"
"7"	"LP45"	"S01"	"IS01"
"8"	"LP46"	"S01"	"IS01"
"9"	"LP53"	"S01"	"IS01"
"10"	"LP59"	"S01"	"IS01"
"11"	"LP70"	"S01"	"IS01"
"12"	"LP71"	"S01"	"IS01"
"13"	"LP82"	"S01"	"IS01"
"14"	"LP83"	"S01"	"IS01"
"15"	"LP84"	"S01"	"IS01"
"16"	"LP89"	"S01"	"IS01"
"17"	"LP94"	"S01"	"IS01"
"18"	"LP95"	"S01"	"IS01"
"19"	"LP96"	"S01"	"IS01"
"20"	"LP98"	"S01"	"IS01"
"21"	"LP99"	"S01"	"IS01"
"22"	"LP101"	"S01"	"IS01"
"23"	"LP102"	"S01"	"IS01"
"24"	"LP104"	"S01"	"IS01"
"25"	"LP107"	"S01"	"IS01"
"26"	"LP108"	"S01"	"IS01"
"27"	"LP15"	"S02"	"IS02"
"28"	"LP17"	"S02"	"IS02"
"29"	"LP19"	"S02"	"IS02"
"30"	"LP20"	"S02"	"IS02"
"31"	"LP21"	"S02"	"IS02"
"32"	"LP22"	"S02"	"IS02"
"33"	"LP25"	"S02"	"IS02"
"34"	"LP26"	"S02"	"IS02"
"35"	"LP30"	"S02"	"IS02"
"36"	"LP31"	"S02"	"IS02"
"37"	"LP32"	"S02"	"IS02"
"38"	"LP33"	"S02"	"IS02"
"39"	"LP34"	"S02"	"IS02"
"40"	"LP35"	"S02"	"IS02"
"41"	"LP41"	"S02"	"IS02"
"42"	"LP44"	"S02"	"IS02"
"43"	"LP47"	"S02"	"IS02"
"44"	"LP49"	"S02"	"IS02"
"45"	"LP50"	"S02"	"IS02"
"46"	"LP51"	"S02"	"IS02"
"47"	"LP52"	"S02"	"IS02"
"48"	"LP55"	"S02"	"IS02"
"49"	"LP58"	"S02"	"IS02"
"50"	"LP62"	"S02"	"IS02"
"51"	"LP67"	"S02"	"IS02"
"52"	"LP69"	"S02"	"IS02"
"53"	"LP72"	"S02"	"IS02"
"54"	"LP79"	"S02"	"IS02"
"55"	"LP80"	"S02"	"IS02"
"56"	"LP85"	"S02"	"IS02"
"57"	"LP90"	"S02"	"IS02"
"58"	"LP91"	"S02"	"IS02"
"59"	"LP92"	"S02"	"IS02"
"60"	"LP93"	"S02"	"IS02"
"61"	"LP97"	"S02"	"IS02"
"62"	"LP100"	"S02"	"IS02"
"63"	"LP103"	"S02"	"IS02"
"64"	"LP105"	"S02"	"IS02"
"65"	"LP106"	"S02"	"IS02"
"66"	"LP109"	"S02"	"IS02"
"67"	"LP113"	"S02"	"IS02"
"68"	"LP119"	"S02"	"IS02"
"69"	"LP120"	"S02"	"IS02"
"70"	"LP01"	"S03"	"IS03"
"71"	"LP02"	"S03"	"IS03"
"72"	"LP03"	"S03"	"IS03"
"73"	"LP04"	"S03"	"IS03"
"74"	"LP05"	"S03"	"IS03"
"75"	"LP06"	"S03"	"IS03"
"76"	"LP07"	"S03"	"IS03"
"77"	"LP08"	"S03"	"IS03"
"78"	"LP10"	"S03"	"IS03"
"79"	"LP11"	"S03"	"IS03"
"80"	"LP12"	"S03"	"IS03"
"81"	"LP13"	"S03"	"IS03"
"82"	"LP14"	"S03"	"IS03"
"83"	"LP27"	"S03"	"IS03"
"84"	"LP28"	"S03"	"IS03"
"85"	"LP29"	"S03"	"IS03"
"86"	"LP37"	"S03"	"IS03"
"87"	"LP39"	"S03"	"IS03"
"88"	"LP40"	"S03"	"IS03"
"89"	"LP43"	"S03"	"IS03"
"90"	"LP48"	"S03"	"IS03"
"91"	"LP54"	"S03"	"IS03"
"92"	"LP56"	"S03"	"IS03"
"93"	"LP60"	"S03"	"IS03"
"94"	"LP61"	"S03"	"IS03"
"95"	"LP63"	"S03"	"IS03"
"96"	"LP64"	"S03"	"IS03"
"97"	"LP65"	"S03"	"IS03"
"98"	"LP68"	"S03"	"IS03"
"99"	"LP81"	"S03"	"IS03"
"100"	"LP87"	"S03"	"IS03"
"101"	"LP110"	"S03"	"IS03"
"102"	"LP111"	"S03"	"IS03"
"103"	"LP112"	"S03"	"IS03"
"104"	"LP114"	"S03"	"IS03"
"105"	"LP115"	"S03"	"IS03"
"106"	"LP116"	"S03"	"IS03"
"107"	"LP117"	"S03"	"IS03"
"108"	"LP118"	"S03"	"IS03"
"109"	"LP121"	"S03"	"IS03"
