"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"BAZ2A__pos"	2.31313418938243	1.97354687551134	2.59531294307592	2.22044604925031e-16	4.01043373375819	2.90173277557248
"CCNA2__pos"	2.22044604925031e-16	6.75347852911122	5.85966652931348	2.22044604925031e-16	3.09052641157977	2.22044604925031e-16
"CNOT3__pos"	0.833852199519528	4.67722233890671	2.22044604925031e-16	10.3777338557497	5.84807845460036e-16	1.87843329477239
"E2F8__pos"	1.20921051207345	7.54164201829814	6.0011911600365	0.713163544557304	2.22044604925031e-16	2.22044604925031e-16
"FANCA__pos"	2.22044604925031e-16	7.34223481578723	4.74347151499928	3.39810345198182	2.22044604925031e-16	2.22044604925031e-16
"FNDC3B__pos"	6.04895303400484	5.68286035346637	2.99524090486283	2.22044604925031e-16	2.22044604925031e-16	1.10139506964348
"HIST1H2BM__pos"	2.22044604925031e-16	5.51565972859644	0.981082683851765	4.25787968449865	3.37300946313368	2.22044604925031e-16
"HIST2H2BF__pos"	0.0403944093376248	6.31209513600647	1.19725993029566	2.68240282834998	2.99985282056738	0.770477008556481
"HMCES__pos"	2.32780824707455	3.40130930617879	2.51362533985538	4.74444459807057	1.51369926753224	0.413966020739855
"IGLL5__pos"	2.38289824562685	7.27756881669582	2.22044604925031e-16	2.03068870177185	2.22044604925031e-16	0.319518456087251
"IRF5__pos"	2.22044604925031e-16	5.75241368983085	2.22044604925031e-16	4.35208359015109	1.85297092794874	2.54375040687985
"LPP__pos"	3.16312524047931	7.23072266576812	3.07881042028449	2.22044604925031e-16	2.22044604925031e-16	1.11388346805358
"MRPL9__pos"	8.65589458811204e-13	5.70517324103031	1.46307909792014	3.51181831375804	3.54391909828802	0.764857404339521
"NUP155__pos"	1.92310811215349	6.95230700353127	4.53452251594895	2.22044604925031e-16	2.22044604925031e-16	1.72505626133792
"PELI1__pos"	0.482566407215022	5.78768559759367	5.7878470226889	2.04687381892088	2.22044604925031e-16	2.22044604925031e-16
"PKP4__pos"	3.74423862013465	6.6539228422472	3.82035688907465	2.22044604925031e-16	2.22044604925031e-16	1.69463435695665
"PRC1__pos"	0.398585353919904	2.67758043324382	6.79320900639468	4.25748403079724	1.29583092606966	2.22044604925031e-16
"PRR27__pos"	2.22044604925031e-16	6.25627230411571	2.22044604925031e-16	4.34767444942451	4.77027667302179	2.1207483805486
"SNTA1__pos"	2.46220436939577	1.6688777431812	2.20268647400794	3.06265865352246	2.33859081460471	0.145503598984636
"STAM__pos"	4.57052470818561	4.49364867742867	4.2603302724208	2.00528316445805	0.437956064642323	2.22044604925031e-16
"AMY1B__pos"	2.22044604925031e-16	8.24552607861801	2.22044604925031e-16	2.22044604925031e-16	5.53652472950221	3.18877378837992
