"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"RRM2"	"RRM2"	-0.546329505839151	1.08351607898503	-0.430156999843941	-0.622336917028503	0.332536275513682	-0.183721901960241	"S01"	1.08351607898503	"IS02"
"S1PR2"	"S1PR2"	-0.145576953048923	1.01274760242023	-0.38451779672685	0.567235004609586	-0.216139283968465	-0.816334729670642	"S01"	1.01274760242023	"IS02"
"CCNB2"	"CCNB2"	-0.200105268512352	1.00945378631917	-0.299444229082539	0.134518635176655	0.260681371145458	-0.939884570435336	"S01"	1.00945378631917	"IS02"
"MZB1"	"MZB1"	0.222265799039373	1.00776886959101	-0.00665139367057304	0.235945146251216	-0.565048236086995	-0.918633767177194	"S01"	1.00776886959101	"IS02"
"KIF2C"	"KIF2C"	-0.865997019716887	0.997563447178797	-0.0736733413511419	0.831786161905074	0.0884292044590841	-0.847138899751536	"S01"	0.997563447178797	"IS02"
"HIST2H2BF"	"HIST2H2BF"	-0.624289322084212	0.984202381267687	-0.393019057565279	0.465127899925333	-0.251176844626482	-0.275335985907737	"S01"	0.984202381267687	"IS02"
"ZSCAN31"	"ZSCAN31"	-0.0731350966176253	0.976150929516809	-0.0585050191020547	0.716849927243276	-0.0199611121512338	-1.35182095699885	"S01"	0.976150929516809	"IS02"
"MND1"	"MND1"	-0.193383856462076	0.969845042471369	-0.335219882172323	0.570959441681827	0.0358371232828087	-0.977737824704443	"S01"	0.969845042471369	"IS02"
"E2F8"	"E2F8"	-0.0911283052299458	0.952242853872827	0.801455419106067	0.0795764820228821	-0.223328005182812	-1.39856860714852	"S01"	0.952242853872827	"IS02"
"E2F2"	"E2F2"	-0.403702932705312	0.916615787993067	0.578525460069551	0.360697267054576	-0.438873017977967	-0.928108306493756	"S01"	0.916615787993067	"IS02"
"C19orf48"	"C19orf48"	-0.37878396300027	0.911495159985663	0.200331025511449	0.412617108874465	-0.525449063314741	-0.613231806619287	"S01"	0.911495159985663	"IS02"
"LPP"	"LPP"	-0.0253103938832242	0.847347695905759	0.552608592592629	-0.610443549933189	-0.552449652199392	-0.434175599133873	"S01"	0.847347695905759	"IS02"
"ATP10D"	"ATP10D"	0.32747038889914	0.842258800560951	0.520165379776817	-0.496253029166476	-0.701562733351156	-0.658214521563891	"S01"	0.842258800560951	"IS02"
"CCNA2"	"CCNA2"	-0.321248714100859	0.840199009873257	0.465847268023743	-0.30244963830632	-0.00536462438536502	-0.753940209773473	"S01"	0.840199009873257	"IS02"
"HIST1H2BM"	"HIST1H2BM"	-0.464094466480163	0.833927056657937	-0.403278937330623	0.529113799935055	0.587769903040102	-0.976409651985681	"S01"	0.833927056657937	"IS02"
"MYBL1"	"MYBL1"	0.0542589406882726	0.825601111689119	-0.298810136002429	-0.62582112731412	-0.618275094324013	0.245935921114904	"S01"	0.825601111689119	"IS02"
"SPSB4"	"SPSB4"	0.00756815385671829	0.81858299337388	-0.66126020911253	0.417393758423329	0.64724975660218	-1.13939636133204	"S01"	0.81858299337388	"IS02"
"IGLL5"	"IGLL5"	0.13696946336086	0.809635399107	-0.408644440623378	0.375064686881018	0.0573647547324137	-0.927665140229966	"S01"	0.809635399107	"IS02"
"DEPDC1B"	"DEPDC1B"	-0.224359663417955	0.778288629142304	0.567221971691935	0.207661908694133	-0.280901871522657	-0.959149220810506	"S01"	0.778288629142304	"IS02"
"KIFC1"	"KIFC1"	-0.707431633547896	0.766707319953814	0.0350327631087205	0.652526674914204	-0.34515082534798	-0.357596768062515	"S01"	0.766707319953814	"IS02"
"TNFRSF17"	"TNFRSF17"	0.529330945130111	0.760448060482634	-0.253411288229174	-0.0976959940704082	0.13125296540298	-1.08541765525766	"S01"	0.760448060482634	"IS02"
"CCL23"	"CCL23"	-0.0122719344337238	0.751803161301929	-0.889929253073011	0.49187861509051	0.281277065174018	-0.625147511726884	"S01"	0.751803161301929	"IS02"
"PDIA4"	"PDIA4"	-0.417782518836907	0.744905273643427	-0.656830030015495	0.295550123250889	0.401934989414352	-0.422781952983252	"S01"	0.744905273643427	"IS02"
"ESPL1"	"ESPL1"	-0.403655650981873	0.740372339556861	0.337729699819935	0.621682847302438	-0.512846902642092	-0.668536030495526	"S01"	0.740372339556861	"IS02"
"TK1"	"TK1"	-0.153586522237293	0.735588789826846	0.104085317516729	0.624987175835141	0.457624921418459	-1.49112237610159	"S01"	0.735588789826846	"IS02"
"SHCBP1"	"SHCBP1"	-0.631250490696325	0.709097561539685	-0.0325252161161931	-0.765565014553181	0.532951983638205	-0.103615943381297	"S01"	0.709097561539685	"IS02"
"MAST2"	"MAST2"	-0.299007035004264	0.704836385105407	0.104578283162655	0.521049798433681	-0.270970895348813	-0.672140543295315	"S01"	0.704836385105407	"IS02"
"NDC80"	"NDC80"	-0.165477000090431	0.696760391340216	0.384686692996946	0.209029720335224	0.360554493235287	-1.30842781896584	"S01"	0.696760391340216	"IS02"
"RGS13"	"RGS13"	-0.221970104729655	0.694296473753963	0.27872341671747	-0.232884169450288	0.0587588106807334	-0.640402912248937	"S01"	0.694296473753963	"IS02"
"TXNDC5"	"TXNDC5"	0.376147551371617	0.676149649485545	0.143384332623997	-0.0736364204215591	-1.01394177414691	-0.255593727963297	"S01"	0.676149649485545	"IS02"
"MTERF3"	"MTERF3"	0.573037861721277	0.594391508428885	-0.423988399670775	0.566402761361421	0.36977830561927	-1.44652643606545	"S01"	0.594391508428885	"IS02"
"XBP1"	"XBP1"	-0.376024145089057	0.59349188885563	-0.075687544538162	0.109860949805108	0.000573755432461645	-0.304796321358893	"S01"	0.59349188885563	"IS02"
"KMO"	"KMO"	0.576479604341909	0.592762834445215	0.0694941960381591	-1.02386250949536	-0.328089464119679	-0.224270380572663	"S01"	0.592762834445215	"IS02"
"JCHAIN"	"JCHAIN"	0.445241287287587	0.585110111506991	0.0887795169304397	-0.179200160364386	0.109724306817022	-1.02754648174371	"S01"	0.585110111506991	"IS02"
"NAGLU"	"NAGLU"	0.29711017623039	0.510720243188991	0.324434008050512	0.229471600823572	-0.04780490203859	-1.14484984572196	"S01"	0.510720243188991	"IS02"
"STAM"	"STAM"	0.11290013208697	0.500516149064256	0.357856177190782	0.0490761245526438	-0.118341630863782	-0.827378288212217	"S01"	0.500516149064256	"IS02"
"PKP4"	"PKP4"	0.293490058237641	0.491831697536538	0.293662064994265	-0.453991617080014	-0.437675209887936	-0.334087460528426	"S01"	0.491831697536538	"IS02"
"AMY1B"	"AMY1B"	-0.684677497393291	0.484763072729346	-0.604966786938743	-0.226061276492662	0.330231219325681	0.432849429401197	"S01"	0.484763072729346	"IS02"
"TMEM89"	"TMEM89"	-0.77992036486337	0.478934503911706	-0.612712630491857	0.0499136369751671	0.301958963392727	0.369559804278733	"S01"	0.478934503911706	"IS02"
"SLC4A8"	"SLC4A8"	-0.224469463324624	0.469477587850402	0.41105294802119	0.109407449690562	-0.116120840108596	-0.58909089748269	"S01"	0.469477587850402	"IS02"
"DLC1"	"DLC1"	0.0759545281058889	0.465629741395595	-0.3408785419498	0.352387038536773	-0.550348910049034	-0.061251412682254	"S01"	0.465629741395595	"IS02"
"AQP5"	"AQP5"	0.395609604493486	0.432953104740054	-0.767774646845676	0.211129359853521	0.0327535036934376	-0.353530313324724	"S01"	0.432953104740054	"IS02"
"BPIFB2"	"BPIFB2"	0.228813193537001	0.429927791603882	-0.583538098204828	0.229203755538525	-0.0989015411236064	-0.255095490737754	"S01"	0.429927791603882	"IS02"
"CBX4"	"CBX4"	-0.200885703347178	0.283632919975706	0.0539384666091985	1.34742088881984	0.112243364232272	-1.13341978205339	"S02"	1.34742088881984	"IS04"
"CNOT3"	"CNOT3"	-0.627057278936623	0.554850380868286	-0.364179852662751	1.12206396715745	-0.351594891962556	-0.197970757408658	"S02"	1.12206396715745	"IS04"
"RAD51"	"RAD51"	-0.477487851654253	0.605353277008309	0.567843777022065	0.913103126232721	0.193631673073207	-1.41202082515493	"S02"	0.913103126232721	"IS04"
"PPP1R1B"	"PPP1R1B"	0.153659161927918	0.447619592022702	-0.865713958040345	0.886264038109853	-0.0760457410163131	-0.43679460360835	"S02"	0.886264038109853	"IS04"
"PRB1"	"PRB1"	-0.808833510437218	0.638082887465231	-0.742764993914677	0.743666266512687	0.181974597169975	-0.023368924214576	"S02"	0.743666266512687	"IS04"
"HDLBP"	"HDLBP"	-0.113737181393557	0.149630185703321	0.457519121989673	0.727832632689041	-0.874544227568351	-0.172938041482851	"S02"	0.727832632689041	"IS04"
"IRF5"	"IRF5"	-0.902435348596345	0.636361388105687	-0.461146000383698	0.693291506948168	-0.229600351809734	0.208734939110668	"S02"	0.693291506948168	"IS04"
"PRR27"	"PRR27"	-0.914114969926709	0.542941806531791	-0.77443451302784	0.550992441889088	0.335013248105289	0.19025114696512	"S02"	0.550992441889088	"IS04"
"MRPL9"	"MRPL9"	-0.286979010497045	0.32401019137913	-0.576392862432109	0.433782514971633	0.0269897781456067	0.0539600043055864	"S02"	0.433782514971633	"IS04"
"HMCES"	"HMCES"	0.105556196240618	0.319014236593045	0.344112999781183	0.415771097731233	-0.142418132459737	-0.842263178630682	"S02"	0.415771097731233	"IS04"
"SNTA1"	"SNTA1"	0.146663019033865	-0.396836063869544	0.271543999566523	0.394362830355367	0.18221000593836	-0.332544944498219	"S02"	0.394362830355367	"IS04"
