"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"FNDC3B"	"FNDC3B"	0.719231631158514	0.135102268683128	0.0580438109601544	-0.447552093438701	-0.457096280285142	-0.134931711088883	"IS01"	0.719231631158514
"MUC3A"	"MUC3A"	0.704975282546018	0.506495950648825	-0.262828221962332	-0.0752760662612694	-0.579254734043168	-0.400005838127599	"IS01"	0.704975282546018
"SYCP2"	"SYCP2"	0.686333167271987	0.339356965443085	0.54547099286016	-0.434391735069301	0.32076165284176	-1.34099946849105	"IS01"	0.686333167271987
"ARHGAP42"	"ARHGAP42"	0.667199573647448	0.609158889752904	0.171511536096181	-0.527500284050642	-0.541349746445253	-0.547548063396712	"IS01"	0.667199573647448
"PMEPA1"	"PMEPA1"	0.651269264632852	0.396098646001018	-0.0359753053627864	0.227118004627193	-0.457673997488883	-0.712838067179164	"IS01"	0.651269264632852
"ID4"	"ID4"	0.644010903326546	0.633325227353188	-0.472574999635858	-0.542140731830595	-0.162909707867643	-0.351636961058388	"IS01"	0.644010903326546
"RRM2"	"RRM2"	-0.546329505839151	1.08351607898503	-0.430156999843941	-0.622336917028503	0.332536275513682	-0.183721901960241	"IS02"	1.08351607898503
"S1PR2"	"S1PR2"	-0.145576953048923	1.01274760242023	-0.38451779672685	0.567235004609586	-0.216139283968465	-0.816334729670642	"IS02"	1.01274760242023
"CCNB2"	"CCNB2"	-0.200105268512352	1.00945378631917	-0.299444229082539	0.134518635176655	0.260681371145458	-0.939884570435336	"IS02"	1.00945378631917
"MZB1"	"MZB1"	0.222265799039373	1.00776886959101	-0.00665139367057304	0.235945146251216	-0.565048236086995	-0.918633767177194	"IS02"	1.00776886959101
"KIF2C"	"KIF2C"	-0.865997019716887	0.997563447178797	-0.0736733413511419	0.831786161905074	0.0884292044590841	-0.847138899751536	"IS02"	0.997563447178797
"HIST2H2BF"	"HIST2H2BF"	-0.624289322084212	0.984202381267687	-0.393019057565279	0.465127899925333	-0.251176844626482	-0.275335985907737	"IS02"	0.984202381267687
