"ID"	"State"	"InitialState"
"19"	"LP05"	"S01"	"IS02"
"20"	"LP08"	"S01"	"IS02"
"21"	"LP10"	"S01"	"IS02"
"22"	"LP11"	"S01"	"IS02"
"23"	"LP15"	"S01"	"IS02"
"24"	"LP29"	"S01"	"IS02"
"25"	"LP39"	"S01"	"IS02"
"26"	"LP43"	"S01"	"IS02"
"27"	"LP48"	"S01"	"IS02"
"28"	"LP60"	"S01"	"IS02"
"29"	"LP64"	"S01"	"IS02"
"30"	"LP67"	"S01"	"IS02"
"31"	"LP68"	"S01"	"IS02"
"32"	"LP69"	"S01"	"IS02"
"33"	"LP92"	"S01"	"IS02"
"34"	"LP100"	"S01"	"IS02"
"35"	"LP110"	"S01"	"IS02"
"36"	"LP111"	"S01"	"IS02"
"37"	"LP113"	"S01"	"IS02"
"38"	"LP116"	"S01"	"IS02"
"39"	"LP117"	"S01"	"IS02"
"40"	"LP118"	"S01"	"IS02"
"41"	"LP120"	"S01"	"IS02"
"58"	"LP01"	"S02"	"IS04"
"59"	"LP02"	"S02"	"IS04"
"60"	"LP03"	"S02"	"IS04"
"61"	"LP04"	"S02"	"IS04"
"62"	"LP06"	"S02"	"IS04"
"63"	"LP07"	"S02"	"IS04"
"64"	"LP12"	"S02"	"IS04"
"65"	"LP37"	"S02"	"IS04"
"66"	"LP54"	"S02"	"IS04"
"67"	"LP61"	"S02"	"IS04"
"68"	"LP62"	"S02"	"IS04"
"69"	"LP63"	"S02"	"IS04"
"70"	"LP65"	"S02"	"IS04"
