"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"XPO1"	"XPO1"	1.33206844305479	-0.845696567212545	-0.06132238881339	-0.612871110250695	-1.06299759289724	0.31966602768781	"IS01"	1.33206844305479
"SERINC1"	"SERINC1"	1.25212847520437	-1.56269115234907	0.546682050773993	-0.157315119762308	-0.995918318484006	-0.0146484099356291	"IS01"	1.25212847520437
"N4BP2L2"	"N4BP2L2"	1.23852194195118	-1.24836600903693	0.193733843061898	-0.579714205335457	-1.34936757187195	0.641830193323556	"IS01"	1.23852194195118
"CEP135"	"CEP135"	1.23079613586838	-1.21403740473457	-0.218165619701198	-0.52853761590381	-0.718738301675453	0.486637912764325	"IS01"	1.23079613586838
"TMEM65"	"TMEM65"	1.19761346838775	-1.1989795730039	0.884163169981246	-0.789637687959647	-1.16473405162601	0.278534130280661	"IS01"	1.19761346838775
"SEC22B"	"SEC22B"	1.19523658676458	-0.940869311651355	0.911542431006071	-0.824678734541677	-1.58567677691203	0.380316978373855	"IS01"	1.19523658676458
"FNDC3A"	"FNDC3A"	1.16388078838392	-0.763198848630023	-0.454796153620554	-0.287262374971677	-0.773992258463455	0.24139745392934	"IS01"	1.16388078838392
"RYK"	"RYK"	1.15783303898372	-1.25644126637946	-0.118034905885427	-0.348970552405657	-0.680877894254433	0.33562228356932	"IS01"	1.15783303898372
"ADSS"	"ADSS"	1.15590833915866	-0.808354300833331	-0.101268243362895	-0.6358387659177	-1.08180006868422	0.547678490683829	"IS01"	1.15590833915866
"MTX3"	"MTX3"	1.14455572915385	-1.27999932622009	0.860204155976212	-0.540248554541853	-1.36928106000829	0.291020652580025	"IS01"	1.14455572915385
"CHM"	"CHM"	1.13251921968039	-1.17645731283564	-0.578334241107436	-0.153127880561247	-0.560838733153083	0.368667037254224	"IS01"	1.13251921968039
"DCAF17"	"DCAF17"	1.12986183704115	-0.905740781205225	0.353794620507099	-0.509223711476143	-0.94957350094275	0.135452365642138	"IS01"	1.12986183704115
"TVP23B"	"TVP23B"	1.12968281067744	-0.797552488813545	0.676335706179029	-0.614759510869924	-1.2815217680282	0.144454209025142	"IS01"	1.12968281067744
"MED21"	"MED21"	1.12841048209739	-1.50466355130779	0.168570141460837	-0.0234590983365551	-0.230605644126566	-0.237467448426534	"IS01"	1.12841048209739
"CD46"	"CD46"	1.12617941004035	-0.871399605779261	0.31121240091004	-0.355851624307332	-1.38380293874968	0.258675161961405	"IS01"	1.12617941004035
"ZZZ3"	"ZZZ3"	1.12191929138671	-0.85620231907945	0.0425908429654463	-0.867432834890039	-0.912125570914959	0.634743622687761	"IS01"	1.12191929138671
"C7orf73"	"C7orf73"	1.1166128532968	-1.00122104216843	0.871441450272937	-0.525615865039886	-1.00166835145618	-0.0919432386059578	"IS01"	1.1166128532968
"FAM199X"	"FAM199X"	1.11642770074142	-1.32956828388079	1.00386915967485	-0.361099323261699	-1.18272059766297	-0.0207772584514638	"IS01"	1.11642770074142
"HAUS6"	"HAUS6"	1.10998360668721	-0.659567176765501	-0.264991143435576	-0.920912729960567	-0.331157886347362	0.43859855349703	"IS01"	1.10998360668721
"S100PBP"	"S100PBP"	1.10412236782226	-0.561100199099495	-0.170708941556245	-0.705147373911675	-0.89819622332563	0.451573620791382	"IS01"	1.10412236782226
"MED14"	"MED14"	1.0985270848764	-1.29895699590718	-0.106606908479784	0.0152826997183547	-1.03240033518145	0.286013969200555	"IS01"	1.0985270848764
"BRWD3"	"BRWD3"	1.09800414277608	-0.986026118432525	0.218790288908375	-0.474000165706381	-1.1146868444895	0.375897049876663	"IS01"	1.09800414277608
"DENND4C"	"DENND4C"	1.09735347727412	-0.623348792604344	-0.184694738855991	-0.559868698757576	-1.1320063986197	0.50949812699113	"IS01"	1.09735347727412
"REXO2"	"REXO2"	1.09710681950972	-0.510839557801902	-0.396476232680498	-0.381813176988315	-0.49843665824243	0.0419897180831472	"IS01"	1.09710681950972
"ZMAT1"	"ZMAT1"	1.09278864498381	-1.27846245213151	0.507529084453247	-0.654565664671769	-0.726207031133185	0.31203836937043	"IS01"	1.09278864498381
"MARCH7"	"MARCH7"	1.08793946160199	-1.39650147411753	-0.0513365447823072	0.0644376513035675	-1.01528681745151	0.265951042480599	"IS01"	1.08793946160199
"ORMDL1"	"ORMDL1"	1.08585573606116	-0.96930135051323	-0.011181466467538	-0.739915567945922	-1.12915314571291	0.790182501818123	"IS01"	1.08585573606116
"ZCCHC8"	"ZCCHC8"	1.0833150803585	-0.647038004310901	0.0767472842866759	-0.735218364509279	-1.12787678296479	0.525362846738751	"IS01"	1.0833150803585
"PPA2"	"PPA2"	1.08102371795023	-0.654690860120904	-0.857108438980323	-0.0333776824258248	-0.32259949511405	0.0310146629796748	"IS01"	1.08102371795023
"SECISBP2"	"SECISBP2"	1.07676470271091	-0.749577049832494	-0.106740275316974	-0.645166874631489	-0.636415681476429	0.347236973442847	"IS01"	1.07676470271091
"TIMM10B"	"TIMM10B"	1.06657558442261	-0.751963639458407	0.541487513059617	-0.43241076106314	-1.24610268199667	0.0840044119209413	"IS01"	1.06657558442261
"RBL2"	"RBL2"	1.06028003952411	-1.16476232333169	0.0434883632169011	-0.65850398175192	-0.666842227304581	0.55653146714182	"IS01"	1.06028003952411
"RAB3GAP1"	"RAB3GAP1"	1.05879198703158	-1.43443539442719	0.282980950838109	-0.233537247698855	-0.556371254774324	0.105222737068294	"IS01"	1.05879198703158
"PGRMC2"	"PGRMC2"	1.05628331288224	-1.28417649129996	0.641717103061673	-0.306257107960578	-1.02554030345855	0.115976326394003	"IS01"	1.05628331288224
"TP53INP1"	"TP53INP1"	1.05555637487733	-1.06537753832853	0.820549968500273	-0.539987850154577	-1.32622319262951	0.253786853412425	"IS01"	1.05555637487733
"CDC16"	"CDC16"	1.04972277559818	-1.07616863552228	-0.87516890176113	-0.23211110828866	-0.676060141274928	0.736909342413899	"IS01"	1.04972277559818
"TMEM33"	"TMEM33"	1.04641616457719	-0.718742998494885	0.731848291330299	-0.706788218125527	-0.507668066493648	-0.221164202229866	"IS01"	1.04641616457719
"TLK2"	"TLK2"	1.04632831515967	-0.921508110886303	-0.662214507611414	-0.661795485813234	0.731304696674412	0.0730891325826879	"IS01"	1.04632831515967
"GABPA"	"GABPA"	1.04533147390467	-1.40517664524987	0.778017850360228	-0.143461815937725	-0.917480505960365	-0.103065653995334	"IS01"	1.04533147390467
"SLC5A3"	"SLC5A3"	1.03820860104738	-1.30639714533429	0.533758364075068	-0.514354525551448	-1.41415410895114	0.645416278127057	"IS01"	1.03820860104738
"TAS2R31"	"TAS2R31"	1.03423095311718	-1.26185655347139	-0.349021433345696	-0.301095836289779	-1.04300880904534	0.797579599316226	"IS01"	1.03423095311718
"FAS"	"FAS"	1.03396386708415	-0.956285371029743	0.322513615330478	-0.255308005959002	-1.1089021745825	0.149534042322678	"IS01"	1.03396386708415
"NHLRC3"	"NHLRC3"	1.03298257217905	-0.979486765031912	-0.271641084615942	-0.419617897878221	-1.01586883057134	0.663514119616092	"IS01"	1.03298257217905
"EIF4EBP2"	"EIF4EBP2"	1.02513966976576	-1.17631810437229	0.771133631143381	-0.188997739544689	-1.09715117748256	-0.0725289935542479	"IS01"	1.02513966976576
"MARK3"	"MARK3"	1.02299374886761	-0.946681758305663	0.0326292523065276	-1.16460909174542	-0.404247366488104	0.785228996399985	"IS01"	1.02299374886761
"AP3S1"	"AP3S1"	1.02116518231078	-0.898012746131891	0.349737256488218	0.167677362409179	-1.08822666810164	-0.298926709527423	"IS01"	1.02116518231078
"C2CD2"	"C2CD2"	1.02021606226149	-0.721864072865805	-0.588078363384711	-0.532548293133807	-0.838988668505025	0.729088159620332	"IS01"	1.02021606226149
"TATDN3"	"TATDN3"	1.02013735401455	-0.901999846640475	-0.258204793936831	-0.553838739936085	-0.170911663775337	0.247768929533002	"IS01"	1.02013735401455
"FAM91A1"	"FAM91A1"	1.01664140494752	-1.01315290254068	0.32627140590071	-0.82554017303356	-0.694696404399608	0.49079198945058	"IS01"	1.01664140494752
"EPG5"	"EPG5"	1.01547096290341	-0.427109548828373	-0.0305882446519939	-0.53881511925252	-1.12742755423233	0.349031727949693	"IS01"	1.01547096290341
"LAMTOR3"	"LAMTOR3"	1.01492726849029	-1.0975283259488	0.658955531698767	0.153030295219911	-1.13506488404519	-0.332908499653741	"IS01"	1.01492726849029
"PIBF1"	"PIBF1"	1.01221493459133	-0.991980828768365	-1.27472498172608	0.00341676388438508	0.0464190861320263	0.348165053202473	"IS01"	1.01221493459133
