"ID"	"State"	"InitialState"
"1"	"LP25"	"S01"	"IS01"
"2"	"LP26"	"S01"	"IS01"
"3"	"LP27"	"S01"	"IS01"
"4"	"LP31"	"S01"	"IS01"
"5"	"LP37"	"S01"	"IS01"
"6"	"LP39"	"S01"	"IS01"
"7"	"LP41"	"S01"	"IS01"
"8"	"LP49"	"S01"	"IS01"
"9"	"LP50"	"S01"	"IS01"
"10"	"LP51"	"S01"	"IS01"
"11"	"LP52"	"S01"	"IS01"
"12"	"LP55"	"S01"	"IS01"
"13"	"LP58"	"S01"	"IS01"
"14"	"LP61"	"S01"	"IS01"
"15"	"LP80"	"S01"	"IS01"
"16"	"LP91"	"S01"	"IS01"
"17"	"LP93"	"S01"	"IS01"
"18"	"LP97"	"S01"	"IS01"
"19"	"LP103"	"S01"	"IS01"
"20"	"LP109"	"S01"	"IS01"
"21"	"LP110"	"S01"	"IS01"
"22"	"LP111"	"S01"	"IS01"
"23"	"LP113"	"S01"	"IS01"
"24"	"LP119"	"S01"	"IS01"
"50"	"LP01"	"S02"	"IS03"
"51"	"LP02"	"S02"	"IS03"
"52"	"LP03"	"S02"	"IS03"
"53"	"LP04"	"S02"	"IS03"
"54"	"LP05"	"S02"	"IS03"
"55"	"LP06"	"S02"	"IS03"
"56"	"LP07"	"S02"	"IS03"
"57"	"LP08"	"S02"	"IS03"
"58"	"LP10"	"S02"	"IS03"
"59"	"LP11"	"S02"	"IS03"
"60"	"LP12"	"S02"	"IS03"
"61"	"LP13"	"S02"	"IS03"
"62"	"LP14"	"S02"	"IS03"
"63"	"LP15"	"S02"	"IS03"
"64"	"LP19"	"S02"	"IS03"
"65"	"LP21"	"S02"	"IS03"
"66"	"LP22"	"S02"	"IS03"
"67"	"LP30"	"S02"	"IS03"
"68"	"LP47"	"S02"	"IS03"
"69"	"LP54"	"S02"	"IS03"
"70"	"LP60"	"S02"	"IS03"
"71"	"LP62"	"S02"	"IS03"
"72"	"LP63"	"S02"	"IS03"
"73"	"LP64"	"S02"	"IS03"
"74"	"LP65"	"S02"	"IS03"
"75"	"LP68"	"S02"	"IS03"
"76"	"LP69"	"S02"	"IS03"
"77"	"LP112"	"S02"	"IS03"
"78"	"LP115"	"S02"	"IS03"
"79"	"LP116"	"S02"	"IS03"
"80"	"LP117"	"S02"	"IS03"
"81"	"LP118"	"S02"	"IS03"
"82"	"LP120"	"S02"	"IS03"
