"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"GPR89B"	"GPR89B"	1.27715805755489	-1.03068261955054	-1.15361455932957	0.0726972155910228	-0.32052906037417	0.438507458800927	"IS01"	1.27715805755489
"BTF3L4"	"BTF3L4"	1.24235320978786	-0.813041595545031	-0.657399569934364	0.981254154773251	-1.2379744209868	0.0278765294507541	"IS01"	1.24235320978786
"PI4K2B"	"PI4K2B"	1.20829135779502	-0.981813140602836	-0.378862326894814	0.340382598806178	-0.961558099988897	0.130805798197731	"IS01"	1.20829135779502
"LYSMD3"	"LYSMD3"	1.1966465373919	0.196751516632925	-0.11454853657502	-0.230120745712856	-0.993729281328823	-0.264278100301311	"IS01"	1.1966465373919
"FRA10AC1"	"FRA10AC1"	1.19449247721138	-0.743224008573918	-0.73413325974355	0.615800346976772	-0.913850459410693	0.105740493964524	"IS01"	1.19449247721138
"DNAJC24"	"DNAJC24"	1.17845081389315	-0.34570221792748	-0.844258592821612	0.368500059777674	-1.07612023159549	0.259267536994985	"IS01"	1.17845081389315
"HERC4"	"HERC4"	1.1773801308559	-1.1553331435566	-1.01517137323076	0.416739539889017	-0.318375623720265	0.274485294494531	"IS01"	1.1773801308559
"MZT1"	"MZT1"	1.1689891836091	-1.27355482386502	-0.366365538213105	0.914931488525979	-1.08067398201294	0.0303453738720315	"IS01"	1.1689891836091
"GXYLT1"	"GXYLT1"	1.16642642544256	-0.717811142855864	-1.0763351698903	0.178218413630243	-0.560945942699929	0.412564666354781	"IS01"	1.16642642544256
"TULP3"	"TULP3"	1.15579250089865	-1.02220991197323	-0.35369840696334	0.775415823049163	-0.739041382847333	-0.218110661616495	"IS01"	1.15579250089865
"GPATCH2L"	"GPATCH2L"	1.14733941995068	-0.904382477238349	-1.20700130748885	0.260996973108978	-0.128387695927699	0.298408101193293	"IS01"	1.14733941995068
"CEP135"	"CEP135"	1.13018564217954	-0.827053544895783	-0.754880805576704	-0.151727504435588	-0.586741167299385	0.462229808903726	"IS01"	1.13018564217954
"PICALM"	"PICALM"	1.10662643454873	-1.24338841260946	-0.521121522416208	0.787419010900171	-0.138450169335548	-0.325681229865808	"IS01"	1.10662643454873
"SMAP1"	"SMAP1"	1.10633429628666	-0.793833977978327	-0.529381298184961	-0.177620336622547	-0.860424680916059	0.481880534772437	"IS01"	1.10633429628666
"COPS7B"	"COPS7B"	1.08853612302007	-0.206052858699008	-0.511044108454429	-0.399441897487412	-0.475144470566126	0.0942520700311636	"IS01"	1.08853612302007
"CLIP4"	"CLIP4"	1.08554876581448	-0.565762163955978	-1.02823570074307	-0.444118021291992	0.0942684351950739	0.329891004382525	"IS01"	1.08554876581448
"GIT2"	"GIT2"	1.0806332824531	-0.404119239896089	-0.493403132709745	-0.964549607633915	-0.71898094109684	0.664745105831595	"IS01"	1.0806332824531
"VPS45"	"VPS45"	1.07426683075814	-0.890010014537577	-0.722501094916738	0.0662472178583176	-0.584118045861309	0.38547557267237	"IS01"	1.07426683075814
"PIGK"	"PIGK"	1.05158394644215	-0.7020580503241	0.120261015342209	0.519490601372116	-0.995218753459012	-0.3303454536701	"IS01"	1.05158394644215
"FPGT"	"FPGT"	1.0452898020863	-1.43682703500181	-0.68494356819199	0.330099735246392	-0.611447126442486	0.50378137766899	"IS01"	1.0452898020863
"GPR52"	"GPR52"	1.03791151531599	-0.762757179454802	-0.259639224099062	0.79051708473617	-1.60866566765461	0.218916905220797	"IS01"	1.03791151531599
"LUC7L"	"LUC7L"	1.03097969767181	-0.438593310098674	-0.839738936304239	-0.266090028776885	-1.01222034176376	0.756874977152965	"IS01"	1.03097969767181
"COX20"	"COX20"	1.02706016846468	0.416969877669026	-0.939997164361842	0.446407355218798	-0.344532340209799	-0.403801905756188	"IS01"	1.02706016846468
"TAS2R50"	"TAS2R50"	1.02641241813381	-0.905666414866228	-0.142205070713347	0.208064978273461	-1.11469103423079	0.242466329364731	"IS01"	1.02641241813381
"SLC35F5"	"SLC35F5"	1.0207455480046	-0.767374720682309	-1.19663283768682	0.645125304253606	-0.0782209853789141	0.0758554044030708	"IS01"	1.0207455480046
"CNOT2"	"CNOT2"	1.00569080467217	-0.717083051499552	-0.754439388611733	0.685458723116596	-0.879722137818177	0.205891885572575	"IS01"	1.00569080467217
"CASD1"	"CASD1"	1.00205420217865	-1.18349463271666	-0.668098206369351	0.361341685840979	-0.575441207451207	0.366451086564334	"IS01"	1.00205420217865
"CRLS1"	"CRLS1"	0.988262193591663	-0.00123360101502312	-0.919534580552598	0.654300012515884	-0.694219542513181	-0.0922263428561928	"IS01"	0.988262193591663
"TMSB15B"	"TMSB15B"	0.982990550495532	0.104801511306696	-0.46618482255186	-0.255503701431228	-1.41308220476201	0.500450588776272	"IS01"	0.982990550495532
"ENY2"	"ENY2"	0.980655805556844	0.126564163987535	-0.826026193612169	0.414081261578387	-0.384177134320203	-0.268935144640794	"IS01"	0.980655805556844
"TCTE3"	"TCTE3"	0.976005349722692	-0.929966830136422	-0.792224414486457	0.445603978859658	-0.80792346955681	0.456636927901865	"IS01"	0.976005349722692
"BCO2"	"BCO2"	0.975392842939625	-0.148956511220756	-0.497967439154195	-0.131111529305543	-1.04634128001416	0.35049253856241	"IS01"	0.975392842939625
"CLOCK"	"CLOCK"	0.973946915454859	0.0529467091997738	-0.167011011267774	0.218858965968085	-0.918195151390821	-0.278681384791251	"IS01"	0.973946915454859
"TMEM183A"	"TMEM183A"	0.971862236810281	-0.954467675885289	-0.604399927278207	-0.0995315470272123	-0.519632997661678	0.470615164569821	"IS01"	0.971862236810281
"GOLT1B"	"GOLT1B"	0.968775457434411	-1.25539956613949	-0.527926667144542	0.923872495970765	-0.176982406806831	-0.254570598967115	"IS01"	0.968775457434411
"THAP1"	"THAP1"	0.968445046176153	-0.811606454007999	-0.184570246845755	0.645677007480378	-0.969357559781822	-0.0683567899077725	"IS01"	0.968445046176153
"LTA4H"	"LTA4H"	0.968073474982846	-1.30088602142748	0.0560952179120634	0.174617776706648	-1.08573816249469	0.331652929210626	"IS01"	0.968073474982846
"NPIPA7"	"NPIPA7"	0.962120652023204	-0.335953558572717	-0.352511272405901	-0.256018688456234	-1.15376096825999	0.480935231427004	"IS01"	0.962120652023204
"MED31"	"MED31"	0.961101658677725	0.0401411647178963	-0.197139790171926	0.187879141875899	-1.59101117415779	0.197413927595447	"IS01"	0.961101658677725
"NABP1"	"NABP1"	0.959794834272438	-0.755928061762914	-0.536335050532433	0.240263367748391	-0.853987972262137	0.34371641797958	"IS01"	0.959794834272438
"MTBP"	"MTBP"	0.954580537151149	-0.212742450607104	-0.372799505482685	-0.27947871715251	-1.36581001406861	0.58961868680429	"IS01"	0.954580537151149
"PPP1R12B"	"PPP1R12B"	0.953452596704918	-0.275550125165988	-0.703248573992067	-0.738760926194038	-0.756641697493246	0.760188118018388	"IS01"	0.953452596704918
"UNC50"	"UNC50"	0.949109992386033	0.454764878592101	-0.203054663793378	-0.00725688911740597	-1.57060507895312	0.116664565426618	"IS01"	0.949109992386033
"GPATCH2"	"GPATCH2"	0.946042488134595	-0.560489783006774	-0.240998929610272	-0.162243009349668	-0.525120276404117	0.0713375774206857	"IS01"	0.946042488134595
