"ID"	"State"	"InitialState"
"1"	"LP27"	"S01"	"IS01"
"2"	"LP28"	"S01"	"IS01"
"3"	"LP29"	"S01"	"IS01"
"4"	"LP30"	"S01"	"IS01"
"5"	"LP32"	"S01"	"IS01"
"6"	"LP33"	"S01"	"IS01"
"7"	"LP42"	"S01"	"IS01"
"8"	"LP44"	"S01"	"IS01"
"9"	"LP48"	"S01"	"IS01"
"10"	"LP49"	"S01"	"IS01"
"11"	"LP79"	"S01"	"IS01"
"12"	"LP90"	"S01"	"IS01"
"13"	"LP91"	"S01"	"IS01"
"14"	"LP92"	"S01"	"IS01"
"15"	"LP95"	"S01"	"IS01"
"16"	"LP97"	"S01"	"IS01"
"17"	"LP103"	"S01"	"IS01"
"18"	"LP104"	"S01"	"IS01"
"19"	"LP106"	"S01"	"IS01"
"20"	"LP108"	"S01"	"IS01"
"21"	"LP109"	"S01"	"IS01"
"22"	"LP114"	"S01"	"IS01"
"23"	"LP01"	"S02"	"IS02"
"24"	"LP02"	"S02"	"IS02"
"25"	"LP03"	"S02"	"IS02"
"26"	"LP04"	"S02"	"IS02"
"27"	"LP05"	"S02"	"IS02"
"28"	"LP06"	"S02"	"IS02"
"29"	"LP07"	"S02"	"IS02"
"30"	"LP08"	"S02"	"IS02"
"31"	"LP10"	"S02"	"IS02"
"32"	"LP11"	"S02"	"IS02"
"33"	"LP56"	"S02"	"IS02"
"82"	"LP19"	"S03"	"IS06"
"83"	"LP25"	"S03"	"IS06"
"84"	"LP26"	"S03"	"IS06"
"85"	"LP31"	"S03"	"IS06"
"86"	"LP37"	"S03"	"IS06"
"87"	"LP39"	"S03"	"IS06"
"88"	"LP40"	"S03"	"IS06"
"89"	"LP41"	"S03"	"IS06"
"90"	"LP43"	"S03"	"IS06"
"91"	"LP47"	"S03"	"IS06"
"92"	"LP50"	"S03"	"IS06"
"93"	"LP51"	"S03"	"IS06"
"94"	"LP52"	"S03"	"IS06"
"95"	"LP54"	"S03"	"IS06"
"96"	"LP55"	"S03"	"IS06"
"97"	"LP58"	"S03"	"IS06"
"98"	"LP60"	"S03"	"IS06"
"99"	"LP61"	"S03"	"IS06"
"100"	"LP64"	"S03"	"IS06"
"101"	"LP65"	"S03"	"IS06"
"102"	"LP80"	"S03"	"IS06"
"103"	"LP93"	"S03"	"IS06"
"104"	"LP110"	"S03"	"IS06"
"105"	"LP111"	"S03"	"IS06"
"106"	"LP113"	"S03"	"IS06"
"107"	"LP116"	"S03"	"IS06"
"108"	"LP117"	"S03"	"IS06"
"109"	"LP119"	"S03"	"IS06"
