"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"FAM50A"	"FAM50A"	1.36045267965059	-1.36045267965059	"S01"	1.36045267965059	"IS01"
"HSP90AB1"	"HSP90AB1"	1.30286983232337	-1.30286983232337	"S01"	1.30286983232337	"IS01"
"CADM4"	"CADM4"	1.2061742498279	-1.2061742498279	"S01"	1.2061742498279	"IS01"
"LENG1"	"LENG1"	1.20401742641249	-1.20401742641249	"S01"	1.20401742641249	"IS01"
"ENDOG"	"ENDOG"	1.20400097127446	-1.20400097127446	"S01"	1.20400097127446	"IS01"
"CHCHD6"	"CHCHD6"	1.18015250851106	-1.18015250851106	"S01"	1.18015250851106	"IS01"
"MRPS26"	"MRPS26"	1.16014496375723	-1.16014496375723	"S01"	1.16014496375723	"IS01"
"MYBPC2"	"MYBPC2"	1.15843632269564	-1.15843632269564	"S01"	1.15843632269564	"IS01"
"PPP1R9B"	"PPP1R9B"	1.13619985962419	-1.13619985962419	"S01"	1.13619985962419	"IS01"
"CCDC167"	"CCDC167"	1.12835875172123	-1.12835875172123	"S01"	1.12835875172123	"IS01"
"STIP1"	"STIP1"	1.11843894175373	-1.11843894175373	"S01"	1.11843894175373	"IS01"
"APOE"	"APOE"	1.11290024333024	-1.11290024333024	"S01"	1.11290024333024	"IS01"
"ABCF1"	"ABCF1"	1.10797476116131	-1.10797476116131	"S01"	1.10797476116131	"IS01"
"PSME1"	"PSME1"	1.10025289434436	-1.10025289434436	"S01"	1.10025289434436	"IS01"
"HES4"	"HES4"	1.08076453925897	-1.08076453925897	"S01"	1.08076453925897	"IS01"
"AVPR2"	"AVPR2"	1.07606921478247	-1.07606921478247	"S01"	1.07606921478247	"IS01"
"MRPS34"	"MRPS34"	1.06722799207062	-1.06722799207062	"S01"	1.06722799207062	"IS01"
"RPS16"	"RPS16"	1.05160410270551	-1.05160410270551	"S01"	1.05160410270551	"IS01"
"ATPIF1"	"ATPIF1"	1.04742408088059	-1.04742408088059	"S01"	1.04742408088059	"IS01"
"RPS6KB2"	"RPS6KB2"	1.03433120358585	-1.03433120358585	"S01"	1.03433120358585	"IS01"
"PIP5K1C"	"PIP5K1C"	1.03424095988309	-1.03424095988309	"S01"	1.03424095988309	"IS01"
"MRPL41"	"MRPL41"	1.03265417123849	-1.03265417123849	"S01"	1.03265417123849	"IS01"
"CCDC12"	"CCDC12"	1.03108974532798	-1.03108974532798	"S01"	1.03108974532798	"IS01"
"EPN1"	"EPN1"	1.02732531188443	-1.02732531188443	"S01"	1.02732531188443	"IS01"
"NDUFB7"	"NDUFB7"	1.02007973641258	-1.02007973641258	"S01"	1.02007973641258	"IS01"
"PTRH1"	"PTRH1"	1.01686349212535	-1.01686349212535	"S01"	1.01686349212535	"IS01"
"DEF6"	"DEF6"	1.0158918346819	-1.0158918346819	"S01"	1.0158918346819	"IS01"
"HIST2H2AA4"	"HIST2H2AA4"	1.01575494962716	-1.01575494962716	"S01"	1.01575494962716	"IS01"
"MTFP1"	"MTFP1"	1.01100327848002	-1.01100327848002	"S01"	1.01100327848002	"IS01"
"RPL32"	"RPL32"	1.00402539409673	-1.00402539409673	"S01"	1.00402539409673	"IS01"
"STK32C"	"STK32C"	1.00066985178908	-1.00066985178908	"S01"	1.00066985178908	"IS01"
"ZC3H15"	"ZC3H15"	0.998724209657168	-0.998724209657168	"S01"	0.998724209657168	"IS01"
"NOL12"	"NOL12"	0.985952174348756	-0.985952174348756	"S01"	0.985952174348756	"IS01"
"C8orf44.SGK3"	"C8orf44.SGK3"	0.982790832241317	-0.982790832241317	"S01"	0.982790832241317	"IS01"
"BRMS1"	"BRMS1"	0.978668741868048	-0.978668741868048	"S01"	0.978668741868048	"IS01"
"GZMM"	"GZMM"	0.975663843743156	-0.975663843743156	"S01"	0.975663843743156	"IS01"
"ZNF695"	"ZNF695"	0.975565923338594	-0.975565923338594	"S01"	0.975565923338594	"IS01"
"MFAP1"	"MFAP1"	0.967886471971163	-0.967886471971163	"S01"	0.967886471971163	"IS01"
"HAVCR1"	"HAVCR1"	0.964193634809624	-0.964193634809624	"S01"	0.964193634809624	"IS01"
"RPS27"	"RPS27"	0.964181611027419	-0.964181611027419	"S01"	0.964181611027419	"IS01"
"NMT1"	"NMT1"	0.963252105644434	-0.963252105644434	"S01"	0.963252105644434	"IS01"
"AC074033.1"	"AC074033.1"	0.958935886891357	-0.958935886891357	"S01"	0.958935886891357	"IS01"
"MED19"	"MED19"	0.955474732946871	-0.955474732946871	"S01"	0.955474732946871	"IS01"
"LBX2"	"LBX2"	0.944391404794629	-0.944391404794629	"S01"	0.944391404794629	"IS01"
"THAP8"	"THAP8"	0.943201864791653	-0.943201864791653	"S01"	0.943201864791653	"IS01"
