"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"FAM50A"	"FAM50A"	1.36045267965059	-1.36045267965059	"IS01"	1.36045267965059
"HSP90AB1"	"HSP90AB1"	1.30286983232337	-1.30286983232337	"IS01"	1.30286983232337
"CADM4"	"CADM4"	1.2061742498279	-1.2061742498279	"IS01"	1.2061742498279
"LENG1"	"LENG1"	1.20401742641249	-1.20401742641249	"IS01"	1.20401742641249
"ENDOG"	"ENDOG"	1.20400097127446	-1.20400097127446	"IS01"	1.20400097127446
"CHCHD6"	"CHCHD6"	1.18015250851106	-1.18015250851106	"IS01"	1.18015250851106
"MRPS26"	"MRPS26"	1.16014496375723	-1.16014496375723	"IS01"	1.16014496375723
"MYBPC2"	"MYBPC2"	1.15843632269564	-1.15843632269564	"IS01"	1.15843632269564
"PPP1R9B"	"PPP1R9B"	1.13619985962419	-1.13619985962419	"IS01"	1.13619985962419
"CCDC167"	"CCDC167"	1.12835875172123	-1.12835875172123	"IS01"	1.12835875172123
"STIP1"	"STIP1"	1.11843894175373	-1.11843894175373	"IS01"	1.11843894175373
"APOE"	"APOE"	1.11290024333024	-1.11290024333024	"IS01"	1.11290024333024
"ABCF1"	"ABCF1"	1.10797476116131	-1.10797476116131	"IS01"	1.10797476116131
"PSME1"	"PSME1"	1.10025289434436	-1.10025289434436	"IS01"	1.10025289434436
"HES4"	"HES4"	1.08076453925897	-1.08076453925897	"IS01"	1.08076453925897
"AVPR2"	"AVPR2"	1.07606921478247	-1.07606921478247	"IS01"	1.07606921478247
"MRPS34"	"MRPS34"	1.06722799207062	-1.06722799207062	"IS01"	1.06722799207062
"RPS16"	"RPS16"	1.05160410270551	-1.05160410270551	"IS01"	1.05160410270551
"ATPIF1"	"ATPIF1"	1.04742408088059	-1.04742408088059	"IS01"	1.04742408088059
"RPS6KB2"	"RPS6KB2"	1.03433120358585	-1.03433120358585	"IS01"	1.03433120358585
"PIP5K1C"	"PIP5K1C"	1.03424095988309	-1.03424095988309	"IS01"	1.03424095988309
"MRPL41"	"MRPL41"	1.03265417123849	-1.03265417123849	"IS01"	1.03265417123849
"CCDC12"	"CCDC12"	1.03108974532798	-1.03108974532798	"IS01"	1.03108974532798
"EPN1"	"EPN1"	1.02732531188443	-1.02732531188443	"IS01"	1.02732531188443
"NDUFB7"	"NDUFB7"	1.02007973641258	-1.02007973641258	"IS01"	1.02007973641258
"PTRH1"	"PTRH1"	1.01686349212535	-1.01686349212535	"IS01"	1.01686349212535
"DEF6"	"DEF6"	1.0158918346819	-1.0158918346819	"IS01"	1.0158918346819
"HIST2H2AA4"	"HIST2H2AA4"	1.01575494962716	-1.01575494962716	"IS01"	1.01575494962716
"MTFP1"	"MTFP1"	1.01100327848002	-1.01100327848002	"IS01"	1.01100327848002
"RPL32"	"RPL32"	1.00402539409673	-1.00402539409673	"IS01"	1.00402539409673
"STK32C"	"STK32C"	1.00066985178908	-1.00066985178908	"IS01"	1.00066985178908
"ZC3H15"	"ZC3H15"	0.998724209657168	-0.998724209657168	"IS01"	0.998724209657168
"NOL12"	"NOL12"	0.985952174348756	-0.985952174348756	"IS01"	0.985952174348756
"C8orf44.SGK3"	"C8orf44.SGK3"	0.982790832241317	-0.982790832241317	"IS01"	0.982790832241317
"BRMS1"	"BRMS1"	0.978668741868048	-0.978668741868048	"IS01"	0.978668741868048
"GZMM"	"GZMM"	0.975663843743156	-0.975663843743156	"IS01"	0.975663843743156
"ZNF695"	"ZNF695"	0.975565923338594	-0.975565923338594	"IS01"	0.975565923338594
"MFAP1"	"MFAP1"	0.967886471971163	-0.967886471971163	"IS01"	0.967886471971163
"HAVCR1"	"HAVCR1"	0.964193634809624	-0.964193634809624	"IS01"	0.964193634809624
"RPS27"	"RPS27"	0.964181611027419	-0.964181611027419	"IS01"	0.964181611027419
"NMT1"	"NMT1"	0.963252105644434	-0.963252105644434	"IS01"	0.963252105644434
"AC074033.1"	"AC074033.1"	0.958935886891357	-0.958935886891357	"IS01"	0.958935886891357
"MED19"	"MED19"	0.955474732946871	-0.955474732946871	"IS01"	0.955474732946871
"LBX2"	"LBX2"	0.944391404794629	-0.944391404794629	"IS01"	0.944391404794629
"THAP8"	"THAP8"	0.943201864791653	-0.943201864791653	"IS01"	0.943201864791653
"C1orf228"	"C1orf228"	0.942813629804102	-0.942813629804102	"IS01"	0.942813629804102
"CCDC77"	"CCDC77"	0.94175295072198	-0.94175295072198	"IS01"	0.94175295072198
