"LP01"	"LP02"	"LP03"	"LP04"	"LP05"	"LP06"	"LP07"	"LP08"	"LP10"	"LP11"	"LP12"	"LP13"	"LP14"	"LP15"	"LP16"	"LP17"	"LP18"	"LP19"	"LP20"	"LP21"	"LP22"	"LP23"	"LP24"	"LP25"	"LP26"	"LP27"	"LP28"	"LP29"	"LP30"	"LP31"	"LP32"	"LP33"	"LP34"	"LP35"	"LP37"	"LP38"	"LP39"	"LP40"	"LP41"	"LP42"	"LP43"	"LP44"	"LP45"	"LP46"	"LP47"	"LP48"	"LP49"	"LP50"	"LP51"	"LP52"	"LP53"	"LP54"	"LP55"	"LP56"	"LP58"	"LP59"	"LP60"	"LP61"	"LP62"	"LP63"	"LP64"	"LP65"	"LP67"	"LP68"	"LP69"	"LP70"	"LP71"	"LP72"	"LP79"	"LP80"	"LP81"	"LP82"	"LP83"	"LP84"	"LP85"	"LP87"	"LP89"	"LP90"	"LP91"	"LP92"	"LP93"	"LP94"	"LP95"	"LP96"	"LP97"	"LP98"	"LP99"	"LP100"	"LP101"	"LP102"	"LP103"	"LP104"	"LP105"	"LP106"	"LP107"	"LP108"	"LP109"	"LP110"	"LP111"	"LP112"	"LP113"	"LP114"	"LP115"	"LP116"	"LP117"	"LP118"	"LP119"	"LP120"	"LP121"
"B.cells_S01"	0.827428981562978	0.881043439826153	0.99999999999999	0.99999999999999	0.999999999993818	0.999999999999991	0.961945945847631	0.418855656448759	0.573695375090704	0.77992375377086	0.430120959625831	0.55383942938523	0.351849728145943	0.385119251263826	1.9350208606721e-15	1.90188256559051e-12	2.3014153618635e-15	0.00558809894677569	8.43918842864423e-11	0.195578301890483	0.214186668692821	4.25069756199831e-06	2.60867786045074e-15	2.82915494505016e-15	2.68275467164453e-15	2.06158951387573e-15	2.88490559678462e-15	2.55792438892018e-15	0.0710964902659559	2.73491131579906e-15	1.43502792420254e-15	2.12581284048562e-15	1.97635017124317e-15	1.80950242227597e-15	3.60189877321148e-14	9.92981447618425e-16	2.54154800169795e-15	2.08571203529694e-14	2.08201143736476e-15	1.70085625825523e-15	0.151660983607483	2.37519227262596e-05	2.24575321779952e-15	1.20302728224648e-12	0.0621386947904243	1.87863530801194e-15	2.1484384274454e-15	0.125016572556758	1.97898343877328e-15	2.42299843670146e-15	1.996704853915e-08	0.217600628268421	0.0539992247086339	0.174018447022432	0.0939001172598968	0.0115416073844699	0.493895818700287	0.0305409556070148	0.584004429235403	0.529181725814171	0.497624442548826	0.436832768658975	1.8913061748243e-15	0.358659382272962	0.315324812070576	1.71685656557164e-15	0.0697801590205037	1.90515409375086e-15	2.71504818338105e-15	0.0289619777016041	0.227065861068833	0.0602845819227951	1.21934274076548e-07	0.250601775273141	0.0939140235811069	0.167587740926175	1.0027873811293e-15	2.55586825831066e-15	2.37620597003354e-15	2.30661749104688e-15	0.0902431996586755	2.00227255594356e-15	2.61050160804479e-15	9.44851484849959e-16	2.2059157188282e-15	1.22408525390454e-15	1.3278444349788e-15	0.0270621620628966	7.48563717571335e-16	1.54617967876638e-15	2.17689070052625e-15	1.2322422126459e-15	0.045164619455841	2.65523308251571e-15	1.53801055440773e-15	1.54439689248882e-15	2.16320009498601e-15	2.36128726231051e-15	0.0759619400875275	0.103167841706184	0.0231871544952487	2.62072528107661e-15	0.428514861739697	0.139314425299562	0.0182825135261673	0.229619444820087	0.0889163213683821	0.565018556736158	2.56978548845169e-15
"Dendritic.cells_S01"	0.736689214923848	0.781465870193055	0.999999999999992	0.854331687867677	0.999999999999992	0.999999999999992	0.613359115079529	0.678125012769137	0.637743496843752	0.949498679043177	0.516209108412855	0.397053823611019	0.452836092584602	0.438668728660287	0.0487273945184357	1.56998512235971e-15	0.057168503288362	0.157946979014851	1.69471563794953e-15	0.232470078272138	0.323975720306389	0.181100907155407	0.145187883682258	1.45060059321466e-14	0.0842231648212212	0.0269276432397037	6.36904342190659e-14	0.000523438512143756	0.183283399524293	1.69456832425195e-15	1.5644882853429e-15	1.80862942598989e-15	1.63900590747511e-15	1.83680710586553e-15	0.173734960762256	1.19340708522634e-15	0.218467806717991	0.364897087011851	1.73731957211221e-15	2.13243309920866e-15	0.281338733382644	0.0714596223953392	2.11566106712169e-15	0.00657009146977467	0.144014886718353	0.136147626049392	1.81299237361959e-15	0.189752658681538	0.142863325609033	1.33418947652551e-15	1.27014327208401e-15	0.410448749432794	0.422002707909821	0.418093090836921	0.0849004017618438	1.24245893781337e-15	0.720623893853429	0.252756165401449	0.585104978896463	0.480613925749604	0.671983115679843	0.5908101555039	1.83179107204363e-15	0.32913807566607	0.263196781278866	0.246813293670906	0.26943140928867	1.5476918168143e-15	2.26035643603738e-15	0.236952849429768	0.325135507450033	0.488553886610111	0.166407843019868	0.129530972206641	1.16237762238069e-15	0.215282951798357	0.134284615460605	2.0719666480804e-15	0.0276225408186168	2.06089348085351e-15	1.33501847795695e-15	2.00970274305957e-15	0.222644408685994	1.25831067463072e-15	1.94239060885271e-15	1.40900175378103e-15	0.0506502262806414	1.97102280537624e-15	1.08463066069385e-15	1.63174892991097e-15	1.85587265170368e-15	1.41642413013796e-15	1.32977949246371e-15	0.152502888246898	1.46850721094291e-15	0.00461511120886032	1.90208944958055e-15	0.233556941247703	0.279797404337378	0.349532784868077	0.153501184051735	0.180011101908605	0.426563628614809	0.287189459618235	0.327802272694956	0.351578037408281	0.174841452199345	0.4954297820993	0.19272116188025
"Fibroblast_S01"	0.63141479000417	0.645731202255298	0.880910705456506	0.700300120574675	0.883072433054376	0.871207810403422	0.642104305633271	0.925004477811101	0.780869770875534	0.930993951102235	0.89358734620189	0.445278700924548	0.333621543344079	0.0923227434402758	0.25436669407211	0.22750876898747	0.506571714654509	0.186975314548976	9.8441459256062e-16	0.0804769092190324	0.27026934968307	0.588395687778108	0.151864673690362	1.10933033978934e-15	0.55885600676393	0.617233805000053	0.341422086911327	0.232715707191099	0.404396111587031	0.424719037821603	9.34752547707727e-16	1.00370844067597e-15	9.75672784437285e-16	0.0533776946702205	0.400637864786485	8.21305011871835e-16	0.420000256708617	0.886683853083474	0.134026033055697	0.256853619105992	0.842093843681211	0.999999999999997	0.331377340803706	0.509546422894704	0.0444323895096268	0.417345845120274	1.04813023983816e-15	9.58973354290484e-16	0.266594451294859	1.24098209439034e-12	9.60397194496653e-16	0.649116393771224	0.228641754020843	0.773047225421674	9.69924083630115e-16	8.20194974022664e-16	0.834229075342324	0.267991679900605	0.267762389419425	0.541699044467819	0.631934363357805	0.430631605643262	1.02355791496077e-15	0.498551272561664	0.325129665011023	0.592481719911361	0.302999298362959	0.215534029480404	0.0917368554504962	0.193885421806543	0.430475135165252	0.099200522789143	0.109437153498645	0.28837234591234	8.02760973035479e-16	0.0419820541433394	0.163658711448399	0.18533556078755	0.300525819996181	0.115419732462074	7.75281853586841e-16	1.08821750488036e-15	0.752658030772848	8.65050804465728e-16	0.308116851852599	7.83456750559926e-16	0.235251504254057	0.120061400832055	7.25763359842517e-16	9.1490888332349e-16	0.173646735486979	0.125048157377872	7.94518985362464e-16	0.279429227329003	8.30652997138373e-16	0.362408719429013	9.92226264418429e-16	0.642292515217894	0.269314220554919	0.631957161249013	0.441932109029828	0.375382598314164	0.497480378573283	0.687239387231895	0.79032458913019	0.735213069913309	1.04854099856793e-15	0.198251196037881	0.523456802781118
"Mast.cells_S02"	0.500592970064354	0.498062458851542	0.999999999999995	0.458219885516681	0.999999999999995	0.995146269581408	0.356052499343859	0.99999797874729	0.566366622933421	0.999999999999995	0.756872195994776	0.0698440739829561	1.49833243933274e-07	0.662703161500368	0.605162235412112	0.010534993692355	0.106101450434569	0.0401876250560706	1.83367974891316e-15	0.0572598647328477	6.91856335727502e-06	0.471329686262214	0.771458162275244	2.37845366635134e-15	0.0604536923816293	0.753566362400704	0.0173145367655363	0.0837883672968516	0.0311890782181058	0.0218918829390217	1.71363741907473e-15	2.14479249879667e-15	1.95547864290767e-15	2.04119598546869e-15	0.0767619516990408	1.23501891445431e-15	0.970131780775299	0.945430557475783	2.01166662180086e-15	0.571279268889662	0.703490717107957	0.101093404410378	0.707373263167669	0.466026774229051	0.243675039511112	0.70653254351571	2.15436060548842e-15	0.307803054011233	0.63017551745604	0.0131843888471047	1.58426762201841e-15	0.618194275052232	0.817037883063254	0.999999999999997	0.0260155000837564	1.45254816132182e-15	0.999999999999996	0.68754399049423	0.600349777998212	0.688311066857828	0.974988995629998	0.891587574586706	2.04306533971098e-15	0.136188793780633	0.0337307638996149	0.503351837890806	0.615956440874757	2.35815900813715e-15	0.866793527660233	0.493964663625503	0.407792175619213	1.43062948291463e-15	0.337834690292325	0.0605774711551111	1.37812361297395e-15	0.354354604794782	0.272950260846891	0.839905655749871	0.901289651947473	0.0242531487185518	1.47038572278586e-15	0.563966594600501	0.693840612653211	0.172131372257567	2.26864859671983e-15	1.34419166783192e-15	0.25009849241523	0.0401515463935282	1.15770337411129e-15	1.73569387992179e-15	2.94932869025906e-05	0.37493232138133	1.40543626666317e-15	0.915070817547851	1.5557097849434e-15	0.445242045973161	2.23957340588383e-15	0.838132478798661	0.769353811447627	0.798784631743412	2.4408767463328e-15	0.908541611370176	0.154514158531079	0.75608766883616	0.951521066177744	0.753820508102596	0.114475167318847	0.0815571999241423	0.722737413577563
"Neutrophils_S03"	0.541689394223231	0.772796424090363	0.812453194824559	0.650101244199124	0.786624833600767	0.831094753010725	0.559609249763442	0.818244458163172	0.585821446579671	0.956982870247527	0.6578749712018	0.534112748312046	0.401081973323099	0.36389869286276	0.208588309069949	0.172252934317175	0.291418837332032	0.0851713970772785	2.14346328161092e-15	0.192720781033417	0.212828348642442	0.3598975644576	0.271961735625594	2.50554436099947e-15	0.496737870720127	0.543999951546436	0.471196383840243	0.438667886070708	0.351773783447641	0.381014232250838	1.96890237518692e-15	2.316551405937e-15	2.10181304911964e-15	0.0287929724505096	0.497052316945084	1.83999687911053e-15	0.462212800578134	0.688603535159592	0.00915016921168073	0.117249135487841	0.600666581357048	0.0271541867055297	0.224850179318792	0.342994716271192	0.183191914605995	0.537085887548884	0.00615247457158679	0.165620519350826	0.35374612792497	0.0838186477752943	0.166079872496979	0.673853275952323	0.423503171074843	0.611430158726514	0.161672685051148	2.70529320448027e-10	0.991875959136855	0.743553085351556	0.475928385043984	0.643336575367512	0.999999999999994	0.58428931437409	2.18808642229167e-15	0.502645853717942	0.428220433976062	0.28975324261938	0.274833065897896	0.0608387835723513	0.346539418778453	0.287414662729165	0.999999999999997	0.101394012503292	0.112266665443255	0.372407086869305	2.02532888567664e-15	0.513259340569092	1.86307822359256e-15	0.280594644183353	0.419730335439454	0.0994777047361221	1.99854736453983e-15	0.0980508662036354	0.388836061335359	1.63163158592509e-15	0.33610371680237	1.93773025974101e-15	0.198113181968059	0.0249144459044698	1.84378113666271e-15	0.133581971981351	0.220738163196217	0.122044540546582	1.98043627388418e-15	0.385011535846395	2.07790808430362e-15	0.3833456789897	2.28349810943611e-15	0.856437822946605	0.711517272434911	0.741431220868092	0.455678346523458	0.397136348061688	0.547140451505133	0.772568308434176	0.790938270531834	0.628742051380695	0.104948046947077	0.329088058998567	0.511710043556689
"NLPHL.cells_S02"	0.598849291091064	0.794935455269532	1.48020687987006e-15	0.29885453554208	0.657516780486247	0.999999999980453	0.735061781158864	0.515337688636088	0.486451750331789	0.576692251463756	0.386218832048716	0.532481375332101	0.62765335399819	0.321606661805933	0.0472771524386549	0.000426806588310714	0.353215563220518	0.0837027042524945	4.21514906703441e-07	1.71984751637084e-15	0.41308154208131	1.30194943185435e-15	0.157720569023142	1.75966026476219e-15	1.53212495018052e-15	1.58968513292936e-15	1.67230463986936e-15	0.0598590401753213	0.361623840331805	1.74511729665003e-15	1.40853281983701e-15	1.53367715436201e-15	1.41504062549272e-15	1.481779237124e-15	0.5999878030535	1.23858517293394e-15	1.63692384843163e-15	0.38073524178685	1.50699718961944e-15	1.44849531464151e-15	0.267691206290958	1.56562211496267e-15	0.142716664899586	1.32669588006387e-15	4.70454202873049e-09	9.39320599542409e-10	1.55022468012315e-15	0.287293599683338	1.39015497572577e-15	1.67747848160706e-15	0.00403963750899482	0.283904280944077	1.4421201411626e-15	0.0667730710609401	0.0724720740675972	3.49465085166106e-13	1.4348545376636e-15	0.251249104779625	0.0628667493123033	1.47252936754326e-15	0.283576777053616	0.4934728072053	0.0238244488254973	0.460677092063049	1.29458468370199e-15	0.0354222140004754	0.226687134913048	1.70876653610848e-15	6.98197959408246e-05	1.54190105082864e-15	0.0471097312086421	0.0734678204663014	1.24020965113051e-15	1.23798953488632e-15	1.30890910528853e-15	0.101219413617467	1.13458843465539e-15	1.63792422665867e-15	1.57692406204141e-15	1.91805152757267e-07	0.0768008194220891	1.27636924629202e-15	2.10350483395935e-07	1.11116319998727e-15	1.52820391887755e-15	1.30966792633533e-15	1.23868627134995e-15	0.15361237702828	1.12754848437616e-15	1.34100089224157e-15	1.60313859915679e-15	1.18326406250047e-15	1.34435916223162e-15	1.4305799864947e-15	0.0358718569613277	1.28946618851697e-15	1.50500256259179e-15	1.82356978073223e-15	0.139297030652549	0.462434486583549	0.168655669607433	1.73962418483499e-15	0.593924756683292	0.512265192668533	2.09912555201776e-07	0.111384930397314	1.53177024807725e-15	0.544326098621612	0.51857308335891
"Plasma.cells_S02"	0.929539484616779	0.70800309489164	0.730218364829258	0.869139161240434	0.41209787544384	0.555812376425759	0.999999999999995	0.30829993454464	0.420359924393996	1.3662175313459e-15	0.416157264890373	0.289988647301699	1.43489516338738e-15	0.103121085738242	1.29881200073382e-15	1.37973727989878e-15	0.0680291818468653	0.195662118849238	0.244194278686374	0.181571587381733	0.0779093257390307	1.1400452731633e-15	0.0206066447419359	8.98367348237553e-07	1.5407887748838e-15	0.0868966530437983	1.89037988916384e-15	2.1975509646291e-15	0.0689940777593802	0.000147283366409455	1.18193733282599e-15	1.2934225868261e-15	1.27682784044305e-15	1.24622470005491e-15	0.46770096573028	1.09994081298547e-15	1.72017695696937e-15	0.0815853938989906	0.119956102016764	3.78125497097212e-12	0.0682201068410686	1.17233260970238e-15	1.48307708298333e-15	1.54507634897688e-15	0.298934624137219	1.28847867489852e-15	1.42409849637874e-15	0.102712169530612	0.0499335785259198	0.267030842592333	0.38778618642042	0.546622072146927	0.217755549115002	1.24750946744483e-15	0.364971102470928	0.241988468880618	1.50701052129871e-15	0.401319901028275	0.558625491891932	0.404374544360529	0.146817850054784	0.493628109102865	1.34480326284542e-15	0.280084098581069	0.030370049350726	1.38023467991084e-15	0.172211836415659	0.159973373387452	0.177164410503616	1.07637892323433e-15	0.172590208967742	1.26832459160356e-14	0.179833298791895	0.0654596239893946	0.119322646452423	9.978007347038e-16	9.31747921640968e-16	1.55605014310486e-15	1.33179496752467e-15	1.37179165635681e-15	0.195219916257146	1.37391596094772e-15	1.84202824353041e-15	9.47789268369609e-16	1.46000145289154e-15	1.07126156472461e-15	1.08653345337463e-15	1.26511946839765e-15	8.98687001783062e-16	1.09964189104313e-15	1.53406687616576e-15	1.02252854774727e-15	1.06774831619632e-15	1.32708557133802e-15	1.33175331339471e-15	1.23573122051135e-15	1.48300314584758e-15	1.6974862810315e-15	0.168142051821218	1.64189674133403e-15	0.279976807598699	0.148998893397337	0.155448271093993	0.0903744704777776	0.0399552032048119	1.88298388089048e-15	0.379215554139255	0.330734046126951	1.62770336650619e-15
"T.cells.CD4_S01"	0.972658957588142	0.92371870299114	0.99999999999999	0.99999999999999	0.99999999999999	0.999999999999991	0.925412749998023	0.512422047496447	0.679301397463868	0.917086248159102	0.245667353490737	0.453610779785919	0.11156154501664	0.217647301127027	2.48272805707908e-15	2.21324551343623e-15	2.78390508812701e-15	4.1238605539067e-09	2.33056675898319e-15	0.195729677841109	0.301185033083408	0.119319760310842	3.10523801498626e-15	3.38786016260642e-15	2.9777947819165e-15	2.5270292307683e-15	3.40302018567984e-15	0.0830653916057606	0.160494998538318	3.1419343734434e-15	2.2140688563137e-15	2.89430401652112e-15	2.75180230178587e-15	2.58852734559337e-15	3.2263296715406e-15	1.44704628383032e-15	2.84445494518659e-15	0.018723910810954	2.69000577541066e-15	2.599588357472e-15	6.82518588941894e-05	0.00626645800760362	3.02793994711657e-15	2.31937920518109e-15	3.30420100280153e-15	2.62260309061644e-15	2.59854445637472e-15	0.0572712325842817	2.33383888382398e-15	2.61905570364061e-15	0.17725542103045	0.143394617632498	0.0678687822783222	1.67878171172613e-15	0.011443737847536	0.153365331722846	0.259879060662985	0.134037133261396	0.295403123356091	0.225398686345621	0.33808007151005	0.374450468707624	2.63853915270719e-15	0.107796708089769	2.82773605317753e-15	2.04442515086485e-15	0.165528975823596	2.15276665968451e-15	3.04963907227059e-15	2.15808637779375e-15	0.0762084835023898	1.1458565047283e-15	1.24941090735956e-15	0.109902430817572	1.19613653310589e-15	1.28749119849613e-15	1.11837432917714e-15	3.08277453937499e-15	2.945529582116e-15	2.87624625183447e-15	2.54922163691069e-05	2.50959996152199e-15	0.0651350869972944	1.04606693858184e-15	2.94739912717947e-15	1.73200332185938e-15	1.70844494044032e-15	2.77306457126984e-15	1.20966387108778e-15	2.11667869604608e-15	2.73651564742377e-15	1.57546771330229e-15	1.99289334633257e-15	2.95029346539491e-15	0.145106744311689	2.34365275612482e-15	2.73156922362459e-15	2.83887205300707e-15	9.05345319124579e-07	0.186409882782806	3.09234684598056e-15	3.23635310092401e-15	0.390986895903652	0.0175654237780311	0.0691780227103035	0.213397953434036	2.73733417624115e-15	0.489872980822389	2.95426651289252e-15
"T.cells.CD8_S02"	0.815228650795547	0.885655231250444	0.999999999999994	0.999999999999994	0.985362301257448	0.999999999999994	0.999999999999925	0.656049456495488	0.784038417865444	0.899540885594068	0.771993521854418	0.80721540032949	0.544592871372265	0.571919549648514	2.05520739974054e-15	0.206370485317454	0.168845607069402	0.678035126841672	4.2092261059118e-11	0.619635987223091	0.665680836377154	0.12046131576328	0.272559114362297	0.370367007156163	0.114923566928671	2.18000288865083e-15	0.24794216319988	0.407698002563394	0.523280823587489	0.403355299024788	1.73662142645327e-15	2.17683042267154e-15	0.178996364724432	7.02329384720784e-08	0.489623746544203	1.59936317874773e-15	2.3692858272135e-15	0.348788581822749	0.0142807323032992	2.00237871881364e-15	0.246471356041012	0.0998090400157575	2.24893240183398e-15	0.198364344246749	0.428783743170583	0.105623361178787	2.14567255808424e-15	0.280185291818846	1.90018587581389e-15	2.04243227334274e-15	0.108679973643839	0.501976578650039	0.251769679805974	0.00915718635201767	0.169675466050095	9.79176543936923e-09	0.554427814236593	0.326741150353666	0.894615029046133	0.73228470801201	0.800882899005105	0.626662293160904	2.14588642307544e-15	0.683625468658269	0.750271137153816	2.13511399831644e-15	0.263486936271157	0.0233527603692136	0.0906806306689608	0.221633970818623	0.13093030161526	0.10516606679597	0.032744254441127	0.116445783469557	0.226740260596428	0.419845423286089	1.44764366609012e-15	0.161358524639568	2.2139124147882e-15	0.0721752264612096	0.165449578715796	2.16510528239957e-15	0.0262944427343572	1.46387034221316e-15	5.80127261781719e-09	0.0640169578062274	0.0860398985607132	0.0705778667310616	1.46609139100052e-15	0.159786605336123	2.2163496740531e-15	1.58703659642127e-15	0.1397468109345	0.000735978162430984	0.0478584162466501	0.0263746930321983	2.1187277034467e-15	0.120370208126476	0.196046709982858	0.570935038552366	0.350430126244206	0.291069407255408	0.815075189983263	0.733341442223565	0.750341916495368	0.720440020647954	0.127635497179162	0.874125185839106	0.177479387259147
"T.cells.follicular.helper_S02"	0.865775820681496	0.83324968285154	0.978646662448941	0.999999999999992	0.999999998763869	0.999999999999992	0.999999999999993	0.408882304558962	0.536641899652024	0.754499327698315	0.184609290985928	0.158084327062959	0.129466410787554	0.0441862074852251	1.63202313292038e-15	1.60813272482577e-15	2.16843874447968e-15	2.8582563890699e-15	1.70928632984253e-15	0.0881701882945875	0.0586665900571973	1.49932947056984e-15	2.67810091476335e-15	2.7100851083534e-15	2.58536543964368e-15	2.30292794863164e-15	2.93895688875647e-15	2.75490891872284e-15	0.142385845082859	2.61517239567906e-15	1.5009916480365e-15	2.19020441614264e-15	0.0757689732169192	1.91395529941446e-15	2.94006668995443e-15	1.15622786158509e-15	2.67829806194228e-15	0.0340402185741905	2.23160708815244e-15	1.87841600498354e-15	0.0754023373201554	0.0369719943585683	2.29188480890909e-15	3.30840275549847e-07	1.48799954811917e-05	3.68528508189083e-12	2.31175752684598e-15	8.58025377766208e-15	1.97289872865712e-15	2.16202494238525e-15	1.70914261866369e-15	0.19273175436563	0.11766144341802	0.387011518848852	5.44685017842096e-09	1.49525580615181e-15	0.3398091037303	0.0481281822645071	0.24589008563806	0.297336467672357	0.0349079472990585	0.393893859531394	1.85933952675627e-15	2.04317408116844e-15	0.137749330579062	1.60346271315182e-15	0.0528171562733936	1.77645704596801e-15	2.80050583446058e-15	0.0655794658130255	0.194828474966158	0.272060653219545	0.100133676038655	0.259472769675861	0.157046144082244	0.148216658142781	1.1301653640643e-15	2.73257297646269e-15	2.48632795076692e-15	2.56063383700393e-15	2.04190492755167e-06	2.06756583466827e-15	2.68856405318328e-15	1.05982786181884e-15	2.3302495282304e-15	1.34200341491085e-15	0.0703325466204511	2.17482184565194e-15	1.09711563797143e-15	0.212945658166901	2.20099661249087e-15	1.31947116317424e-15	1.55697807755761e-15	2.72373751523228e-15	1.71031940652168e-15	0.102111469433388	2.25557278670511e-15	2.33586013849306e-15	0.00597371665647257	1.18251727011062e-05	2.5553056086533e-15	2.42243095682031e-15	0.118379843026218	2.80706540333606e-15	2.94765754865294e-15	0.00292353199037036	2.93026725309021e-12	0.135953207659646	2.56378244741417e-15
