"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"	"Pattern"	"Status"	"Lanes"	"Source"	"PatternFull"
"LP01"	"LP01"	"E1"	1.87929077538549e-07	1.97398311444275e-06	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"A/B"
"LP02"	"LP02"	"E1"	1.78898846048008e-07	1.97398311444275e-06	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"A/B"
"LP03"	"LP03"	"E1"	1.49659573160367e-06	1.087526231632e-05	TRUE	"E1"	"E"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"A/E"
"LP04"	"LP04"	"E1"	2.17319241957e-07	1.97398311444275e-06	TRUE	"E1"	"E"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"A/E"
"LP05"	"LP05"	"E1"	6.79401860348008e-09	1.23424671296555e-07	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"NLPHL, Classical + PTGC"
"LP06"	"LP06"	"E1"	4.94220255566386e-13	5.3870007856736e-11	TRUE	"E1"	"C"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"Variant Pattern C"
"LP07"	"LP07"	"E1"	1.10001995221277e-07	1.49877718488991e-06	TRUE	"E1"	"C"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"A/B/C"
"LP08"	"LP08"	"E1"	9.49373283032659e-05	0.000369577456609142	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"NLPHL, Classical"
"LP10"	"LP10"	"E1"	2.16647703370528e-05	0.000107339089397216	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"A/B"
"LP11"	"LP11"	"E1"	4.4611982887607e-06	2.86041537338186e-05	TRUE	"E1"	"D"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"NLPHL, Variant C & D"
"LP112"	"LP112"	"E1"	0.0365836614295236	0.0531682546109077	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
