"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"	"Pattern"	"Status"	"Lanes"	"Source"	"PatternFull"
"1"	"LP01"	"E1"	1.87929077538549e-07	1.97398311444275e-06	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"A/B"
"2"	"LP02"	"E1"	1.78898846048008e-07	1.97398311444275e-06	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"A/B"
"3"	"LP03"	"E1"	1.49659573160367e-06	1.087526231632e-05	TRUE	"E1"	"E"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"A/E"
"4"	"LP04"	"E1"	2.17319241957e-07	1.97398311444275e-06	TRUE	"E1"	"E"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"A/E"
"5"	"LP05"	"E1"	6.79401860348008e-09	1.23424671296555e-07	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"NLPHL, Classical + PTGC"
"6"	"LP06"	"E1"	4.94220255566386e-13	5.3870007856736e-11	TRUE	"E1"	"C"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"Variant Pattern C"
"7"	"LP07"	"E1"	1.10001995221277e-07	1.49877718488991e-06	TRUE	"E1"	"C"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"A/B/C"
"8"	"LP08"	"E1"	9.49373283032659e-05	0.000369577456609142	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"NLPHL, Classical"
"9"	"LP10"	"E1"	2.16647703370528e-05	0.000107339089397216	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB0"	"StanfordBinkley"	"A/B"
"11"	"LP101"	"E1"	0.367231491653428	0.370631783242811	FALSE	"Unassigned"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"20"	"LP11"	"E1"	4.4611982887607e-06	2.86041537338186e-05	TRUE	"E1"	"D"	"Variant"	"NovaSeqB0"	"StanfordBinkley"	"NLPHL, Variant C & D"
"23"	"LP112"	"E1"	0.0365836614295236	0.0531682546109077	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"26"	"LP115"	"E1"	0.000703684832941564	0.0017432192452416	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"27"	"LP116"	"E1"	0.06138569769197	0.0796552505764849	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"28"	"LP117"	"E1"	0.0885879260488534	0.104957434123098	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"29"	"LP118"	"E1"	0.00215869224283693	0.00460192991570596	TRUE	"E1"	"D"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"A/B/C/D"
"31"	"LP12"	"E1"	2.02568934636485e-05	0.00010514292321608	TRUE	"E1"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"Patterns A/C/D/E - had to give block back"
"32"	"LP120"	"E1"	0.000702253087283302	0.0017432192452416	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB6"	"StanfordBinkley"	"A"
"33"	"LP121"	"E1"	0.320183410642013	0.335576843845956	TRUE	"Unassigned"	"C"	"Variant"	"NovaSeqB6"	"StanfordBinkley"	"A/C"
"34"	"LP13"	"E1"	0.000221489635519011	0.000731586977926429	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"Pattern A/B"
"35"	"LP14"	"E1"	0.00174261273334429	0.00395718308196933	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"NLPHL, Classical + PTGC"
"36"	"LP15"	"E1"	0.0453014050012472	0.0617231643141994	TRUE	"E1"	"C"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"Variant Pattern C"
"38"	"LP17"	"E1"	0.0677771579343846	0.0849162093660681	TRUE	"E1"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"C/D/E"
"39"	"LP18"	"E1"	0.224587380857899	0.243974895380117	TRUE	"E1"	"D"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/B/C/D"
"42"	"LP21"	"E1"	0.0629479217271214	0.0807214525677204	TRUE	"E1"	"D"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"Variant - Pattern D"
"43"	"LP22"	"E1"	0.0324863609795089	0.0478515317130604	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B"
"45"	"LP24"	"E1"	0.297867733901505	0.315219252381204	TRUE	"Unassigned"	"C"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"Variant - Pattern C"
"51"	"LP30"	"E1"	0.125198643421048	0.145177150349939	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A/B"
"60"	"LP40"	"E1"	0.351649207067554	0.361601543116636	TRUE	"Unassigned"	"C"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C"
"63"	"LP43"	"E1"	0.242221273680619	0.258844302266544	TRUE	"Unassigned"	"A/B"	"Typical"	"NovaSeqB1"	"StanfordBinkley"	"A"
"76"	"LP56"	"E1"	0.404475035154939	0.404475035154939	TRUE	"Unassigned"	"E"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C/D/E"
"79"	"LP60"	"E1"	0.0793657166827275	0.0961207013157478	TRUE	"E1"	"F"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"E/F"
"81"	"LP62"	"E1"	0.000369876771537944	0.00108963697561178	TRUE	"E1"	"D"	"Variant"	"NovaSeqB1"	"StanfordBinkley"	"A/C/D"
"82"	"LP63"	"E1"	0.000316615079473755	0.000958640101739981	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB2"	"StanfordBinkley"	"A/B"
"83"	"LP64"	"E1"	0.0111068452964963	0.0175455961930159	TRUE	"E1"	"A/B"	"Typical"	"NovaSeqB2"	"StanfordBinkley"	"A/B"
