"B.cells_S01"	"B.cells_S02"	"B.cells_S03"	"B.cells_S04"	"Dendritic.cells_S01"	"Dendritic.cells_S02"	"Endothelial_S01"	"Endothelial_S02"	"Endothelial_S03"	"Fibroblast_S01"	"Fibroblast_S02"	"Mast.cells_S01"	"Mast.cells_S02"	"Mast.cells_S03"	"Monocytes.and.Macrophages_S01"	"Monocytes.and.Macrophages_S02"	"Neutrophils_S01"	"Neutrophils_S02"	"Neutrophils_S03"	"NLPHL.cells_S01"	"NLPHL.cells_S02"	"NLPHL.cells_S03"	"Plasma.cells_S01"	"Plasma.cells_S02"	"T.cells.CD4_S01"	"T.cells.CD4_S02"	"T.cells.CD4_S03"	"T.cells.CD8_S01"	"T.cells.CD8_S02"	"T.cells.follicular.helper_S01"	"T.cells.follicular.helper_S02"	"T.cells.follicular.helper_S03"	"T.regs_S01"	"T.regs_S02"
"B.cells_S01"	1	0	0	0	0.708333333333333	0	0.257142857142857	0	0.263157894736842	0.390243902439024	0	0	0.26	0	0	0	0	0	0.372093023255814	0	0.407407407407407	0	0.235294117647059	0.391304347826087	0.631578947368421	0	0	0	0.575757575757576	0	0.5	0	0.339285714285714	0
"B.cells_S02"	0	1	0	0	0	0	0.448275862068966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216216216216216	0	0	0	0	0	0	0.219512195121951	0	0	0	0.23728813559322	0
"B.cells_S03"	0	0	1	0	0	0	0	0	0.432432432432432	0	0	0	0	0	0	0	0	0	0	0.214285714285714	0	0	0	0	0	0	0.807692307692308	0.5	0	0	0	0.67741935483871	0.311475409836066	0
"B.cells_S04"	0	0	0	1	0	0.666666666666667	0	0.571428571428571	0	0	0	0	0	0	0.4	0	0	0.269230769230769	0	0	0	0	0	0	0	0.75	0	0	0	0.607142857142857	0	0	0	0.333333333333333
"Dendritic.cells_S01"	0.708333333333333	0	0	0	1	0	0	0	0.307692307692308	0.395348837209302	0	0	0.346938775510204	0	0	0	0	0	0.409090909090909	0	0.366666666666667	0	0	0.4	0.478260869565217	0	0	0	0.527777777777778	0	0.5	0	0.344827586206897	0
"Dendritic.cells_S02"	0	0	0	0.666666666666667	0	1	0	0.684210526315789	0	0	0	0	0	0	0.457142857142857	0	0	0.315789473684211	0	0	0	0	0	0	0	0.611111111111111	0	0	0	0.5	0	0	0	0.370967741935484
"Endothelial_S01"	0.257142857142857	0.448275862068966	0	0	0	0	1	0	0	0.285714285714286	0	0	0	0.269230769230769	0	0	0	0	0.3	0	0.257142857142857	0.358974358974359	0	0.1875	0	0	0	0	0.487179487179487	0	0	0	0.421052631578947	0
"Endothelial_S02"	0	0	0	0.571428571428571	0	0.684210526315789	0	1	0	0	0.306122448979592	0	0	0	0.457142857142857	0	0	0	0	0	0	0	0	0	0	0.567567567567568	0	0	0	0.5	0	0	0	0.416666666666667
"Endothelial_S03"	0.263157894736842	0	0.432432432432432	0	0.307692307692308	0	0	0	1	0	0	0	0.303571428571429	0	0	0	0	0	0.30188679245283	0.181818181818182	0.230769230769231	0	0.268292682926829	0.2	0.205882352941176	0	0.485714285714286	0.358974358974359	0	0	0.176470588235294	0.5	0.370967741935484	0
"Fibroblast_S01"	0.390243902439024	0	0	0	0.395348837209302	0	0.285714285714286	0	0	1	0	0	0.413793103448276	0	0	0	0	0	0.625	0	0.357142857142857	0	0	0.24390243902439	0.315789473684211	0	0	0	0.479166666666667	0	0.289473684210526	0	0.424242424242424	0
